fund,property_code,property,property_name_clean,suite,lease_start,lease_end,lease_term_months,remaining_term_months,security_deposit,market,data_quality_flag,lease,lease_type,term,tenancy,monthly,monthly_.1,annual,annual_.1,annual_.2,annual_.3,loc_amount_,fund_derived
FUND 2,xga130j,130 James Aldredge Boulevard  (xga130j),130 James Aldredge Boulevard,130,2022-06-15,2027-07-31,61.5,23.7,,38164.0,,Kirnland Food Distribution Inc (t0000745),Industrial Net,62.0,3.08,16346.91,0.43,196162.92,5.14,2.24,0,0,Fund 2
FUND 2,xga1585r,1585 Roadhaven Drive (xga1585r),1585 Roadhaven Drive,A,2022-12-01,2033-03-31,123.9,91.7,,48000.0,,Inliner Solutions (t0000966),Industrial Net,124.0,2.58,36951.41,0.77,443416.92,9.24,3.17,0,0,Fund 2
FUND 2,xga1610s,1610 Spectrum Drive (xga1610s),1610 Spectrum Drive,A,2022-06-15,2028-03-31,69.5,31.7,,27000.0,,"Almeco USA, Inc. (t0000851)",Industrial Gross,70.0,3.08,15090.21,0.56,181082.52,6.71,0,0,0,Fund 2
FUND 2,xga2100b,2100 Boggs Road  (xga2100b),2100 Boggs Road,2100,2022-01-01,2028-12-31,84.0,40.7,,103289.0,,"Averr Aglow, LLC (t0000639)",Industrial Net,84.0,3.5,59913.39,0.58,718960.68,6.96,1.51,0,0,Fund 2
FUND 2,xga265c,265 Castleberry Industrial Drive (xga265c),265 Castleberry Industrial Drive,265,2022-05-15,2032-07-15,122.0,83.1,,82486.0,,"StruXure Outdoor, LLC (t0000768)",Industrial Net,122.0,3.17,42741.77,0.52,512901.24,6.22,1.54,0,0,Fund 2
FUND 2,xga2900j,2900 Jones Mill (xga2900j),2900 Jones Mill,A,2024-07-01,2029-08-31,62.0,48.7,,58362.0,,"Reliable Restoration, LLC (t0001241)",Industrial Net,62.0,1,49364.53,0.85,592374.36,10.15,3.27,0,0,Fund 2
FUND 2,xga3350h,3350 Hamilton Boulevard (xga3350h),3350 Hamilton Boulevard,100,2022-02-22,2027-02-28,60.2,18.6,,31825.0,,APCO Graphics Inc (t0000711),Industrial Net,61.0,3.42,15329.04,0.48,183948.48,5.78,1.76,0,0,Fund 2
FUND 2,xga3350h,3350 Hamilton Boulevard (xga3350h),3350 Hamilton Boulevard,200,,,,,,22045.0,,VACANT,,,,,,,,,,,Fund 2
FUND 2,xga3350h,3350 Hamilton Boulevard (xga3350h),3350 Hamilton Boulevard,300,,,,,,32598.0,,VACANT,,,,,,,,,,,Fund 2
FUND 2,xga3471a,3471 Atlanta Industrial Parkway  (xga3471a),3471 Atlanta Industrial Parkway,3471,2022-05-31,2026-05-31,48.0,9.7,,36072.0,,Atlantic Chemical and Equipment Company (t0000796),Industrial Net,49.0,3.17,21778.47,0.6,261341.64,7.24,2.52,0.15,0,Fund 2
FUND 2,xga3651c,3651 Clearview Place (xga3651c),3651 Clearview Place,3651,2022-11-01,2027-12-31,62.0,28.7,,20030.0,,TLC Rents (t0000931),Industrial Net,62.0,2.67,19047.96,0.95,228575.52,11.41,4.42,0,0,Fund 2
FUND 2,xga3651c,3651 Clearview Place (xga3651c),3651 Clearview Place,BB,2022-06-20,2032-06-30,120.3,82.7,0.0,0.0,,Johnson Commercial Properties LLC (t0000876),Industrial Gross,121.0,3.08,8.33,0,100,0,0,0,0,Fund 2
FUND 2,xga401wi,401 Windsor Street SW (xga401wi),401 Windsor Street SW,401,1990-12-01,2026-11-30,431.9,15.7,0.0,37500.0,,Federal Express Corp (t0000753),Industrial Net,432.0,34.58,30468.75,0.81,365625,9.75,0,0,0,Fund 2
FUND 2,xga4225,4225 Phil Niekro Parkway    (xga4225),4225 Phil Niekro Parkway,"101,  104",2022-06-01,2027-08-31,63.0,24.7,,15477.0,,"KADDAK, LLC (t0000778)",Modified Gross,63.0,3.08,11606.47,0.75,139277.64,9,0.55,0,0,Fund 2
FUND 2,xga4225,4225 Phil Niekro Parkway    (xga4225),4225 Phil Niekro Parkway,107,2022-11-01,2027-10-31,60.0,26.7,,2323.0,,Lucky River Seafood (t0000961),Industrial Gross,60.0,2.67,2093.8,0.9,25125.6,10.82,0,0,0,Fund 2
FUND 2,xga4225,4225 Phil Niekro Parkway    (xga4225),4225 Phil Niekro Parkway,110-111,2019-03-01,2026-02-28,84.0,6.6,,5179.0,,Victor Manzo (t0000569),Industrial Gross,84.0,6.33,3804.42,0.73,45653.04,8.82,0,0,0,Fund 2
FUND 2,xga4225,4225 Phil Niekro Parkway    (xga4225),4225 Phil Niekro Parkway,112,2020-07-01,2028-06-30,96.0,34.7,,2730.0,,Xiancong Huang (t0000571),Modified Gross,96.0,5,1919.02,0.7,23028.24,8.44,0,0,0,Fund 2
FUND 2,xga4225,4225 Phil Niekro Parkway    (xga4225),4225 Phil Niekro Parkway,108-109,,,,,,4630.0,,VACANT,,,,,,,,,,,Fund 2
FUND 2,xga4225,4225 Phil Niekro Parkway    (xga4225),4225 Phil Niekro Parkway,114-116,,,,,,9856.0,,VACANT,,,,,,,,,,,Fund 2
FUND 2,xga4450c,4450 Commerce Circle (xga4450c),4450 Commerce Circle,A,2023-03-26,2028-06-30,63.2,34.7,,18700.0,,KJ Discount (t0001012),Industrial Net,64.0,2.33,10112.96,0.54,121355.52,6.49,2.1,0,0,Fund 2
FUND 2,xga4507m,4507 Mills Place (xga4507m),4507 Mills Place,G-H,2024-10-01,2027-09-30,35.9,25.7,,12040.0,,"MAGIC SCREEN PRINT LLC, and RETRO VERT, LLC (t0001340)",Industrial Net,36.0,0.75,7023.33,0.58,84279.96,7,1.86,0,0,Fund 2
FUND 2,xga4507m,4507 Mills Place (xga4507m),4507 Mills Place,I,2020-08-01,2026-09-30,73.9,13.7,,4137.0,,The Investors Academy Inc (t0000643),Industrial Net,74.0,4.92,2509.78,0.61,30117.36,7.28,1.93,0,0,Fund 2
FUND 2,xga4507m,4507 Mills Place (xga4507m),4507 Mills Place,WARHSE,2013-09-01,2030-04-30,199.9,56.6,,87928.0,,VIE DE France Yamazaki Inc (t0000641),Industrial Net,200.0,11.83,35097.93,0.4,421175.16,4.79,1.63,0,0,Fund 2
FUND 2,xga4600f,4600&4630 Frederick Drive  (xga4600f),4600&4630 Frederick Drive,4600-A,2016-02-16,2026-04-30,122.4,8.6,,15035.0,,Pelton Shepherd Industries Inc (t0000683),Industrial Net,123.0,9.42,10963.02,0.73,131556.24,8.75,1.44,0,0,Fund 2
FUND 2,xga4600f,4600&4630 Frederick Drive  (xga4600f),4600&4630 Frederick Drive,4600-E,2020-03-01,2028-04-30,98.0,32.7,0.0,20059.0,,Fastenal Company (t0000682),Modified Gross,98.0,5.33,13250,0.66,159000,7.93,1.6,0,0,Fund 2
FUND 2,xga4600f,4600&4630 Frederick Drive  (xga4600f),4600&4630 Frederick Drive,4600-F,2009-02-17,2025-06-30,196.4,0.0,,10000.0,,American HVAC Inc (t0000681),Industrial Net,197.0,16.42,10816,1.08,129792,12.98,2.54,0,0,Fund 2
FUND 2,xga4600f,4600&4630 Frederick Drive  (xga4600f),4600&4630 Frederick Drive,4630-A,2023-08-15,2028-08-31,60.5,36.7,,7529.0,,Tradavo Inc (t0001049),Industrial Net,61.0,1.92,4730.72,0.63,56768.64,7.54,1.7,0,0,Fund 2
FUND 2,xga4600f,4600&4630 Frederick Drive  (xga4600f),4600&4630 Frederick Drive,4630-B,2014-02-19,2030-08-31,198.3,60.7,,12530.0,,Pulseworks LLC (t0000685),Industrial Net,199.0,11.42,7041.67,0.56,84500.04,6.74,1.75,0,0,Fund 2
FUND 2,xga4600f,4600&4630 Frederick Drive  (xga4600f),4600&4630 Frederick Drive,4630-C,2024-04-01,2029-06-30,62.9,46.6,,7438.0,,USA Family Moving of Atlanta LLC (t0001177),Industrial Net,63.0,1.25,5124.78,0.69,61497.36,8.27,1.71,0,0,Fund 2
FUND 2,xga4600f,4600&4630 Frederick Drive  (xga4600f),4600&4630 Frederick Drive,4630-D,2021-03-01,2026-04-30,62.0,8.6,,15000.0,,Superior Supply Chain Management Inc (t0000686),Industrial Gross,62.0,4.33,6250,0.42,75000,5,0,0,0,Fund 2
FUND 2,xga4680n,4680 North Royal Atlanta Drive (xga4680n),4680 North Royal Atlanta Drive,4680,2020-07-01,2030-06-30,119.9,58.6,,60669.0,,BBS Enterprises Inc (t0000635),Industrial Net,120.0,5,25606.31,0.42,307275.72,5.06,2.08,0,0,Fund 2
FUND 2,xga5070,5070 Minola Drive (xga5070),5070 Minola Drive,5070-W,,,,,,48276.0,,VACANT,,,,,,,,,,,Fund 2
FUND 2,xga5121b,5121 Buford Highway (xga5121b),5121 Buford Highway,5121,2020-02-01,2030-01-31,120.0,53.7,,31000.0,,Selective Enterprises Inc (t0000636),Industrial Net,120.0,5.42,13000,0.42,156000,5.03,0.32,0,0,Fund 2
FUND 2,xga800in,800-850 Industrial Park Drive (xga800in),800-850 Industrial Park Drive,800-A,2022-09-01,2027-08-31,60.0,24.7,,47532.0,,"Mid Atlantic Roofing Supply Atlanta, LLC (t0000941)",Industrial Net,60.0,2.83,28411.94,0.6,340943.28,7.17,2.26,0,0,Fund 2
FUND 2,xga800in,800-850 Industrial Park Drive (xga800in),800-850 Industrial Park Drive,850-B,2019-09-01,2026-12-31,88.0,16.7,,25000.0,,WEX LLC (t0000640),Industrial Net,88.0,5.83,12921.08,0.52,155052.96,6.2,1.93,0,0,Fund 2
FUND 2,xga800in,800-850 Industrial Park Drive (xga800in),800-850 Industrial Park Drive,MEZZ,,,,,,0.0,,VACANT,,,,,,,,,,,Fund 2
FUND 2,xga800wh,800 Wharton Drive (xga800wh),800 Wharton Drive,A,2021-07-01,2026-06-30,60.0,10.6,0.0,58370.0,,Gate Precast (t0000646),Modified Gross,60.0,4,24320.83,0.42,291849.96,5,0.24,0,0,Fund 2
FUND 2,xga800wh,800 Wharton Drive (xga800wh),800 Wharton Drive,B,2021-07-01,2026-06-30,60.0,10.6,0.0,1600.0,,Formations Studio LLC (t0000647),Modified Gross,60.0,4,728,0.46,8736,5.46,0.24,0,0,Fund 2
FUND 2,xga9330,9330 Industrial Trace (xga9330),9330 Industrial Trace,9330,,,,,,22500.0,,VACANT,,,,,,,,,,,Fund 2
FUND 2,xga9335i,9335 Industrial Trace (xga9335i),9335 Industrial Trace,100,,,,,,20080.0,,VACANT,,,,,,,,,,,Fund 2
FUND 2,xgahire1,196 Rio Circle (xgahire1),196 Rio Circle,196,2020-11-01,2025-10-31,60.0,2.7,0.0,42000.0,,Construction Resources Company LLC (t0000436),Industrial Net,60.0,4.67,18447.84,0.44,221374.08,5.27,1.89,0,0,Fund 2
FUND 2,xgahire2,201 Laredo Drive (xgahire2),201 Laredo Drive,201,2020-11-01,2025-10-31,60.0,2.7,0.0,30000.0,,Construction Resources Company LLC (t0000437),Industrial Net,60.0,4.67,13165.12,0.44,157981.44,5.27,1.93,0,0,Fund 2
FUND 2,xgahire3,210 Rio Circle (xgahire3),210 Rio Circle,210,2020-11-01,2025-10-31,60.0,2.7,0.0,40841.0,,Construction Resources Company LLC (t0000438),Industrial Net,60.0,4.67,18520.7,0.45,222248.4,5.44,2.02,0,0,Fund 2
FUND 2,xgahire4,224 Rio Circle (xgahire4),224 Rio Circle,224,2020-11-01,2025-10-31,60.0,2.7,0.0,33000.0,,Construction Resources Company LLC (t0000439),Industrial Net,60.0,4.67,15718.5,0.48,188622,5.72,2.09,0,0,Fund 2
FUND 2,xgahire5,246 Rio Circle (xgahire5),246 Rio Circle,246,2020-11-01,2025-10-31,60.0,2.7,0.0,37500.0,,Construction Resources Company LLC (t0000440),Industrial Net,60.0,4.67,17861.93,0.48,214343.16,5.72,2.06,0,0,Fund 2
FUND 2,xgahire6,252 Rio Circle (xgahire6),252 Rio Circle,252,2020-11-01,2025-10-31,60.0,2.7,0.0,16600.0,,Construction Resources Company LLC (t0000441),Industrial Net,60.0,4.67,7284.7,0.44,87416.4,5.27,2.3,0,0,Fund 2
FUND 2,xgahire7,2980 Pine Street (xgahire7),2980 Pine Street,2980,2020-11-01,2025-10-31,60.0,2.7,0.0,27322.0,,Construction Resources Company LLC (t0000442),Industrial Net,60.0,4.67,11989.91,0.44,143878.92,5.27,1.93,0,0,Fund 2
FUND 2,xgahire8,3000 Pine Street (xgahire8),3000 Pine Street,3000,2020-11-01,2025-10-31,60.0,2.7,0.0,20000.0,,Construction Resources Company LLC (t0000443),Industrial Net,60.0,4.67,8776.75,0.44,105321,5.27,1.93,0,0,Fund 2
FUND 2,xgamc200,4200 McEver Drive (xgamc200),4200 McEver Drive,4200,2000-09-01,2030-08-31,359.9,60.7,0.0,45000.0,,Postal Service (t0000501),Modified Gross,360.0,24.83,17532,0.39,210384,4.68,0.83,0,0,Fund 2
FUND 2,xgamc220,4220 McEver Drive (xgamc220),4220 McEver Drive,4220,1995-02-01,2028-07-31,401.9,35.7,,36352.0,,Trussway LTD (t0000502),Modified Gross,402.0,30.42,33080.32,0.91,396963.84,10.92,0.71,0,0,Fund 2
FUND 2,xgamc220,4220 McEver Drive (xgamc220),4220 McEver Drive,MEZZ,,,,,,0.0,,VACANT,,,,,,,,,,,Fund 2
FUND 2,xgamc255,4255 McEver Drive (xgamc255),4255 McEver Drive,4255,2007-05-01,2028-07-31,255.0,35.7,,45376.0,,Trussway LTD (t0000503),Modified Gross,255.0,18.17,23241.59,0.51,278899.08,6.15,0.56,0,0,Fund 2
FUND 2,xgamc255,4255 McEver Drive (xgamc255),4255 McEver Drive,MEZZ,,,,,,0.0,,VACANT,,,,,,,,,,,Fund 2
FUND 2,xgamc260,4260 McEver Drive (xgamc260),4260 McEver Drive,4260,1997-09-25,2028-07-31,370.1,35.7,0.0,16704.0,,Trussway LTD (t0000504),Industrial Net,371.0,27.83,15200.64,0.91,182407.68,10.92,0.89,0,0,Fund 2
FUND 2,xgashaw1,986 Rosedale Dr                            (xgashaw1),986 Rosedale Dr,986,2021-06-04,2029-06-30,96.8,46.6,,16000.0,,Shaw Stainless LLC (t0000469),Industrial Net,97.0,4.08,8960,0.56,107520,6.72,1.12,0,0,Fund 2
FUND 2,xgashaw2,922 Mountain Ind Dr   (xgashaw2),922 Mountain Ind Dr,922,2021-06-04,2029-06-30,96.8,46.6,,11300.0,,Shaw Stainless LLC (t0000471),Industrial Net,97.0,4.08,7614.49,0.67,91373.88,8.09,1.85,0,0,Fund 2
FUND 2,xgashaw3,899 Mountain Ind Dr (xgashaw3),899 Mountain Ind Dr,899,2021-06-04,2029-06-30,96.8,46.6,,26880.0,,Shaw Stainless LLC (t0000470),Industrial Net,97.0,4.08,16889.19,0.63,202670.28,7.54,1.86,0,0,Fund 2
FUND 2,xgashaw4,"3275 Florence Rd, Bldg 300 (xgashaw4)","3275 Florence Rd, Bldg 300",300,2021-06-04,2029-06-30,96.8,46.6,,22200.0,,Shaw Stainless LLC (t0000474),Industrial Net,97.0,4.08,11724.96,0.53,140699.52,6.34,1.83,0,0,Fund 2
FUND 2,xgashaw5,"3275 Florence Rd, Bldg 200                       (xgashaw5)","3275 Florence Rd, Bldg 200",200,2021-06-04,2029-06-30,96.8,46.6,,17766.0,,Shaw Stainless LLC (t0000473),Industrial Net,97.0,4.08,9949.36,0.56,119392.32,6.72,1.79,0,0,Fund 2
FUND 2,xgashaw6,"3275 Florence Rd, Bldg 100                       (xgashaw6)","3275 Florence Rd, Bldg 100",100,2021-06-04,2029-06-30,96.8,46.6,,11275.0,,Shaw Stainless LLC (t0000472),Industrial Net,97.0,4.08,6314.25,0.56,75771,6.72,2.2,0,0,Fund 2
FUND 2,xil1000a,1000 Atlantic Drive (xil1000a),1000 Atlantic Drive,1000,2021-09-01,2026-08-31,60.0,12.7,,43356.0,,PackSmart Inc.  (t0000678),Modified Gross,60.0,3.83,21983.05,0.51,263796.6,6.08,2.02,0,0,Fund 2
FUND 2,xil1000e,1000 E 87th St (xil1000e),1000 E 87th St,100,2022-08-01,2027-09-30,62.0,25.7,,34330.0,,"Listener Brands, Inc.  (t0000917)",Industrial Net,62.0,2.92,18969.11,0.55,227629.32,6.63,2.92,0,0,Fund 2
FUND 2,xil1001a,1001 Arthur Avenue (xil1001a),1001 Arthur Avenue,1001,2018-10-01,2029-01-31,124.0,41.7,,19963.0,,Tykables LLC (t0000679),Industrial Net,124.0,6.75,13774.47,0.69,165293.64,8.28,5.23,0,0,Fund 2
FUND 2,xil1100h,1100-1150 Howard (xil1100h),1100-1150 Howard,1100,2020-11-01,2025-12-31,62.0,4.7,,7500.0,,"IGT Service, LLC (t0000922)",Modified Gross,62.0,4.67,5451.68,0.73,65420.16,8.72,3.19,0,0,Fund 2
FUND 2,xil1100h,1100-1150 Howard (xil1100h),1100-1150 Howard,1130,2025-02-01,2030-01-31,60.0,53.7,,8613.0,,"Genband Industries, LLC (t0001359)",Industrial Net,60.0,0.42,5742,0.67,68904,8,5.25,0,0,Fund 2
FUND 2,xil1100h,1100-1150 Howard (xil1100h),1100-1150 Howard,1150,1995-04-01,2028-08-31,401.0,36.7,,7500.0,,Bunting Magnetics Company (t0000925),Industrial Net,401.0,30.25,5191.41,0.69,62296.92,8.31,3.38,0,0,Fund 2
FUND 2,xil1111,1111 Bowes Rd (xil1111),1111 Bowes Rd,100,2012-04-01,2027-03-31,179.9,19.6,,144578.0,,"Proven Partners Manufacturing, LLC (t0000510)",Industrial Net,180.0,13.25,79192.81,0.55,950313.72,6.57,2.29,0,0,Fund 2
FUND 2,xil11697,11697 W Grand (xil11697),11697 W Grand,11697,2022-04-25,2029-04-30,84.2,44.6,,48340.0,,CTL Global Inc.  (t0000767),Industrial Net,85.0,3.25,23608.21,0.49,283298.52,5.86,2.21,0,0,Fund 2
FUND 2,xil1200p,1200 Pratt Boulevard (xil1200p),1200 Pratt Boulevard,1200,2006-10-01,2026-09-30,239.9,13.7,,32000.0,,"Andrews Paperboard, Inc. (t0000815)",Industrial Net,240.0,18.75,19001.55,0.59,228018.6,7.13,4.79,0,0,Fund 2
FUND 2,xil121lo,121 South Lombard Road (xil121lo),121 South Lombard Road,121,2022-02-28,2027-08-28,65.9,24.6,,20000.0,,"Enpro, Inc. (t0000731)",Industrial Net,66.0,3.42,14300,0.72,171600,8.58,3.24,0,0,Fund 2
FUND 2,xil141be,141-145 Bernice (xil141be),141-145 Bernice,143,2020-04-01,2026-10-31,79.0,14.7,,2925.0,,"Inventory & Return Solutions, Inc. (t0000787)",Industrial Net,79.0,5.25,2319.59,0.79,27835.08,9.52,2.47,0,0,Fund 2
FUND 2,xil141be,141-145 Bernice (xil141be),141-145 Bernice,145,2014-09-01,2027-07-31,154.9,23.7,,5850.0,,"Jade Carpentry Contractors, Inc. (t0000788)",Industrial Net,155.0,10.83,4519.13,0.77,54229.56,9.27,4.49,0,0,Fund 2
FUND 2,xil141be,141-145 Bernice (xil141be),141-145 Bernice,141,,,,,,2925.0,,VACANT,,,,,,,,,,,Fund 2
FUND 2,xil1600,1600 Hunter Rd (xil1600),1600 Hunter Rd,100,1995-06-21,2031-01-31,427.3,65.7,0.0,238423.0,,"Insight North America, Inc. (t0000514)",Industrial Net,428.0,30.08,139278.77,0.58,1671345.24,7.01,0,0,0,Fund 2
FUND 2,xil1600b,1600 Birchwood Avenue (xil1600b),1600 Birchwood Avenue,1600,2022-03-31,2032-03-31,120.0,79.7,,64216.0,,"Fasteners For Retail, Inc. (t0000775)",Industrial Net,121.0,3.33,36547.17,0.57,438566.04,6.83,3.98,0,0,Fund 2
FUND 2,xil1630b,1630 Birchwood Avenue (xil1630b),1630 Birchwood Avenue,1630,2022-03-31,2032-03-31,120.0,79.7,,40550.0,,"Fasteners For Retail, Inc. (t0000774)",Industrial Net,121.0,3.33,23078.17,0.57,276938.04,6.83,3.08,0,0,Fund 2
FUND 2,xil1688,1688 Glen Ellyn Rd (xil1688),1688 Glen Ellyn Rd,1688,2014-01-01,2029-06-30,185.9,46.6,,84804.0,,"KKSP Precision Machining, LLC (t0000518)",Industrial Net,186.0,11.5,30882.79,0.36,370593.48,4.37,2.73,0,0,Fund 2
FUND 2,xil1701b,1701 Birchwood (xil1701b),1701 Birchwood,100,2019-09-01,2028-06-30,105.9,34.7,,48790.0,,"Amphenol EEC, Inc. (t0000921)",Modified Gross,106.0,5.83,56555.74,1.16,678668.88,13.91,0,0,0,Fund 2
FUND 2,xil1terr,1 Territorial Court (xil1terr),1 Territorial Court,"A,  B,  C",2005-07-01,2026-09-30,255.0,13.7,,52403.0,,Turbo Systems US Inc. (t0000511),Industrial Net,255.0,20,37462.84,0.71,449554.08,8.58,3.92,0,0,Fund 2
FUND 2,xil201ja,201 James Street (xil201ja),201 James Street,1050,2025-04-01,2028-03-31,36.0,31.7,,2934.0,,"Family Vending, LLC (t0001448)",Industrial Net,36.0,0.25,2200.5,0.75,26406,9,3.19,0,0,Fund 2
FUND 2,xil201ja,201 James Street (xil201ja),201 James Street,1060,2021-11-01,2027-10-31,71.9,26.7,,1971.0,,"JL Services Group, Inc. (t0000793)",Modified Gross,72.0,3.67,1616.22,0.82,19394.64,9.84,1.8,0,0,Fund 2
FUND 2,xil201ja,201 James Street (xil201ja),201 James Street,1070,2025-02-01,2028-03-31,37.9,31.7,,4680.0,,"A&J Direct, Inc. (t0001418)",Industrial Net,38.0,0.42,3900,0.83,46800,10,3.19,0,0,Fund 2
FUND 2,xil201ja,201 James Street (xil201ja),201 James Street,1080,2022-10-01,2028-09-30,72.0,37.7,,5382.0,,Lincare Inc (t0000950),Industrial Net,72.0,2.75,4485,0.83,53820,10,4.13,0,0,Fund 2
FUND 2,xil201ja,201 James Street (xil201ja),201 James Street,201,2024-05-01,2029-04-30,60.0,44.6,,7020.0,,Frontier Electric Supply (t0001155),Industrial Net,60.0,1.17,5780,0.82,69360,9.88,4.13,0,0,Fund 2
FUND 2,xil2101,2101 Arthur Avenue (xil2101),2101 Arthur Avenue,200,2024-11-01,2029-04-30,53.9,44.6,,26994.0,,"Logisteed America, Inc. (t0001197)",Industrial Net,54.0,0.67,20807.88,0.77,249694.56,9.25,3.07,0,0,Fund 2
FUND 2,xil2101,2101 Arthur Avenue (xil2101),2101 Arthur Avenue,B-C,2020-03-01,2030-08-31,126.0,60.7,,34455.0,,Centerpoint Marketing Inc. (t0000594),Industrial Net,126.0,5.33,0.01,0,0.06,0,3.85,0,0,Fund 2
FUND 2,xil2101,2101 Arthur Avenue (xil2101),2101 Arthur Avenue,B,,,,,,21080.0,,VACANT,,,,,,,,,,,Fund 2
FUND 2,xil222ja,222 James Street (xil222ja),222 James Street,,2022-10-17,2027-11-30,61.4,27.7,,0.0,,Sun Badger Solar LLC (t0000907),Industrial Net,62.0,2.75,0,0,0,0,0,0,0,Fund 2
FUND 2,xil222ja,222 James Street (xil222ja),222 James Street,222,2019-04-01,2029-03-31,120.0,43.7,,11020.0,,"United Refrigeration, Inc. (t0000881)",Industrial Net,120.0,6.25,8925.24,0.81,107102.88,9.72,4.27,0,0,Fund 2
FUND 2,xil222ja,222 James Street (xil222ja),222 James Street,224,2023-05-01,2028-06-30,62.0,34.7,,12905.0,,Triple Trading (t0001016),Industrial Net,62.0,2.17,0,0,0,0,4.17,0,0,Fund 2
FUND 2,xil231ja,231 James Street (xil231ja),231 James Street,"1071,  241",2014-09-01,2026-06-30,141.9,10.6,,10267.0,,"Fitzsimmons Surgical Supply, Inc. (t0000804)",Industrial Net,142.0,10.83,7563.36,0.74,90760.32,8.84,3.58,0,0,Fund 2
FUND 2,xil231ja,231 James Street (xil231ja),231 James Street,231,2016-07-01,2026-07-31,121.0,11.7,,5402.0,,American Expediting Logistics LLC (t0000798),Industrial Net,121.0,9,4445.18,0.82,53342.16,9.87,3.3,0,0,Fund 2
FUND 2,xil231ja,231 James Street (xil231ja),231 James Street,233,2023-08-02,2026-08-31,37.0,12.7,,2139.0,,Skala Manufacturing (t0001050),Industrial Net,37.0,1.92,1853.8,0.87,22245.6,10.4,3.54,0,0,Fund 2
