index,customer_id,tenant_name,matched_credit_name,match_score,match_method,actual_similarity,action,reason
77,,Trident ExIm LLC,"Trident EXIM, LLC",95,PDF-assisted,100.0,KEEP,High similarity (100.0%)
78,c0001075,"Florida DeliCo, LLC","Florida Food Products, LLC",76,Token fuzzy match,57.1,REMOVE,Fuzzy match with low similarity (57.1%)
83,c0000225,"Daring Design, LLC","Daring Design, LLC",95,PDF-assisted,100.0,KEEP,High similarity (100.0%)
84,c0000759,"Xcision Medical Systems, LLC","Viscot Medical, LLC",76,Token fuzzy match,59.5,REMOVE,Fuzzy match with low similarity (59.5%)
88,c0000493,"Motion Industries, Inc.","Ox Industries, Inc.",84,Fuzzy match,80.0,REVIEW,Medium similarity (80.0%)
89,c0000531,Overhead Door Corporation,Chemed Corporation,76,Token fuzzy match,62.9,REMOVE,Low confidence match (62.9%)
90,c0000766,Z.One Concept USA,"Z.One Concept USA, Inc.",100,Manual correction,100.0,KEEP,High similarity (100.0%)
91,c0000194,"Clique Here, LLC",Clique Here LLC,95,PDF-assisted,100.0,KEEP,High similarity (100.0%)
95,c0000771,Marcolin U.S.A. Eyewear Corp.,Macrolin U.S.A. Eyewear Corp (sub of Marcolin Group),100,Token fuzzy match,61.8,REVIEW,Medium similarity (61.8%)
97,c0000870,"cbdMD, Inc.","cbdMD, Inc.",100,Fuzzy match,100.0,KEEP,High similarity (100.0%)
98,c0000872,"Atlas Copco Compressors, LLC",Atlas Copco AB,88,Token fuzzy match,64.9,REVIEW,Medium similarity (64.9%)
99,c0000873,"Bates Enterprises, Inc.","Insight Enterprises, Inc.",83,Token fuzzy match,72.2,REVIEW,Medium similarity (72.2%)
103,c0000899,CORMED USA INC.,"Core & Main, Inc.",74,Token fuzzy match,47.6,REMOVE,Fuzzy match with low similarity (47.6%)
104,c0000951,"Laker Partners, LLC","Proven Partners Group, LLC (PPG)",80,Token fuzzy match,48.8,REMOVE,Fuzzy match with low similarity (48.8%)
107,c0000958,"B & D Industrial, Inc.","Mitchell Industrial Tire Co., Inc. (MITCO)",88,Token fuzzy match,45.8,REMOVE,Fuzzy match with low similarity (45.8%)
109,c0000962,"Delta Landscape Supply of Georgia, Inc","Delta Landscape Supply Of Georgia, Inc.",100,Fuzzy match,100.0,KEEP,High similarity (100.0%)
110,,"Champion Gymnastics & Cheer, LLC,","Champion Gymnastics and Cheer, LLC",94,Fuzzy match,92.9,KEEP,High similarity (92.9%)
114,c0000973,"Aluma-Form, Inc.","Aluma-Form, Inc",100,Fuzzy match,100.0,KEEP,High similarity (100.0%)
117,c0000985,"All-N-Express, LLC","ORAS Express, LLC",81,Token fuzzy match,64.0,REVIEW,Medium similarity (64.0%)
118,c0000988,Kee Pest Control Inc.,"Control Works, Inc.",76,Fuzzy match,48.3,REMOVE,Low confidence match (48.3%)
120,c0000997,Shearer Supply Inc.,"American Musical Supply, Inc. (AMS)",71,Token fuzzy match,46.5,REMOVE,Fuzzy match with low similarity (46.5%)
122,c0001073,"Diagnostic Support Services, Inc.","Triangle Services, Inc.",73,Token fuzzy match,54.5,REMOVE,Fuzzy match with low similarity (54.5%)
123,c0001073,"Diagnostic Support Services, Inc.","Triangle Services, Inc.",73,Token fuzzy match,54.5,REMOVE,Fuzzy match with low similarity (54.5%)
124,,"MWD Logistics, Inc.","MWD Logistics, Inc.",95,PDF-assisted,100.0,KEEP,High similarity (100.0%)
125,c0000897,"CFC Group, LLC","CFC Group, LLC",95,PDF-assisted,100.0,KEEP,High similarity (100.0%)
127,,Ken Color Laboratories,"Ken Color Laboratories, Inc.",92,Fuzzy match,100.0,KEEP,High similarity (100.0%)
128,,"Beard Integrated Systems, Inc.","Beard Integrated Systems, Inc.",95,PDF-assisted,100.0,KEEP,High similarity (100.0%)
129,c0001048,Flower Shop El Chapin LLC,"Flower Shop El Chap In, LLC",95,PDF-assisted,97.7,KEEP,High similarity (97.7%)
130,c0000945,"NYSE GROUP, INC.","Clean Solutions Group, Inc. (CSG)",78,Token fuzzy match,43.2,REMOVE,Fuzzy match with low similarity (43.2%)
131,,"American Expediting Logistics, LLC","American Expediting Logistics, LLC",95,PDF-assisted,100.0,KEEP,High similarity (100.0%)
132,,"IMI Management, INC","IMI Management, Inc. (IMI)",90,Fuzzy match,82.4,REVIEW,Medium similarity (82.4%)
134,,Circuit Works Corporation,Circuit Works Corporation (CWC),95,PDF-assisted,87.5,KEEP,High similarity (87.5%)
135,c0001071,"American Traffic Solutions, Inc.","American Traffic Solutions, Inc. (ATS) sub of Verra Mobility",100,Token fuzzy match,65.0,REVIEW,Medium similarity (65.0%)
136,c0001078,"SHLA Group, Inc.","Clean Solutions Group, Inc. (CSG)",78,Token fuzzy match,43.2,REMOVE,Fuzzy match with low similarity (43.2%)
138,c0000918,Prime Egrocery Inc,"Prime Egrocery, Inc.",95,PDF-assisted,100.0,KEEP,High similarity (100.0%)
140,c0001072,Digi America Inc.,"DIGI America, Inc. (wholly-owned sub of Teraoka Seiko Co., LTD)",100,Token fuzzy match,39.3,REMOVE,Very low similarity (39.3%)
141,,March Products Inc.,"March Products, Inc.",100,Fuzzy match,100.0,KEEP,High similarity (100.0%)
142,c0001074,"On Time Express, LLC","ORAS Express, LLC",81,Token fuzzy match,66.7,REVIEW,Medium similarity (66.7%)
143,,"Koontz Electric Company, Inc.","Koontz Electric Company, Incorporated",86,Fuzzy match,75.0,REVIEW,Medium similarity (75.0%)
144,c0001077,"Pro-Cam Georgia, Inc.","Delta Landscape Supply Of Georgia, Inc.",73,Token fuzzy match,41.7,REMOVE,Fuzzy match with low similarity (41.7%)
145,c0001070,Harimatec Inc.,"Harimatec, Inc (wholly-owned sub of Harima Chemicals Group, Inc - TYO: 4410)",100,Token fuzzy match,24.0,REMOVE,Very low similarity (24.0%)
146,,ADT LLC,ADT Inc.,85,Base name match,100.0,KEEP,High similarity (100.0%)
