amendment hmy,property hmy,property code,tenant hmy,tenant id,amendment status code,amendment status,amendment type code,amendment type,amendment sequence,units under amendment,hmy units under amendment,amendment sf,amendment term,amendment start date,amendment end date,amendment sign date,amendment description,amendment notes,holdover %,amendment start date serial,amendment end date serial
493,1388,xnj2036b,1386,t0000450,1,Activated,0,Original Lease,0,100,532,10000,120,5/1/2016,4/30/2026,,Original,,120,42491,46142.0
494,1388,xnj2036b,1388,t0000452,1,Activated,0,Original Lease,0,200,533,5025,120,1/1/2017,12/31/2026,,Original,,115,42736,46387.0
496,1389,xnj6000i,1387,t0000451,2,Superseded,0,Original Lease,0,6000,540,34847,84,5/1/2017,4/30/2024,,Original Lease,,0,42856,45412.0
497,1388,xnj2036b,1389,t0000453,1,Activated,0,Original Lease,0,300,534,9849,123,1/1/2019,3/31/2029,,Original,,115,43466,47208.0
498,1388,xnj2036b,1390,t0000454,1,Activated,0,Original Lease,0,400,535,15075,120,4/1/2020,3/31/2030,,2nd Amendment,,115,43922,47573.0
18594,1882,xnj128ba,5476,t0000626,1,Activated,5,Holdover,1,02,3861,20631,2,8/1/2022,9/30/2022,,Holdover,,200,44774,44834.0
34315,1390,xtxball,28220,t0001003,1,Activated,2,Expansion,1,9615,509,29772,62,4/1/2023,5/31/2028,,Attach Unit,,200,45017,46904.0
34316,2989,xnj200ri,7396,t0000704,2,Superseded,1,Renewal,1,200,5740,63000,36,4/1/2023,3/31/2026,,Renewal,Created by exercising a Renewal Option,150,45017,46112.0
34333,3669,xil222ja,29046,t0001016,1,Activated,0,Original Lease,0,224,12834,12905,62,5/1/2023,6/30/2028,2023-04-06,Original Lease,,200,45047,46934.0
34334,3669,xil222ja,17708,t0000907,1,Activated,4,Termination,1,,,12905,0,3/31/2023,3/31/2023,2023-03-27,Termination Agreement,,0,45016,45016.0
34350,1653,xtxritti,29069,t0001017,2,Superseded,0,Original Lease,0,3,2983,8730,39,4/15/2023,6/30/2026,2023-04-12,Original Lease,,200,45031,46203.0
34377,3202,xtx467wa,19584,t0000943,2,Superseded,1,Renewal,1,AD,16678,0,0,5/15/2023,5/13/2024,,Renewal,Created by exercising a Renewal Option,0,45061,45425.0
34404,2985,xil1001a,6528,t0000679,1,Activated,1,Renewal,1,1001,4975,19963,61,1/1/2024,1/31/2029,2023-04-17,FP Lease,,150,45292,47149.0
34409,3545,xil231ja,13232,t0000798,1,Activated,1,Renewal,1,231,9148,5399,37,7/1/2023,7/31/2026,2023-04-17,FP Lease,,150,45108,46234.0
34425,3545,xil231ja,13232,t0000798,1,Activated,9,Assignment,2,,,0,0,7/1/2023,,,Entity change,,0,45108,
34426,3622,xtx1050k,13714,t0000823,1,Activated,1,Renewal,1,10511,10157,5423,1,5/1/2023,5/31/2023,2023-04-19,Amended & Restated AG,,200,45047,45077.0
34429,1754,xgadors,4716,t0000583,2,Superseded,1,Renewal,1,750,3335,20500,36,7/1/2023,6/30/2026,2023-04-20,Eighth Amendment,,0,45108,46203.0
34430,2990,xga4600f,6540,t0000684,1,Activated,5,Holdover,2,4630-A,4970,7500,1,5/1/2023,5/31/2023,,HoldOver,,200,45047,45077.0
34431,3273,xga3350h,7696,t0000713,2,Superseded,1,Renewal,1,300,6048,30000,6,1/1/2023,6/30/2023,2023-04-03,Second Amendment,,150,44927,45107.0
34441,1886,xga4507m,5505,t0000643,1,Activated,1,Renewal,1,I,4029,4137,36,10/1/2023,9/30/2026,2023-04-26,Amd and Restated AG,as of 10/01/2023:   Add 5% Mgmt   Add 5% Late fee at 5 days late,200,45200,46295.0
34442,1876,xnj17pol,29305,t0001021,1,Activated,0,Original Lease,0,03,3865,18880,62,6/1/2023,7/31/2028,2023-04-28,Original Lease,,150,45078,46965.0
34443,1681,xga4225,4353,t0000571,1,Activated,1,Renewal,1,112,3018,2730,60,7/1/2023,6/30/2028,2023-04-27,Amd and Restated AG,Renewal term is Gross.,200,45108,46934.0
505,1387,xnj3001i,1398,t0000457,2,Superseded,0,Original Lease,0,A,536,24600,60,1/1/2020,12/31/2024,,Renewal,,115,43831,45657.0
506,1387,xnj3001i,1399,t0000458,2,Superseded,0,Original Lease,0,B,537,24805,84,5/1/2017,4/30/2024,,1st Amendment,,115,42856,45412.0
507,1387,xnj3001i,1400,t0000459,2,Superseded,0,Original Lease,0,C,538,25528,64,4/22/2017,7/31/2022,,Original,,115,42847,44773.0
508,1387,xnj3001i,1401,t0000460,2,Superseded,0,Original Lease,0,E,539,12000,72,2/1/2017,1/31/2023,,3rd Renewal,,120,42767,44957.0
511,1372,xtndelp1,1405,t0000462,1,Activated,0,Original Lease,0,4354,497,63840,12,11/1/2020,10/31/2021,,,,0,44136,44500.0
512,1379,xflstuar,1407,t0000464,1,Activated,0,Original Lease,0,6959,556,22734,60,9/1/2020,8/31/2025,2020-09-23,Amd and Restated AG,,0,44075,45900.0
1390,1590,xgashaw1,2247,t0000469,1,Activated,0,Original Lease,0,986,1451,16000,97,6/4/2021,6/30/2029,,,"PM Fee: Not to exceed 3% of Base Rent + Additional Rent (CAM, Tax, Ins)  Roof Repair/Replacement: after yr 1, LL resp for roof",150,44351,47299.0
1391,1592,xgashaw3,2249,t0000470,1,Activated,0,Original Lease,0,899,1449,26880,97,6/4/2021,6/30/2029,,,"PM Fee: Not to exceed 3% of Base Rent + Additional Rent (CAM, Tax, Ins)  Roof Rep/Repl: LL resp after Yr1",150,44351,47299.0
1392,1591,xgashaw2,2250,t0000471,1,Activated,0,Original Lease,0,922,1450,11300,97,6/4/2021,6/30/2029,,,PM Fee: not to exceed 3% of Base Rent + Additional Rent  Roof repairs/repl: LL resp,150,44351,47299.0
4505,1733,xga5070,4628,t0000581,2,Superseded,0,Original Lease,0,5070-W,3277,48276,3,10/12/2021,12/31/2021,,,,150,44481,44561.0
4506,1735,xnj108n,4632,t0000582,2,Superseded,0,Original Lease,0,108,3278,23912,37,10/21/2021,10/31/2024,,Original,,150,44490,45596.0
4507,1675,xnj440be,4307,t0000554,1,Activated,4,Termination,1,,,1232,0,10/7/2021,10/7/2021,,Termination,,0,44476,44476.0
1393,1595,xgashaw6,2251,t0000472,1,Activated,0,Original Lease,0,100,1446,11275,97,6/4/2021,6/30/2029,,,"PM Fee: not to exceed 3% of base rent + additional rent (CAM, Tax, Ins)  Roof rep/repl: LL resp after Yr1",150,44351,47299.0
1394,1594,xgashaw5,2252,t0000473,1,Activated,0,Original Lease,0,200,1447,17766,97,6/4/2021,6/30/2029,,,"PM Fee: not to exceed 3% of base rent + additional rent (CAM, Tax, Ins)  Roof Rep/Repl: LL resp after yr1",150,44351,47299.0
1395,1593,xgashaw4,2253,t0000474,1,Activated,0,Original Lease,0,300,1448,22200,97,6/4/2021,6/30/2029,,,"PM Fee: not to exceed 3% of base rent + additional rent (CAM, Tax, Ins)  Roof rep/repl: LL resp after Yr1",150,44351,47299.0
1396,1383,xohmost,2256,t0000475,2,Superseded,0,Original Lease,0,C,505,47107,37,7/1/2021,7/31/2024,2022-06-08,Original Lease,,200,44378,45504.0
1437,1584,xnjmway3,2299,t0000481,1,Activated,0,Original Lease,0,B,1544,21250,64,4/1/2017,7/31/2022,,Renewal,,0,42826,44773.0
1444,1584,xnjmway3,2302,t0000482,1,Activated,0,Original Lease,0,C,1545,10500,15,1/1/2021,3/31/2022,,Renewal,,0,44197,44651.0
1446,1587,xnjmway9,2305,t0000483,2,Superseded,0,Original Lease,0,A1,1583,12500,69,5/1/2016,1/31/2022,,Extension 1,,0,42491,44592.0
1449,1587,xnjmway9,2307,t0000485,2,Superseded,0,Original Lease,0,A,1582,7500,60,9/1/2016,8/31/2021,,Original,,0,42614,44439.0
1450,1585,xnjmway5,2308,t0000486,2,Superseded,0,Original Lease,0,A,1546,10000,60,9/1/2008,8/31/2013,,Original Lease,,0,39692,41517.0
1451,1585,xnjmway5,2309,t0000487,2,Superseded,0,Original Lease,0,B,1547,10000,12,11/1/2020,10/31/2021,,Original,,0,44136,44500.0
1453,1585,xnjmway5,2313,t0000488,2,Superseded,0,Original Lease,0,C,1548,20000,39,12/1/2019,2/28/2023,,Original,,0,43800,44985.0
1456,1586,xnjmway7,2316,t0000490,2,Superseded,0,Original Lease,0,B,1581,20000,36,7/1/2019,6/30/2022,,Original,,130,43647,44742.0
10812,3376,xga9335i,10100,t0000766,1,Activated,0,Original Lease,0,100,8242,20080,37,4/18/2022,4/30/2025,,,,150,44669,45777.0
10813,1876,xnj17pol,5485,t0000633,1,Activated,1,Renewal,1,05,3867,14035,5,6/1/2022,10/31/2022,2022-02-18,6th Amendment,,0,44713,44865.0
10814,3377,xil11697,10107,t0000767,2,Superseded,0,Original Lease,0,11697,8245,48340,85,4/25/2022,4/30/2029,2022-04-25,Original Lease,,150,44676,47238.0
10815,1689,xga265c,10108,t0000768,1,Activated,0,Original Lease,0,265,3026,82486,122,5/15/2022,7/15/2032,2022-05-02,Original Lease,,150,44696,48410.0
10816,1754,xgadors,4719,t0000586,2,Superseded,1,Renewal,1,100,3328,76625,84,11/1/2022,10/31/2029,,Renewal,,0,44866,47422.0
10817,1754,xgadors,4744,t0000590,2,Superseded,1,Renewal,1,710,3336,10979,90,5/1/2022,10/31/2029,2022-04-29,Renewal,,150,44682,47422.0
1457,1587,xnjmway9,2317,t0000491,2,Superseded,0,Original Lease,0,B,1584,21800,18,9/1/2020,2/28/2022,,Extension 1,,200,44075,44620.0
1459,1584,xnjmway3,2318,t0000492,2,Superseded,0,Original Lease,0,A,1539,10550,34,6/1/2017,3/31/2020,,Original,,0,42887,43921.0
1540,1383,xohmost,1306,t0000434,1,Activated,2,Expansion,1,B,504,20843,45,6/30/2021,2/28/2025,2021-05-13,Expansion,,0,44377,45716.0
1544,1599,xnjmorri,2383,t0000494,2,Superseded,0,Original Lease,0,14,1538,38000,120,3/1/2014,2/29/2024,2001-02-28,2nd Amendment,Per Andrew - Tenant pays expenses directly,200,41699,45351.0
1545,1585,xnjmway5,2308,t0000486,2,Superseded,1,Renewal,1,A,1546,10000,60,9/1/2013,8/31/2018,,Renewal 1,,0,41518,43343.0
1546,1585,xnjmway5,2308,t0000486,2,Superseded,1,Renewal,2,A,1546,10000,60,9/1/2018,8/31/2023,,Renewal 2,,0,43344,45169.0
1547,1585,xnjmway5,2384,t0000495,1,Activated,20,License Agreement,0,ANT-A,1549,0,121,10/31/2008,10/31/2018,,Original,,0,39752,43404.0
1548,1587,xnjmway9,2307,t0000485,1,Activated,1,Renewal,1,A,1582,7500,60,9/1/2021,8/31/2026,,Renewal 1,,0,44440,46265.0
1570,1585,xnjmway5,2384,t0000495,1,Activated,20,License Agreement,1,ANT-A,1549,0,72,12/1/2018,11/30/2024,,Renewal Option 2,,0,43435,45626.0
1587,1585,xnjmway5,2385,t0000496,2,Superseded,20,License Agreement,0,ANT-B,1551,0,61,5/26/2011,5/31/2016,,Original,,0,40689,42521.0
1588,1585,xnjmway5,2385,t0000496,1,Activated,1,Renewal,1,ANT-B,1551,0,124,6/1/2016,9/30/2026,,Renewal Option 1,,0,42522,46295.0
1593,1586,xnjmway7,2414,t0000497,2,Superseded,0,Original Lease,0,A,1580,20000,0,7/15/2010,5/31/2021,,Original,,0,40374,44347.0
1783,1584,xnjmway3,2318,t0000492,2,Superseded,1,Renewal,1,A,1539,10550,29,4/1/2020,8/31/2022,,,Created by exercising a Renewal Option,0,43922,44804.0
10867,1655,xnjcentr,10167,t0000770,2,Superseded,0,Original Lease,0,7055-1,2988,20721,61,5/1/2022,5/31/2027,2022-04-29,Original Lease,,200,44682,46538.0
10899,1584,xnjmway3,10195,t0000771,1,Activated,0,Original Lease,0,A       //B       //C,1539//1544//1545,42560,120,2/1/2023,1/31/2033,2022-05-10,Original Lease,Expected delivery December 1,200,44958,48610.0
10901,2725,xohcolu2,10200,t0000772,1,Activated,0,Original Lease,0,3045,4574,6330,62,9/19/2022,10/31/2027,2022-04-26,Original Lease,,150,44823,46691.0
10902,2725,xohcolu2,10201,t0000773,1,Activated,0,Original Lease,0,3055,4575,5980,38,9/19/2022,10/31/2025,2022-05-02,Original Lease,,200,44823,45961.0
10903,3368,xil1630b,10202,t0000774,1,Activated,0,Original Lease,0,1630,9248,40550,121,3/31/2022,3/31/2032,2022-03-28,Original Lease,,150,44651,48304.0
10904,3367,xil1600b,10203,t0000775,1,Activated,0,Original Lease,0,1600,9247,64216,121,3/31/2022,3/31/2032,2022-03-28,Original Lease,,150,44651,48304.0
4576,1689,xga265c,4363,t0000575,1,Activated,1,Renewal,1,265,3026,82486,3,1/1/2022,3/31/2022,2021-10-25,2ND AMEND,,0,44562,44651.0
4577,1754,xgadors,4716,t0000583,2,Superseded,0,Original Lease,0,750,3335,20500,142,9/15/2011,6/30/2023,,,,0,40801,45107.0
4578,1754,xgadors,4717,t0000584,2,Superseded,0,Original Lease,0,600,3334,12234,120,10/1/2015,9/30/2025,,,,0,42278,45930.0
4579,1754,xgadors,4718,t0000585,2,Superseded,0,Original Lease,0,500,3332,12098,187,7/1/2010,2/3/2026,,,,0,40360,46056.0
4580,1754,xgadors,4719,t0000586,2,Superseded,0,Original Lease,0,100,3328,76625,84,11/1/2015,10/31/2022,,,"Lease Includes Bldgs: A, B, C, & D",0,42309,44865.0
4591,1754,xgadors,4744,t0000590,2,Superseded,0,Original Lease,0,710,3336,10979,12,5/1/2021,4/30/2022,,,"Lease for Bldg G, Ste B",150,44317,44681.0
4104,1640,xgamc200,4124,t0000501,1,Activated,0,Original Lease,0,4200,2952,45000,300,9/1/2000,8/31/2025,,,"Rent due in arrears (month end)  Tax: Fixed 33.33% PRS, previously, 100%  as of 04/18/2023  Utilities only. No CAM or PM Fee",0,36770,45900.0
4105,1641,xgamc220,4125,t0000502,2,Superseded,0,Original Lease,0,4220,2953,36000,341,2/1/1995,6/30/2023,,,NAICS 423310  PRS Common Area Costs  1994 Base Year,200,34731,45107.0
4106,1642,xgamc255,4126,t0000503,2,Superseded,0,Original Lease,0,4255,2954,45000,194,5/1/2007,6/30/2023,,,NAICS 423310  2018 Base Year  PRS Taxes/Ins,200,39203,45107.0
4107,1643,xgamc260,4127,t0000504,2,Superseded,0,Original Lease,0,4260,2955,15000,310,9/25/1997,6/30/2023,,,NAICS 423310  1997 Base Year   Taxes/Ins,200,35698,45107.0
4111,1645,xilmitch,4154,t0000505,1,Activated,0,Original Lease,0,561,2956,30000,120,7/1/2016,6/30/2026,,Second Amendment,"T pays OpEx directly. CAM and INS are recoverable if expenses fall on FP, per Second Amd.  RETax is non-recoverable per Original Lease",150,42552,46203.0
4117,1656,xpastate,4169,t0000507,2,Superseded,0,Original Lease,0,8800,2957,17063,60,4/1/2021,3/31/2026,,2nd Amendment,,105,44287,46112.0
4118,1654,xohcomme,4170,t0000508,2,Superseded,0,Original Lease,0,10021,2958,80414,96,3/1/2015,2/28/2023,,1st Amendment,,150,42064,44985.0
4120,1657,xilmount,4171,t0000509,1,Activated,0,Original Lease,0,1,2961,64002,180,12/15/2015,12/14/2030,,Original Lease,,150,42353,47831.0
4121,1665,xil1111,4175,t0000510,1,Activated,0,Original Lease,0,100,2962,144578,180,4/1/2012,3/31/2027,,,"No Mgmt, per Lease",150,41000,46477.0
4122,1664,xil1terr,4176,t0000511,2,Superseded,0,Original Lease,0,A       //B,2963//2964,30402,255,7/1/2005,9/30/2026,2021-07-14,Sixth Amendment,,150,38534,46295.0
4123,1664,xil1terr,4181,t0000512,2,Superseded,0,Original Lease,0,C,2965,22001,38,11/1/2019,12/31/2022,,Original Lease,,150,43770,44926.0
4124,1663,xil1600,4183,t0000514,1,Activated,0,Original Lease,0,100,2969,238423,366,6/21/1995,11/30/2025,,Fourth Amendment,T pays OpEx directly.,150,34871,45991.0
4125,1658,xtn225bo,4187,t0000515,1,Activated,0,Original Lease,0,101,2966,45820,11,12/1/2020,10/31/2021,,,,0,44166,44500.0
4126,1662,xil305e,4190,t0000516,2,Superseded,0,Original Lease,0,307,2971,17605,165,8/31/2011,4/30/2025,,First Amendment,,125,40786,45777.0
4127,1662,xil305e,4191,t0000517,2,Superseded,0,Original Lease,0,305,2970,32404,126,3/15/2013,8/31/2023,,First Amendment,,150,41348,45169.0
5620,1895,xtx3662m,5633,t0000650,1,Activated,0,Original Lease,0,3670,4158,26350,74,2/1/2017,3/31/2023,,,,0,42767,45016.0
5622,1658,xtn225bo,5644,t0000652,1,Activated,0,Original Lease,0,101,2966,45820,84,1/1/2022,12/31/2028,2022-01-05,,,150,44562,47118.0
5623,1895,xtx3662m,5645,t0000653,1,Activated,0,Original Lease,0,3662,4166,14900,126,11/1/2016,4/30/2027,,,,0,42675,46507.0
6643,2725,xohcolu2,6321,t0000672,2,Superseded,0,Original Lease,0,3045    //3055    //3065,4574//4575//4576,17125,60,5/1/2018,4/30/2023,,Lease Agreement,,150,43221,45046.0
6645,1587,xnjmway9,2305,t0000483,1,Activated,4,Termination,1,,,12500,0,1/31/2022,1/31/2022,,Termination,RPI - terminated because T was month to month and FP wanted a longer term tenant.,0,44592,44592.0
6646,2725,xohcolu2,6321,t0000672,1,Activated,4,Termination,1,,,17125,0,12/28/2021,12/28/2021,,Termination Agreement,"Termination Option per Lease, if property sells.",0,44558,44558.0
6647,2726,xohcolu3,6513,t0000676,1,Activated,0,Original Lease,0,3050,4578,5625,60,10/12/2020,9/30/2025,,Third Amendment,,125,44116,45930.0
6651,1675,xnj440be,4308,t0000555,1,Activated,15,Relocation,1,A-4     //A3,3001//4965,825,21,4/21/2021,12/31/2022,,Unit Modification,,200,44307,44926.0
6653,1733,xga5070,6518,t0000677,2,Superseded,0,Original Lease,0,5070-W,3277,45607,12,2/1/2022,1/31/2023,,,,200,44593,44957.0
6654,1681,xga4225,4351,t0000569,2,Superseded,1,Renewal,1,110-111,3017,5179,12,3/1/2022,2/28/2023,,1ST AMEND,,150,44621,44985.0
6655,2986,xil1000a,6527,t0000678,1,Activated,0,Original Lease,0,1000,4974,43356,60,9/1/2021,8/31/2026,,,,150,44440,46265.0
6656,2985,xil1001a,6528,t0000679,2,Superseded,0,Original Lease,0,1001,4975,19963,63,10/1/2018,12/31/2023,,Industrial Lease,"Absolute Net, T pays all OpEx directly.",150,43374,45291.0
6661,2990,xga4600f,6536,t0000681,2,Superseded,0,Original Lease,0,4600-F,4969,10026,158,2/17/2009,3/31/2022,,,No CAM or PM Fee  Tax/Ins over BY,200,39861,44651.0
6662,2990,xga4600f,6538,t0000682,2,Superseded,0,Original Lease,0,4600-E,4968,20000,62,3/1/2020,4/30/2025,,Original Lease,,150,43891,45777.0
6663,2990,xga4600f,6539,t0000683,2,Superseded,0,Original Lease,0,4600-A,4967,15035,111,2/16/2016,4/30/2025,2020-03-03,First Amendment,,200,42416,45777.0
6664,2990,xga4600f,6540,t0000684,2,Superseded,0,Original Lease,0,4630-A,4970,7500,87,2/16/2016,4/30/2023,,,CAM + Tax/Ins over BY 2015. No PM Fees.,200,42416,45046.0
6665,2990,xga4600f,6541,t0000685,2,Superseded,0,Original Lease,0,4630-B,4971,12530,101,2/19/2014,6/30/2022,,,CAM cap of 50% over prev year.  Tax/Ins over BY 2014  PM Fees 5%,150,41689,44742.0
6666,2990,xga4600f,6542,t0000686,1,Activated,0,Original Lease,0,4630-D,4973,15000,62,3/1/2021,4/30/2026,,,,150,44256,46142.0
6667,2990,xga4600f,6544,t0000687,2,Superseded,0,Original Lease,0,4630-C,4972,7437,99,11/29/2017,1/31/2026,,,,200,43068,46053.0
3466,1586,xnjmway7,2414,t0000497,2,Superseded,1,Renewal,1,A,1580,20000,48,6/1/2021,5/31/2025,2021-06-01,Faropoint Lease,,150,44348,45808.0
3796,1383,xohmost,3865,t0000498,2,Superseded,0,Original Lease,0,D,506,114027,3,7/7/2021,9/30/2021,2021-07-07,Original Lease,,200,44384,44469.0
3797,1598,xtxglen,3868,t0000499,1,Activated,0,Original Lease,0,3113,2735,115200,190,12/1/2005,9/30/2021,,6th Amendment,"Gross lease, with a $49k cap on property taxes",0,38687,44469.0
5934,1900,xil464no,5913,t0000655,2,Superseded,0,Original Lease,0,464,4423,26927,76,6/1/2018,9/30/2024,2022-06-07,First Amendment,T Pays INS directly.,125,43252,45565.0
5941,1675,xnj440be,5919,t0000658,2,Superseded,0,Original Lease,0,A-7     //A-4,3000//3001,2231,37,1/1/2022,1/31/2025,,Original,,200,44562,45688.0
5943,1904,xnj1601s,5922,t0000659,2,Superseded,0,Original Lease,0,1601-DE,4035,22881,36,3/1/2022,2/28/2025,,Original,,200,44621,45716.0
5945,1904,xnj1601s,5923,t0000660,1,Activated,0,Original Lease,0,1641,4034,9960,60,5/1/2021,4/30/2026,,Original,,150,44317,46142.0
5950,1904,xnj1601s,5926,t0000661,1,Activated,0,Original Lease,0,1601-A-C,4036,24480,63,12/6/2021,2/28/2027,,Fifth Amendment,,200,44536,46446.0
6028,1904,xnj1601s,5990,t0000663,1,Activated,0,Original Lease,0,1601-DE,4035,22881,31,8/1/2019,2/28/2022,,First Amendment,,0,43678,44620.0
6029,1902,xky4175a,5933,t0000662,1,Activated,0,Original Lease,0,4175    //LAND,4037//5895,180000,120,7/1/2017,6/30/2027,,Third Amendment,,150,42917,46568.0
6032,1898,xnj14rol,5991,t0000664,1,Activated,0,Original Lease,0,14,4032,24000,73,12/21/2021,12/31/2027,,w,,150,44551,46752.0
6036,1901,xil77whe,5994,t0000665,2,Superseded,0,Original Lease,0,77,4426,78882,76,6/30/2018,9/30/2024,2022-06-07,Original Lease,T Pays INS directly.,150,43281,45565.0
6037,2720,xtx8154b,5995,t0000666,2,Superseded,0,Original Lease,0,100,4489,35250,30,10/1/2021,3/31/2024,,,,150,44470,45382.0
6038,2720,xtx8154b,5996,t0000667,2,Superseded,0,Original Lease,0,200,4490,36000,6,1/1/2022,6/30/2022,,,,150,44562,44742.0
6039,2722,xfl3900w,5998,t0000668,2,Superseded,0,Original Lease,0,3900,4491,81956,307,12/2/1998,6/30/2024,,Third Amendment,,120,36131,45473.0
6041,1887,xnj740co,6006,t0000669,1,Activated,0,Original Lease,0,740,4031,133283,61,12/14/2021,12/31/2026,,Original Lease,,150,44544,46387.0
4164,1383,xohmost,3865,t0000498,2,Superseded,1,Renewal,1,D,506,114027,5,10/1/2021,2/28/2022,2021-09-21,Renewal,,0,44470,44620.0
4165,1673,xnj900k,4293,t0000544,2,Superseded,0,Original Lease,0,900,2996,44055,120,11/1/2011,10/31/2021,,Original,,0,40848,44500.0
4166,1674,xnj6965,4294,t0000545,1,Activated,0,Original Lease,0,6965,2997,103000,123,8/31/2021,10/31/2031,,Original,,150,44439,48152.0
4167,1677,xnj313c,4299,t0000547,1,Activated,0,Original Lease,0,313,2995,67000,61,9/9/2021,9/30/2026,,Original,,125,44448,46295.0
4168,1675,xnj440be,4300,t0000548,2,Superseded,0,Original Lease,0,A-1,2999,1777,36,5/1/2021,4/30/2024,,Original,,200,44317,45412.0
4169,1678,xnj52col,4301,t0000549,1,Activated,0,Original Lease,0,52,2994,62000,60,5/1/2021,4/30/2026,,Original,T self CAMs,50,44317,46142.0
4171,1682,xnj845l,4305,t0000553,1,Activated,0,Original Lease,0,845,2998,16800,60,12/1/2020,11/30/2025,,Original,,0,44166,45991.0
4172,1675,xnj440be,4307,t0000554,2,Superseded,0,Original Lease,0,A-7,3000,1232,0,9/7/2020,,,Original,,200,44081,
4173,1675,xnj440be,4308,t0000555,2,Superseded,0,Original Lease,0,A-4,3001,999,21,4/21/2021,12/31/2022,,4th Amendment,,200,44307,44926.0
4174,1675,xnj440be,4310,t0000556,1,Activated,0,Original Lease,0,A-5,3002,525,84,12/1/2019,11/30/2026,,2nd Amendment,,200,43800,46356.0
4175,1675,xnj440be,4312,t0000557,2,Superseded,0,Original Lease,0,A-6,3003,343,11,2/1/2021,12/31/2021,,3rd Amendment,,200,44228,44561.0
4176,1675,xnj440be,4313,t0000558,2,Superseded,0,Original Lease,0,A-2,3004,2262,36,8/1/2020,7/31/2023,,Original,,200,44044,45138.0
4177,1676,xnj420be,4316,t0000560,2,Superseded,0,Original Lease,0,A2-BF   //C-J     //A       //B,3005//3006//3007//3013,51207,99,2/1/2017,4/30/2025,,5th Amendment,,200,42767,45777.0
4178,1675,xnj440be,4317,t0000561,1,Activated,0,Original Lease,0,BB      //C-E     //F       //BF      //G-H,3008//3009//3010//3011//3012,35000,99,2/1/2017,4/30/2025,,5th Amendment,,200,42767,45777.0
4186,1657,xilmount,4330,t0000565,1,Activated,0,Original Lease,0,,,0,73,12/15/2015,12/31/2021,,,,0,42353,44561.0
4188,1673,xnj900k,4293,t0000544,2,Superseded,1,Renewal,1,900,2996,41500,60,11/1/2021,10/31/2026,,2nd Amendment,Created by exercising a Renewal Option  Absolute Net Lease.  All expenses paid directly by T.,0,44501,46326.0
4189,1681,xga4225,4342,t0000566,2,Superseded,0,Original Lease,0,114-116,3019,9856,62,11/1/2018,12/31/2023,2018-10-09,,,150,43405,45291.0
4190,1681,xga4225,4349,t0000567,2,Superseded,0,Original Lease,0,101,3165,7259,36,3/1/2019,2/28/2022,2019-01-18,,,150,43525,44620.0
4191,1681,xga4225,4350,t0000568,2,Superseded,0,Original Lease,0,104,3014,8218,30,9/15/2019,2/28/2022,2019-08-14,,,150,43723,44620.0
4192,1681,xga4225,4351,t0000569,2,Superseded,0,Original Lease,0,110-111,3017,5179,36,3/1/2019,2/28/2022,2019-04-01,,,150,43525,44620.0
