Required field?,N/A,N/A,No,Yes,NO,NO,NO,NO,NO,NO,NO,NO,Yes,NO,NO,NO,NO,NO,,,,,,
c0001060_Pride Delivery and Installation LLC,c0001060,FP TCE_v7.44 - Pride Delivery (2024-12-12).xlsm,Pride Delivery and Installation LLC,12/12/24,"Cleveland, OH"," 16,023,411 ",1975,https://www.pridedandi.com/,"Appliance delivery, installation, and disposal services.",Private (Non-PE),Specialized Consumer Services,Business And Consumer Services, 5.11 ," 7,561,785 ",," 1,644,040 ",,, 2.8 , 2.7 , (0.5), 0.23 ,https://faropointinvestments1067703.sharepoint.com/:b:/r/sites/Investments/Shared%20Documents/General/Tenant%20Credit%20Score%20Reports(Linked%20to%20Yardi)/c0001060_Pride%20Delivery%20and%20Installation/FP%20TCE_v7.44%20-%20Pride%20Delivery%20(2024-12-12).pdf?csf=1&web=1&e=ReL8ny,
c0000574_Pulseworks LLC,c0000574,FP TCE_v7.44 - Pulseworks (2024-12-18).xlsm,Pulseworks LLC,12/17/24,"Smyrna, GA"," 13,124,542 ",1998,https://www.pulseworks.com/,Motion simulators and immersive attraction provider.,Private (Non-PE),Leisure Facilities,Leisure And Sports, 4.51 ," 13,124,542 ",," 2,943,393 ",,, 0.8 , 0.8 , 0.3 , 0.03 ,https://faropointinvestments1067703.sharepoint.com/:b:/r/sites/Investments/Shared%20Documents/General/Tenant%20Credit%20Score%20Reports(Linked%20to%20Yardi)/c0000574_Pulseworks%20LLC/FP%20TCE_v7.44%20-%20Pulseworks%20(2024-12-18).pdf?csf=1&web=1&e=4t7B2F,
c0001052_Viscot Medical LLC,c0001052,FP TCE_v7.44 - Viscot Medical (2024-12-28).xlsm,Viscot Medical LLC,12/31/24,"East Hanover, NJ"," 15,211,364 ",1974,https://www.viscot.com/,Produces disposable medical products for healthcare.,Private (Non-PE),Health Care Supplies,Health Care Equipment, 5.50 ," 7,900,037 ",," 3,134,953 ",,, 4.9 , 2.7 , (0.0), 0.20 ,https://faropointinvestments1067703.sharepoint.com/:b:/r/sites/Investments/Shared%20Documents/General/Tenant%20Credit%20Score%20Reports(Linked%20to%20Yardi)/c0001052_Viscot%20Medical%20LLC/FP%20TCE_v7.44%20-%20Viscot%20Medical%20(2024-12-28).pdf?csf=1&web=1&e=cLcjU4,
c0000330_Greif Packaging LLC,c0000330,"FP TCE_v7.44 - Greif, Inc (2025-01-12).xlsm",Greif Packaging LLC,01/07/25,"Delaware, OH"," 5,448,100,000 ",1877,https://www.greif.com/,Global provider of industrial packaging solutions.,Public,"Metal, Glass and Plastic Containers",Containers And Packaging, 5.44 ," 1,070,800,000 ",," 725,900,000 ",,, 1.1 , 0.8 , 4.6 , 0.53 ,"https://faropointinvestments1067703.sharepoint.com/:b:/r/sites/Investments/Shared%20Documents/General/Tenant%20Credit%20Score%20Reports(Linked%20to%20Yardi)/c000330_Greif%20Packaging%20LLC/FP%20TCE_v7.44%20-%20Greif,%20Inc%20(2025-01-12).pdf?csf=1&web=1&e=EgFzz7",
"c0000035_Del-Val Food Ingredients, Inc.",c0000035,FP TCE_v7.44 - Del Val Food Ingredients (2025-01-17).xlsm,"Del-Val Food Ingredients, Inc.",01/15/25,"Mount Laurel, NJ"," 38,859,116 ",1998,https://www.dvfi.com/en,Provides flavor and bakery ingredient solutions.,Private (Non-PE),Specialty Chemicals,Specialty Chemicals, 3.87 ," 9,977,950 ",," 1,968,273 ",,, 1.2 , 0.5 , 3.7 , 0.54 ,"https://faropointinvestments1067703.sharepoint.com/:b:/r/sites/Investments/Shared%20Documents/General/Tenant%20Credit%20Score%20Reports(Linked%20to%20Yardi)/c0000035_Del-Val%20Food%20Ingredients,%20In/FP%20TCE_v7.44%20-%20Del%20Val%20Food%20Ingredients%20(2025-01-17).pdf?csf=1&web=1&e=GjdIiq",
"c0001069_Quench USA, Inc.",c0001069,FP TCE_v7.44 - Quench USA (2025-01-16).xlsm,"Quench USA, Inc.",01/15/25,King of Prussia," 327,701,000 ",1997,https://quenchwater.com/,Provides point-of-use water and beverage solutions.,Private (Non-PE),Environmental and Facilities Services,Environmental Services, 5.25 ," 190,247,000 ",," 195,997,000 ",,, 1.6 , 0.8 , 2.3 , 0.83 ,"https://faropointinvestments1067703.sharepoint.com/:b:/r/sites/Investments/Shared%20Documents/General/Tenant%20Credit%20Score%20Reports(Linked%20to%20Yardi)/c0001069_Quench%20USA,%20Inc/FP%20TCE_v7.44%20-%20Quench%20USA%20(2025-01-16).pdf?csf=1&web=1&e=oGqXw6",
c0000805_Lincare Inc,c0000805,FP TCE_v7.44 - Lincare Inc (2025-01-19).xlsm,Lincare Inc,01/18/25,Dublin," 32,854,000,000 ",1879,https://www.linde.com/,Global provider of industrial gases and healthcare services.,Public,Industrial Gases,Specialty Chemicals, 7.84 ," 15,362,000,000 ",," 12,133,000,000 ",,, 0.8 , 0.7 , 0.8 , 0.18 ,https://faropointinvestments1067703.sharepoint.com/:b:/r/sites/Investments/Shared%20Documents/General/Tenant%20Credit%20Score%20Reports(Linked%20to%20Yardi)/c0000805_Lincare%20Inc/FP%20TCE_v7.44%20-%20Lincare%20Inc%20(2025-01-19).pdf?csf=1&web=1&e=SJmFEx,
"c0000056_True World Foods Columbus, LLC",c0000056,FP TCE_v7.45 - TWF (2025-01-30).xlsm,"True World Foods Columbus, LLC",01/29/25,"Columbus, OH"," 16,308,425 ",2007,http://www.trueworldfoods.com/,Seafood distributor specializing in sushi-grade products.,Private (Non-PE),Food Distributors,Business And Consumer Services, 5.12 ," 4,229,571 ",," 831,025 ",,, 2.8 , 1.7 , 0.1 , 0.02 ,https://faropointinvestments1067703.sharepoint.com/:b:/r/sites/Investments/Shared%20Documents/General/Tenant%20Credit%20Score%20Reports(Linked%20to%20Yardi)/c0000056_True%20World%20Foods%20Columbus/FP%20TCE_v7.45%20-%20TWF%20(2025-01-30).pdf?csf=1&web=1&e=tNu9Pn,
"c0000225_Daring Design, LLC",c0000225,FP TCE_v7.45 - Daring Design (2025-02-23).xlsm,"Daring Design, LLC",02/20/25,"Columbia, MD"," 676,608 ",2015,https://image360.com/,Custom signage and visual branding solutions.,Private (Non-PE),Advertising,Media And Entertainment, 3.83 ," 463,639 ",," 62,462 ",,, -   , -   , -   , -   ,"https://faropointinvestments1067703.sharepoint.com/:b:/r/sites/Investments/Shared%20Documents/General/Tenant%20Credit%20Score%20Reports(Linked%20to%20Yardi)/c0000225_Daring%20Design,%20LLC/FP%20TCE_v7.45%20-%20Daring%20Design%20(2025-02-23).pdf?csf=1&web=1&e=hhUFaB",
"c0000378_Jade Carpentry Contractors, Inc.",c0000378,FP TCE_v7.45 - Jade Carpentry Contractors (2025-02-22).xlsm,"Jade Carpentry Contractors, Inc.",02/20/25,"Bensenville, IL"," 10,634,765 ",1990,https://www.jadecarpentry.com/,Specialized carpentry for construction and renovation projects.,Private (Non-PE),Construction and Engineering,Engineering And Construction, 5.16 ," 2,394,857 ",," 156,266 ",,, 2.7 , 2.7 , (4.7), 0.11 ,"https://faropointinvestments1067703.sharepoint.com/:b:/r/sites/Investments/Shared%20Documents/General/Tenant%20Credit%20Score%20Reports(Linked%20to%20Yardi)/c0000378_Jade%20Carpentry%20Contractors,%20In/FP%20TCE_v7.45%20-%20Jade%20Carpentry%20Contractors%20(2025-02-22).pdf?csf=1&web=1&e=pe0KtL",
