Record HMY,Amendment HMY,Tenant HMY,Tenant Code,Property HMY,Property Code,Unit HMY,Unit Name,dtLeaseFrom,dtLeaseTo,hOption,hProposal,bInActive,dtInactive,hAmendmentInactive,dtMovein,dtMoveout,sNotes,dSqft,hMasterUnit,bActive,hCondoContract,iPersonType,hcommmoveoutreason,hForeignDb,sExtReference,hCopyFrom,IsPastPrimaryOwner,hCommMLAOverride,tRowVersion,dtClose,dTaxEstimate
56,22,368,"t0000024",993,"ohfai003",30,7068    ,"2019-07-01 00:00:00","2022-07-31 00:00:00",,,,,115949,"2019-07-01 00:00:00","2022-07-31 00:00:00",,4196,0,0,,,,,,,,0,"AAAAAAGrbD0=",,
57,24,370,"t0000026",993,"ohfai003",21,7042    ,"2016-02-01 00:00:00","2021-01-31 00:00:00",,,,,368,"2016-02-01 00:00:00","2021-01-31 00:00:00",,5745,0,0,,,,,,,,0,"AAAAAAAN5gQ=",,
58,25,371,"t0000027",993,"ohfai003",26,7050    ,"2018-10-01 00:00:00","2021-09-30 00:00:00",,,,,1541,"2016-10-01 00:00:00","2021-09-30 00:00:00",,6695,0,0,,,,,,,,0,"AAAAAAASg5A=",,
59,26,372,"t0000028",993,"ohfai003",22,7044    ,"2018-10-01 00:00:00","2021-09-30 00:00:00",,,,,1542,"2018-10-01 00:00:00","2021-09-30 00:00:00",,3000,0,0,,,,,,,,0,"AAAAAAASg7s=",,
60,27,373,"t0000029",993,"ohfai003",23,7046    ,"2018-09-01 00:00:00","2022-11-01 00:00:00",,,,,115950,"2018-09-01 00:00:00","2022-11-01 00:00:00",,3008,0,0,,,,,,,,0,"AAAAAAGrbMU=",,
61,28,374,"t0000030",993,"ohfai003",27,7058    ,"2017-04-01 00:00:00","2022-03-31 00:00:00",,,,,115951,"2017-04-01 00:00:00","2022-03-31 00:00:00",,2352,0,0,,,,,,,,0,"AAAAAAGrbNA=",,
62,44,363,"t0000019",994,"ohwar004",35,"F       ","2016-07-01 00:00:00","2021-06-30 00:00:00",,,,,4073,"2016-07-01 00:00:00","2021-06-30 00:00:00",,7560,0,0,,,,,,,,0,"AAAAAAAVgYo=",,
63,18,364,"t0000020",994,"ohwar004",37,"J       ","2019-05-01 00:00:00","2022-04-30 00:00:00",,,,,6642,"2019-05-01 00:00:00","2022-04-30 00:00:00",,5000,0,0,,,,,,,,0,"AAAAAAAhwIQ=",,
65,19,366,"t0000022",994,"ohwar004",32,"B       ","2018-12-31 00:00:00","2022-06-22 00:00:00",,,,,115662,"2018-12-31 00:00:00","2022-06-22 00:00:00",,3560,0,0,,,,,,,,0,"AAAAAAGrR3k=",,
66,21,367,"t0000023",994,"ohwar004",31,"A       ","2017-11-01 00:00:00","2022-06-22 00:00:00",,,,,115660,"2017-11-01 00:00:00","2022-06-22 00:00:00",,7268,0,0,,,,,,,,0,"AAAAAAGrR4w=",,
67,32,369,"t0000025",994,"ohwar004",34,"D       ","2017-09-30 00:00:00","2022-06-22 00:00:00",,,,,115663,"2017-09-30 00:00:00","2022-06-22 00:00:00",,8000,0,0,,,,,,,,0,"AAAAAAGrR8U=",,
68,33,378,"t0000034",994,"ohwar004",33,"C       ","2013-12-01 00:00:00","2021-06-30 00:00:00",,,,,384,"2013-12-01 00:00:00","2021-06-30 00:00:00",,12172,0,0,,,,,,,,0,"AAAAAAASJ4Y=",,
69,34,379,"t0000035",994,"ohwar004",36,"H       ","2018-02-01 00:00:00","2022-06-22 00:00:00",,,,,115653,"2018-02-01 00:00:00","2022-06-22 00:00:00",,6000,0,0,,,,,,,,0,"AAAAAAGrR/s=",,
70,35,380,"t0000036",1237,"ohwar005",40,"E       ","2017-12-31 00:00:00","2021-03-31 00:00:00",,,,,115654,"2017-12-31 00:00:00","2021-03-31 00:00:00",,4305,0,0,,,5,,,,,0,"AAAAAAGrSKI=",,
71,36,381,"t0000037",1237,"ohwar005",39,"B       ","2018-01-01 00:00:00","2022-06-22 00:00:00",,,,,115655,"2018-01-01 00:00:00","2022-06-22 00:00:00",,24150,0,0,,,5,,,,,0,"AAAAAAGrSNU=",,
72,37,382,"t0000038",1237,"ohwar005",41,"F       ","2014-12-31 00:00:00","2022-06-22 00:00:00",,,,,115656,"2014-12-31 00:00:00","2022-06-22 00:00:00",,10895,0,0,,,,,,,,0,"AAAAAAGrSRQ=",,
73,38,383,"t0000039",1237,"ohwar005",38,"A       ","2020-08-01 00:00:00","2021-02-24 00:00:00",,,,,371,"2020-08-04 00:00:00","2021-02-24 00:00:00",,10650,0,0,,,,,,,,0,"AAAAAAAN5VA=",,
74,31,377,"t0000033",995,"ohles005",42,"9290-GL ","2018-01-01 00:00:00","2022-06-22 00:00:00",,,,,115814,"2018-01-01 00:00:00","2022-06-22 00:00:00",,100300,0,0,,,,,,,,0,"AAAAAAGrRyQ=",,
75,31,377,"t0000033",995,"ohles005",45,"9290-MEZ","2018-01-01 00:00:00","2022-06-22 00:00:00",,,,,115814,"2018-01-01 00:00:00","2022-06-22 00:00:00",,0,0,0,,,,,,,,0,"AAAAAAGrRyU=",,
76,4,341,"t0000004",1063,"oh575006",10,"575-OFF ","2019-06-01 00:00:00","2022-06-22 00:00:00",,,,,115810,"2019-06-01 00:00:00","2022-06-22 00:00:00",,0,0,0,,,,,,,,0,"AAAAAAGrRFw=",,
77,4,341,"t0000004",1063,"oh575006",9,"575-WH  ","2019-06-01 00:00:00","2022-06-22 00:00:00",,,,,115810,"2019-06-01 00:00:00","2022-06-22 00:00:00",,69866,0,0,,,,,,,,0,"AAAAAAGrRF0=",,
79,29,375,"t0000031",1064,"ohclo007",8,4064    ,"2018-07-01 00:00:00","2022-06-22 00:00:00",,,,,115812,"2018-07-01 00:00:00","2022-06-22 00:00:00",,29291,0,0,,,,,,,,0,"AAAAAAGrRHc=",,
80,5,342,"t0000005",1101,"ohcom008",11,"10052-GL","2019-10-04 00:00:00","2022-06-22 00:00:00",,,,,115811,"2019-10-04 00:00:00","2022-06-22 00:00:00",,56210,0,0,,,,,,,,0,"AAAAAAGrRKw=",,
81,5,342,"t0000005",1101,"ohcom008",12,"10052-MZ","2019-10-04 00:00:00","2022-06-22 00:00:00",,,,,115811,"2019-10-04 00:00:00","2022-06-22 00:00:00",,0,0,0,,,,,,,,0,"AAAAAAGrRK0=",,
84,47,435,"t0000046",921,"tnwl1002",90,100     ,"2020-08-01 00:00:00","2022-06-22 00:00:00",,,,,115803,"2020-08-01 00:00:00","2022-06-22 00:00:00",,26025,0,0,,,,,,,,0,"AAAAAAGrU5A=",,
88,46,434,"t0000045",1228,"tntri4  ",58,100     ,"2015-09-01 00:00:00","2022-06-22 00:00:00",,,,,115802,"2015-09-01 00:00:00","2022-06-22 00:00:00",,40625,0,0,,,,,,,,0,"AAAAAAGrUQE=",,
89,50,442,"t0000050",1228,"tntri4  ",59,200     ,"2016-03-09 00:00:00","2021-06-30 00:00:00",,,,,115806,"2016-03-09 00:00:00","2021-06-30 00:00:00",,39375,0,0,,,,,,,,0,"AAAAAAGrUQs=",,
90,51,451,"t0000051",1233,"tntrid8 ",53,200     ,"2013-06-01 00:00:00","2022-06-22 00:00:00",,,,,115795,"2013-06-01 00:00:00","2022-06-22 00:00:00",,28350,0,0,,,,,,,,0,"AAAAAAGrUuI=",,
91,52,452,"t0000052",1233,"tntrid8 ",52,100     ,"1998-01-10 00:00:00","2022-06-22 00:00:00",,,,,115796,"1998-01-10 00:00:00","2022-06-22 00:00:00",,64570,0,0,,,,,,,,0,"AAAAAAGrUxw=",,
92,53,454,"t0000053",1222,"tntri10 ",47,100     ,"2018-06-15 00:00:00","2022-06-22 00:00:00",,,,,115797,"2018-06-15 00:00:00","2022-06-22 00:00:00",,40000,0,0,,,,,,,,0,"AAAAAAGrTug=",,
93,53,454,"t0000053",1222,"tntri10 ",95,200     ,"2018-06-15 00:00:00","2022-06-22 00:00:00",,,,,115797,"2018-06-15 00:00:00","2022-06-22 00:00:00",,120000,0,0,,,,,,,,0,"AAAAAAGrTuk=",,
94,54,455,"t0000054",1223,"tntri11 ",61,100     ,"2002-04-15 00:00:00","2022-06-22 00:00:00",,,,,115798,"2002-04-15 00:00:00","2022-06-22 00:00:00",,121345,0,0,,,,,,,,0,"AAAAAAGrTyM=",,
95,55,456,"t0000055",1224,"tntri16 ",84,100     ,"2013-06-01 00:00:00","2022-06-22 00:00:00",,,,,115799,"2013-06-01 00:00:00","2022-06-22 00:00:00",,199685,0,0,,,,,,,,0,"AAAAAAGrT14=",,
96,56,457,"t0000056",1224,"tntri16 ",85,200     ,"2015-01-01 00:00:00","2022-06-22 00:00:00",,,,,115800,"2015-01-01 00:00:00","2022-06-22 00:00:00",,52065,0,0,,,,,,,,0,"AAAAAAGrT5k=",,
97,57,458,"t0000057",1225,"tntri18 ",86,100     ,"2006-04-01 00:00:00","2022-06-22 00:00:00",,,,,115789,"2006-04-01 00:00:00","2022-06-22 00:00:00",,34500,0,0,,,,,,,,0,"AAAAAAGrT9Q=",,
98,58,459,"t0000058",1225,"tntri18 ",87,200     ,"2020-02-01 00:00:00","2022-06-22 00:00:00",,,,,115790,"2020-02-01 00:00:00","2022-06-22 00:00:00",,13500,0,0,,,,,,,,0,"AAAAAAGrUA4=",,
99,59,460,"t0000059",1225,"tntri18 ",88,300     ,"2020-09-25 00:00:00","2022-06-22 00:00:00",,,,,115791,"2020-06-08 00:00:00","2022-06-22 00:00:00",,27000,0,0,,,,,,,,0,"AAAAAAGrUE0=",,
105,61,462,"t0000061",1227,"tntri2  ",48,100     ,"2018-04-15 00:00:00","2022-06-22 00:00:00",,,,,115793,"2018-04-15 00:00:00","2022-06-22 00:00:00",,89600,0,0,,,,,,,,0,"AAAAAAGrUME=",,
107,60,461,"t0000060",1226,"tntri19 ",60,100     ,"1999-09-01 00:00:00","2022-06-22 00:00:00",,,,,115792,"1999-09-01 00:00:00","2022-06-22 00:00:00",,175275,0,0,,,,,,,,0,"AAAAAAGrUIY=",,
108,62,463,"t0000062",1231,"tntri9  ",55,100     ,"2015-05-15 00:00:00","2021-05-31 00:00:00",,,,,701,"2015-05-15 00:00:00","2021-05-31 00:00:00",,16328,0,0,,,,,,,,0,"AAAAAAAR7nk=",,
110,63,464,"t0000063",1231,"tntri9  ",56,200     ,"2010-07-26 00:00:00","2021-01-31 00:00:00",,,,,333,"2010-07-26 00:00:00","2021-01-31 00:00:00",,2572,0,0,,,,,,,,0,"AAAAAAA0gvU=",,
111,64,465,"t0000064",1231,"tntri9  ",57,300     ,"2020-04-01 00:00:00","2022-06-22 00:00:00",,,,,115794,"2020-04-01 00:00:00","2022-06-22 00:00:00",,23100,0,0,,,,,,,,0,"AAAAAAGrUbw=",,
116,67,469,"t0000067",1232,"tntrid2 ",50,100     ,"2016-08-01 00:00:00","2022-06-22 00:00:00",,,,,115783,"2016-08-01 00:00:00","2022-06-22 00:00:00",,32070,0,0,,,,,,,,0,"AAAAAAGrUqc=",,
117,68,470,"t0000068",932,"tnb03013",67,200     ,"2019-07-01 00:00:00","2022-06-22 00:00:00",,,,,115784,"2019-07-01 00:00:00","2022-06-22 00:00:00",,132000,0,0,,,,,,,,0,"AAAAAAGrS0g=",,
119,69,472,"t0000069",933,"tnb09014",75,100     ,"2019-07-01 00:00:00","2022-06-22 00:00:00",,,,,115785,"2019-07-01 00:00:00","2022-06-22 00:00:00",,36600,0,0,,,,,,,,0,"AAAAAAGrS8I=",,
122,71,474,"t0000071",931,"tnb11012",78,100     ,"2017-11-01 00:00:00","2021-01-31 00:00:00",,,,,372,"2017-11-01 00:00:00","2021-01-31 00:00:00",,109955,0,0,,,,,,,,0,"AAAAAAAN5aU=",,
123,72,475,"t0000072",930,"tnb12011",79,100     ,"2019-09-01 00:00:00","2022-06-22 00:00:00",,,,,115786,"2019-09-01 00:00:00","2022-06-22 00:00:00",,28200,0,0,,,,,,,,0,"AAAAAAGrTHI=",,
124,73,476,"t0000073",930,"tnb12011",80,200     ,"2019-10-01 00:00:00","2021-10-31 00:00:00",,,,,12112,"2019-10-01 00:00:00","2021-10-31 00:00:00",,24200,0,0,,,,,,,,0,"AAAAAAA1opA=",,
125,73,476,"t0000073",930,"tnb12011",101,400     ,"2019-10-01 00:00:00","2021-10-31 00:00:00",,,,,12112,"2019-10-01 00:00:00","2021-10-31 00:00:00",,24275,0,0,,,,,,,,0,"AAAAAAA1opE=",,
126,74,477,"t0000074",930,"tnb12011",81,300     ,"2019-02-01 00:00:00","2022-06-22 00:00:00",,,,,115787,"2019-02-01 00:00:00","2022-06-22 00:00:00",,27898,0,0,,,,,,,,0,"AAAAAAGrTK8=",,
127,75,480,"t0000076",926,"tndan007",69,100     ,"2019-03-01 00:00:00","2021-02-28 00:00:00",,,,,374,"2019-03-01 00:00:00","2021-02-28 00:00:00",,11250,0,0,,,,,,,,0,"AAAAAAA0fbI=",,
128,76,481,"t0000077",926,"tndan007",70,200     ,"2013-05-04 00:00:00","2022-06-22 00:00:00",,,,,115777,"2013-05-04 00:00:00","2022-06-22 00:00:00",,4500,0,0,,,,,,,,0,"AAAAAAGrTXQ=",,
129,77,482,"t0000078",926,"tndan007",71,300     ,"2018-10-01 00:00:00","2022-06-22 00:00:00",,,,,115647,"2018-10-01 00:00:00","2022-06-22 00:00:00",,8100,0,0,,,,,,,,0,"AAAAAAGrTZE=",,
131,78,483,"t0000079",926,"tndan007",72,400     ,"2019-05-01 00:00:00","2021-04-30 00:00:00",,,,,361,"2019-05-01 00:00:00","2021-04-30 00:00:00",,31250,0,0,,,,,,,,0,"AAAAAAA0fXM=",,
132,79,484,"t0000080",926,"tndan007",73,500     ,"2020-06-22 00:00:00","2021-04-30 00:00:00",,,,,115778,"2020-06-22 00:00:00","2021-04-30 00:00:00",,0,0,0,,,,,,,,0,"AAAAAAGrTcw=",,
133,80,485,"t0000081",926,"tndan007",74,600     ,"2020-07-01 00:00:00","2022-06-22 00:00:00",,,,,115779,"2020-07-01 00:00:00","2022-06-22 00:00:00",,45000,0,0,,,,,,,,0,"AAAAAAGrTgY=",,
134,81,486,"t0000082",996,"tnmet016",76,100     ,"2017-08-01 00:00:00","2022-06-22 00:00:00",,,,,115780,"2017-08-01 00:00:00","2022-06-22 00:00:00",,80000,0,0,,,,,,,,0,"AAAAAAGrTng=",,
135,82,487,"t0000083",1293,"tnnew18 ",89,100     ,"2014-01-01 00:00:00","2022-06-22 00:00:00",,,,,115781,"2014-01-01 00:00:00","2022-06-22 00:00:00",,112318,0,0,,,,,,,,0,"AAAAAAGrTqk=",,
136,83,488,"t0000084",1069,"tn10b017",68,100     ,"2020-05-08 00:00:00","2022-06-22 00:00:00",,,,,115782,"2020-05-08 00:00:00","2022-06-22 00:00:00",,275000,0,0,,,0,,,,,0,"AAAAAAGrSsw=",,
137,70,473,"t0000070",929,"tnb10010",77,100     ,"2018-08-15 00:00:00","2021-10-31 00:00:00",,,,,12015,"2018-08-15 00:00:00","2021-10-31 00:00:00",,75527,0,0,,,,,,,,0,"AAAAAAA1U34=",,
139,84,489,"t0000085",934,"tnamz015",65,100     ,"2019-07-01 00:00:00","2022-06-22 00:00:00",,,,,115771,"2019-07-01 00:00:00","2022-06-22 00:00:00",,104329,0,0,,,,,,,,0,"AAAAAAGrSws=",,
140,85,490,"t0000086",928,"tnwl3009",82,100     ,"2017-01-01 00:00:00","2021-12-31 00:00:00",,,,,329,"2017-01-01 00:00:00","2021-12-31 00:00:00",,65400,0,0,,,,,,,,0,"AAAAAACJL1s=",,
141,48,436,"t0000047",921,"tnwl1002",91,200     ,"2017-07-01 00:00:00","2022-06-22 00:00:00",,,,,115804,"2017-07-01 00:00:00","2022-06-22 00:00:00",,10000,0,0,,,,,,,,0,"AAAAAAGrU8k=",,
145,49,438,"t0000049",921,"tnwl1002",92,300     ,"2020-09-01 00:00:00","2022-06-22 00:00:00",,,,,115805,"2020-09-01 00:00:00","2022-06-22 00:00:00",,5000,0,0,,,,,,,,0,"AAAAAAGrVAk=",,
146,49,438,"t0000049",921,"tnwl1002",102,301     ,"2020-09-01 00:00:00","2022-06-22 00:00:00",,,,,115805,"2020-09-01 00:00:00","2022-06-22 00:00:00",,3000,0,0,,,,,,,,0,"AAAAAAGrVAo=",,
147,49,438,"t0000049",921,"tnwl1002",103,302     ,"2020-09-01 00:00:00","2022-06-22 00:00:00",,,,,115805,"2020-09-01 00:00:00","2022-06-22 00:00:00",,9075,0,0,,,,,,,,0,"AAAAAAGrVAs=",,
311,185,716,"t0000203",941,"tnuni106",286,1220    ,"2015-03-01 00:00:00","2021-03-31 00:00:00",,,,,115879,"2015-03-01 00:00:00","2021-03-31 00:00:00",,1224,0,0,,,,,,,,0,"AAAAAAGrX6I=",,
313,186,717,"t0000204",941,"tnuni106",287,1121    ,"1986-07-01 00:00:00","2021-07-31 00:00:00",,,,,,"1986-07-01 00:00:00",,,460,0,0,,,,,,,,0,"AAAAAAAJP0U=",,
315,187,719,"t0000206",941,"tnuni106",288,905     ,"2012-07-01 00:00:00","2023-12-28 00:00:00",,,,,115877,"2012-07-01 00:00:00","2023-12-28 00:00:00",,1048,0,0,,,,,,,,0,"AAAAAAGrXxU=",,
317,188,720,"t0000207",941,"tnuni106",289,900     ,"2011-10-01 00:00:00","2022-09-30 00:00:00",,,,,115878,"2011-10-01 00:00:00","2022-09-30 00:00:00",,3021,0,0,,,,,,,,0,"AAAAAAGrXx8=",,
334,199,732,"t0000216",899,"gasc3004",176,2958    ,"2011-07-01 00:00:00","2021-08-13 00:00:00",,,,,115961,"2011-07-01 00:00:00","2021-08-13 00:00:00",,4010,0,0,,,,,,,,0,"AAAAAAGrhFE=",,
338,202,736,"t0000220",1093,"gajon020",178,"A       ","2020-08-01 00:00:00","2022-06-22 00:00:00",,,,,115744,"2020-08-01 00:00:00","2022-06-22 00:00:00",,16950,0,0,,,,,,,,0,"AAAAAAGrNcE=",,
341,204,738,"t0000222",1093,"gajon020",177,"C       ","2020-06-01 00:00:00","2022-06-22 00:00:00",,,,,115746,"2020-06-01 00:00:00","2022-06-22 00:00:00",,11904,0,0,,,,,,,,0,"AAAAAAGrNfo=",,
344,206,740,"t0000224",1092,"gashi019",181,4080    ,"2018-01-03 00:00:00","2022-08-23 00:00:00",,,,,115962,"2018-01-03 00:00:00","2022-08-23 00:00:00",,57874,0,0,,,,,,,,0,"AAAAAAGrhIg=",,
346,207,741,"t0000225",1099,"gamoo022",180,3150    ,"2019-08-24 00:00:00","2021-03-31 00:00:00",,,,,4162,"2019-08-24 00:00:00","2021-03-31 00:00:00",,40000,0,0,,,,,,,,0,"AAAAAAA0ZYg=",,
347,208,742,"t0000226",900,"gasc4005",184,5036    ,"2016-11-01 00:00:00","2016-10-31 00:00:00",,,,,357,"2016-11-01 00:00:00","2016-11-01 00:00:00",,10000,0,0,,,,,,,,0,"AAAAAAAVMu8=",,
348,209,744,"t0000228",1270,"gamon027",294,"OFFICE_1","2017-08-05 00:00:00","2017-08-04 00:00:00",,,,,5431,"2017-08-05 00:00:00","2017-08-04 00:00:00",,4000,0,0,,,,,,,,0,"AAAAAAAdfeM=",,
350,210,746,"t0000230",917,"gaga1104",216,"930A    ","2020-08-01 00:00:00","2021-08-31 00:00:00",,,,,4155,"2020-08-01 00:00:00","2021-08-31 00:00:00",,10500,0,0,,,,,,,,0,"AAAAAAAX3l8=",,
351,211,747,"t0000231",1270,"gamon027",299,"BLDG-B  ","2020-07-01 00:00:00","2021-06-30 00:00:00",,,,,2139,"2020-07-01 00:00:00","2021-06-30 00:00:00",,8000,0,0,,,,,,,,0,"AAAAAAA0VZA=",,
352,212,749,"t0000233",1270,"gamon027",296,"C       ","2011-04-01 00:00:00","2022-06-22 00:00:00",,,,,115738,"2011-04-01 00:00:00","2022-06-22 00:00:00",,23296,0,0,,,,,,,,0,"AAAAAAGrNsU=",,
354,214,743,"t0000227",908,"gahaz013",196,"A       ","2017-12-04 00:00:00","2022-06-22 00:00:00",,,,,115736,"2017-12-04 00:00:00","2022-06-22 00:00:00",,58500,0,0,,,,,,,,0,"AAAAAAGrNLM=",,
357,217,745,"t0000229",908,"gahaz013",197,"B       ","2019-09-01 00:00:00","2021-06-30 00:00:00",,,,,699,"2019-09-01 00:00:00","2021-06-30 00:00:00",,15000,0,0,,,,,,,,0,"AAAAAAARTo0=",,
359,219,753,"t0000237",1250,"gaboh026",155,605     ,"2019-09-06 00:00:00","2022-06-22 00:00:00",,,,,115729,"2019-09-06 00:00:00","2022-06-22 00:00:00",,104700,0,0,,,,,,,,0,"AAAAAAGrLi4=",,
361,221,755,"t0000239",1271,"gamou028",202,115     ,"2015-02-01 00:00:00","2022-06-22 00:00:00",,,,,115651,"2015-02-01 00:00:00","2022-06-22 00:00:00",,5999,0,0,,,,,,,,0,"AAAAAAGrN2o=",,
362,222,756,"t0000240",1271,"gamou028",198,100     ,"2015-03-28 00:00:00","2022-06-22 00:00:00",,,,,115731,"2015-03-28 00:00:00","2022-06-22 00:00:00",,28000,0,0,,,,,,,,0,"AAAAAAGrN4w=",,
363,223,757,"t0000241",1271,"gamou028",199,"106-A   ","2017-12-15 00:00:00","2022-06-22 00:00:00",,,,,115652,"2017-12-15 00:00:00","2022-06-22 00:00:00",,1450,0,0,,,,,,,,0,"AAAAAAGrN58=",,
364,225,759,"t0000243",1271,"gamou028",203,120     ,"2015-02-01 00:00:00","2022-06-22 00:00:00",,,,,115807,"2015-02-01 00:00:00","2022-06-22 00:00:00",,8391,0,0,,,,,,,,0,"AAAAAAGrN7Y=",,
365,226,760,"t0000244",1330,"gavet029",142,"A       ","2017-05-01 00:00:00","2022-06-22 00:00:00",,,,,115732,"2017-05-01 00:00:00","2022-06-22 00:00:00",,25000,0,0,,,,,,,,0,"AAAAAAGrPJs=",,
366,227,761,"t0000245",1330,"gavet029",144,"C       ","2017-05-01 00:00:00","2022-06-22 00:00:00",,,,,115733,"2017-05-01 00:00:00","2022-06-22 00:00:00",,26000,0,0,,,,,,,,0,"AAAAAAGrPNc=",,
367,228,762,"t0000246",1330,"gavet029",141,150     ,"2017-11-01 00:00:00","2022-06-22 00:00:00",,,,,115734,"2017-11-01 00:00:00","2022-06-22 00:00:00",,93000,0,0,,,,,,,,0,"AAAAAAGrPRQ=",,
368,229,763,"t0000247",1330,"gavet029",145,"D       ","2016-12-01 00:00:00","2021-11-30 00:00:00",,,,,4347,"2016-12-01 00:00:00","2021-11-30 00:00:00",,21000,0,0,,,,,,,,0,"AAAAAAA0YbA=",,
369,230,765,"t0000248",917,"gaga1104",210,900     ,"2017-06-01 00:00:00","2020-09-30 00:00:00",,,,,115937,"2017-06-01 00:00:00","2020-09-30 00:00:00",,25000,0,0,,,,,,,,0,"AAAAAAGrajY=",,
373,231,766,"t0000249",917,"gaga1104",218,908     ,"2010-03-10 00:00:00","2022-09-22 00:00:00",,,,,115938,"2010-03-10 00:00:00","2022-09-22 00:00:00",,4000,0,0,,,,,,,,0,"AAAAAAGramg=",,
374,231,766,"t0000249",917,"gaga1104",212,910     ,"2010-03-10 00:00:00","2022-09-22 00:00:00",,,,,115938,"2010-03-10 00:00:00","2022-09-22 00:00:00",,4000,0,0,,,,,,,,0,"AAAAAAGramk=",,
375,232,767,"t0000250",917,"gaga1104",209,860     ,"2018-08-01 00:00:00","2022-09-22 00:00:00",,,,,115939,"2018-08-01 00:00:00","2022-09-22 00:00:00",,5000,0,0,,,,,,,,0,"AAAAAAGrano=",,
376,233,768,"t0000251",917,"gaga1104",207,852     ,"2015-07-01 00:00:00","2022-09-22 00:00:00",,,,,115940,"2015-07-01 00:00:00","2022-09-22 00:00:00",,10000,0,0,,,,,,,,0,"AAAAAAGraos=",,
377,234,770,"t0000252",917,"gaga1104",213,912     ,"2018-09-01 00:00:00","2020-05-31 00:00:00",,,,,4187,"2018-09-01 00:00:00","2020-05-31 00:00:00",,12000,0,0,,,,,,,,0,"AAAAAABPimY=",,
