Lease Code,Customer Code,Customer Name,Tenant Name,Property Code,Property Address,State,Fund,Market,hMy,hCode,sCode,sName,DATE_HEADING,DATE_CREDITCHECK,CREDIT_SCORE,CREDIT_RATING,CREDIT_ATTACHMENT,CREDIT_NOTES,COMPANY_INFO,COMPANY_NAME,COMPANY_LOCATION,COMPANY_WEBSITE,COMPANY_YEARFOUNDED,COMPANY_DESCRIPTION,COMPANY_OWNERSHIP,COMPANY_INDUSTRY,COMPANY_GROUP,HEADERFINANACIALS,COMPANY_REVENUES,GROSS_PROFIT,COMPANY_EBIT,COMPANY_EBITDA,COMPANY_TOTAL_ASSETS,COMPANY_TOTAL_DEBT,ORIGINAL_CUSTOMER,ORIGINAL_SCODE,SLB Flag,Lease Status
t0000295,c0000685    ,"TechnologyLab, LLC","TechnologyLab, LLC",tnuni106,2670 Union Ave. Extended,TN,FRG 6                                                                           ,Memphis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Current
t0000296,c0000686    ,Ted I. Jones and Samuel J. Garrett,Ted I. Jones and Samuel J. Garrett,tnuni106,2670 Union Ave. Extended,TN,FRG 6                                                                           ,Memphis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Current
t0000198,c0000186    ,Chris Cornaghie and Erica Gatewood,Chris Cornaghie and Erica Gatewood,tnuni106,2670 Union Ave. Extended,TN,FRG 6                                                                           ,Memphis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Current
t0000199,c0000626    ,Shelby County Government on behalf of its,Shelby County Government on behalf of its ,tnuni106,2670 Union Ave. Extended,TN,FRG 6                                                                           ,Memphis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Current
t0000200,c0000224    ,"Dan S. Eason, DDS","Dan S. Eason, DDS",tnuni106,2670 Union Ave. Extended,TN,FRG 6                                                                           ,Memphis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Current
t0000201,c0000340    ,"Health Tech Affiliates, Inc.","Health Tech Affiliates, Inc.",tnuni106,2670 Union Ave. Extended,TN,FRG 6                                                                           ,Memphis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Current
t0000203,c0000380    ,"James E. Conley, Jr.","James E. Conley, Jr.",tnuni106,2670 Union Ave. Extended,TN,FRG 6                                                                           ,Memphis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Current
t0000204,c0000382    ,Jana E. Grimmig,Jana E. Grimmig,tnuni106,2670 Union Ave. Extended,TN,FRG 6                                                                           ,Memphis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Current
t0000306,c0000238    ,Douglas & Greer,Douglas & Greer,tnpop107,6263 Poplar,TN,FRG 6                                                                           ,Memphis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Current
t0000307,c0000241    ,Duncan Williams Asset Management LLC,Duncan Williams Asset Management LLC,tnpop107,6263 Poplar,TN,FRG 6                                                                           ,Memphis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Current
t0000308,c0000403    ,Ken Edmundson LLC,Ken Edmundson LLC,tnpop107,6263 Poplar,TN,FRG 6                                                                           ,Memphis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Current
t0000309,c0000273    ,EZR Management LLC,EZR Management LLC,tnpop107,6263 Poplar,TN,FRG 6                                                                           ,Memphis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Current
t0000310,c0000022    ,"Faropoint Ventures, LLC TN",Faropoint Ventures LLC,tnpop107,6263 Poplar,TN,FRG 6                                                                           ,Memphis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Current
t0000311,c0000473    ,Michael D. Fay,Michael D. Fay,tnpop107,6263 Poplar,TN,FRG 6                                                                           ,Memphis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Current
t0000301,c0000098    ,AMP Medical Management LLC,AMP Medical Management LLC,tnpop107,6263 Poplar,TN,FRG 6                                                                           ,Memphis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Current
t0000303,c0000172    ,Carty & Company Inc.,Carty & Company Inc.,tnpop107,6263 Poplar,TN,FRG 6                                                                           ,Memphis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Current
t0000304,c0000198    ,"Coldwell Banker Collins-Maury, Inc.","Coldwell Banker Collins-Maury, Inc.",tnpop107,6263 Poplar,TN,FRG 6                                                                           ,Memphis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Current
t0000305,c0000211    ,"Cost-OS, LLC","Cost-OS, LLC",tnpop107,6263 Poplar,TN,FRG 6                                                                           ,Memphis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Current
t0000331,c0000615    ,Security National Mortgage Corporation,Security National Mortgage Corporation,tnpop107,6263 Poplar,TN,FRG 6                                                                           ,Memphis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Current
t0000332,c0000648    ,Southern Masonry Company,Southern Masonry Company,tnpop107,6263 Poplar,TN,FRG 6                                                                           ,Memphis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Current
t0000333,c0000657    ,Spruill Global Funding LLC,Spruill Global Funding LLC,tnpop107,6263 Poplar,TN,FRG 6                                                                           ,Memphis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Current
t0000334,c0000667    ,Stragistics Technology Inc.,Stragistics Technology Inc.,tnpop107,6263 Poplar,TN,FRG 6                                                                           ,Memphis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Current
t0000299,c0000009    ,"901 Cash Express, LLC","901 Cash Express, LLC",tnpop107,6263 Poplar,TN,FRG 6                                                                           ,Memphis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Current
t0000300,c0000067    ,Accendi Group Holdings LLC,Accendi Group Holdings LLC,tnpop107,6263 Poplar,TN,FRG 6                                                                           ,Memphis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Current
t0000323,c0000459    ,"Mechanical Contractors Association of Memphis, Inc.","Mechanical Contractors Association of Memphis, Inc.",tnpop107,6263 Poplar,TN,FRG 6                                                                           ,Memphis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Current
t0000324,c0000366    ,"Inpatient Physicians of The Mid-South, PLLC","Inpatient Physicians of The Mid-South, PLLC",tnpop107,6263 Poplar,TN,FRG 6                                                                           ,Memphis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Current
t0000326,c0000388    ,Joel Mosby,Joel Mosby,tnpop107,6263 Poplar,TN,FRG 6                                                                           ,Memphis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Current
t0000328,c0000513    ,NGB Investments LLC,NGB Investments LLC,tnpop107,6263 Poplar,TN,FRG 6                                                                           ,Memphis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Current
t0000329,c0000094    ,American Financial Network Inc.,American Financial Network Inc.,tnpop107,6263 Poplar,TN,FRG 6                                                                           ,Memphis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Current
t0000330,c0000606    ,"Saig Company of Tennessee, Inc.","Saig Company of Tennessee, Inc.",tnpop107,6263 Poplar,TN,FRG 6                                                                           ,Memphis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Current
t0000319,c0000387    ,Joe S Levy M.D. P.C.,Joe S Levy M.D. P.C.,tnpop107,6263 Poplar,TN,FRG 6                                                                           ,Memphis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Current
t0000320,c0000433    ,Livestock Nutrition Center LLC,Livestock Nutrition Center LLC,tnpop107,6263 Poplar,TN,FRG 6                                                                           ,Memphis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Current
t0000336,c0000722    ,"Trilogy Marketing, Inc.","Trilogy Marketing, Inc.",tnpop107,6263 Poplar,TN,FRG 6                                                                           ,Memphis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Current
t0000337,c0000734    ,United Education Association of Shelby County,United Education Association of Shelby County,tnpop107,6263 Poplar,TN,FRG 6                                                                           ,Memphis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Current
t0000321,c0000595    ,Rod Lovelace,Rod Lovelace,tnpop107,6263 Poplar,TN,FRG 6                                                                           ,Memphis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Current
t0000322,c0000450    ,Marble Skin Care LLC,Marble Skin Care LLC,tnpop107,6263 Poplar,TN,FRG 6                                                                           ,Memphis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Current
t0000312,c0000171    ,"Carolyn B. Glover CPA, PLC","Carolyn B. Glover CPA, PLC",tnpop107,6263 Poplar,TN,FRG 6                                                                           ,Memphis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Current
t0000313,c0000213    ,CrossCountry Mortgage LLC,CrossCountry Mortgage,tnpop107,6263 Poplar,TN,FRG 6                                                                           ,Memphis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Current
t0000314,c0000539    ,Parker Harness and Dottie Harness,Parker Harness and Dottie Harness,tnpop107,6263 Poplar,TN,FRG 6                                                                           ,Memphis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Current
t0000315,c0000259    ,"Elizabeth Harris, Susan Ackerman Ross, Susan Buffington, Courtney Parrish","Elizabeth Harris, Susan Ackerman Ross, Susan Buffington, Courtney Parrish",tnpop107,6263 Poplar,TN,FRG 6                                                                           ,Memphis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Past
t0000316,c0000342    ,Heritage Land and Development LLC,Heritage Land and Development LLC,tnpop107,6263 Poplar,TN,FRG 6                                                                           ,Memphis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Current
t0000318,c0000700    ,The Kullman Firm,The Kullman Firm,tnpop107,6263 Poplar,TN,FRG 6                                                                           ,Memphis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Current
t0000165,c0000601    ,RPM Truck Parts LLC,RPM Truck Parts LLC,gable014,137 Bledsoe Rd,GA,FRG IX                                                                          ,Atlanta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Current
t0000166,c0000656    ,Sportzone Inc,Sportzone Inc,gable014,137 Bledsoe Rd,GA,FRG IX                                                                          ,Atlanta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Current
t0000168,c0000665    ,Stirling Promotions,Stirling Promotions,gable014,137 Bledsoe Rd,GA,FRG IX                                                                          ,Atlanta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Current
t0000173,c0000598    ,Rosen Materials LLC,Rosen Materials LLC,gagra015,1845 Grassland Parkway,GA,FRG IX                                                                          ,Atlanta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Current
t0000266,c0000153    ,BRE Properties,BRE Properties,gacom016,4570 Commerce Circle SW,GA,FRG IX                                                                          ,Atlanta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Past
t0000363,c0000502    ,National Fleet Repair Solutions LLC,National Fleet Repair Solutions LLC,gacom016,4570 Commerce Circle SW,GA,FRG IX                                                                          ,Atlanta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Current
t0000008,c0000092    ,American Conference of Governmental Industrial Hygienists,American Conference of Governmental Industrial Hygienists,ohkem002,1310-1330 Kemper Meadow Drive,OH,FRG IX                                                                          ,Cincinnati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Past
t0000009,c0000158    ,Moore Air Co.,Building Mechanical & Energy Service (MooreAir),ohkem002,1310-1330 Kemper Meadow Drive,OH,FRG IX                                                                          ,Cincinnati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Past
t0000010,c0000271    ,Examination Management Services,Examination Management Services ,ohkem002,1310-1330 Kemper Meadow Drive,OH,FRG IX                                                                          ,Cincinnati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Past
t0000011,c0000457    ,McKesson Medical-Surigcal INC,McKesson Medical-Surigcal INC,ohkem002,1310-1330 Kemper Meadow Drive,OH,FRG IX                                                                          ,Cincinnati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Current
t0000012,c0000565    ,Prime Prospects,Prime Prospects,ohkem002,1310-1330 Kemper Meadow Drive,OH,FRG IX                                                                          ,Cincinnati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Past
t0000014,c0000631    ,Siemens Real Estate,Siemens Real Estate,ohkem002,1310-1330 Kemper Meadow Drive,OH,FRG IX                                                                          ,Cincinnati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Current
t0000015,c0000694    ,The Creative Learning Workshop,The Creative Learning Workshop,ohkem002,1310-1330 Kemper Meadow Drive,OH,FRG IX                                                                          ,Cincinnati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Current
t0000043,c0000608    ,"Sams Appliance Recycling, LLC","Sams Appliance Recycling, LLC",ohkem002,1310-1330 Kemper Meadow Drive,OH,FRG IX                                                                          ,Cincinnati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Past
t0000130,c0000118    ,AWP Inc,AWP Inc,ohkem002,1310-1330 Kemper Meadow Drive,OH,FRG IX                                                                          ,Cincinnati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Current
t0000393,c0000560    ,Power Home Solar LLC,Power Home Solar LLC,ohkem002,1310-1330 Kemper Meadow Drive,OH,FRG IX                                                                          ,Cincinnati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Current
t0000587,c0000286    ,"Flexprint Intermediate, LLC (FTG)","Flexprint Intermediate, LLC (FTG)",ohkem002,1310-1330 Kemper Meadow Drive,OH,FRG IX                                                                          ,Cincinnati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Current
t0000017,c0000099    ,"Amp Power Systems, LLC","Amp Power Systems, LLC",ohfai003,7042-7068 Fairfield Business Center Dr,OH,FRG IX                                                                          ,Cincinnati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Past
t0000021,c0000106    ,"Apex Circuits, inc.","Apex Circuits, inc.",ohfai003,7042-7068 Fairfield Business Center Dr,OH,FRG IX                                                                          ,Cincinnati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Current
t0000024,c0000313    ,"Genuen, LLC","Genuen, LLC",ohfai003,7042-7068 Fairfield Business Center Dr,OH,FRG IX                                                                          ,Cincinnati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Current
t0000026,c0000182    ,CFC Solar Inc,CFC Solar Inc,ohfai003,7042-7068 Fairfield Business Center Dr,OH,FRG IX                                                                          ,Cincinnati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Current
t0000027,c0000197    ,CNLK Enterprises LLC,CNLK Enterprises LLC,ohfai003,7042-7068 Fairfield Business Center Dr,OH,FRG IX                                                                          ,Cincinnati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Current
t0000028,c0000495    ,MSI-Viking Gace LLC,MSI-Viking Gace LLC,ohfai003,7042-7068 Fairfield Business Center Dr,OH,FRG IX                                                                          ,Cincinnati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Current
t0000029,c0000058    ,Orkin,Orkin Inc,ohfai003,7042-7068 Fairfield Business Center Dr,OH,FRG IX                                                                          ,Cincinnati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Current
t0000030,c0000555    ,Platinum Restoration Inc,Platinum Restoration Inc,ohfai003,7042-7068 Fairfield Business Center Dr,OH,FRG IX                                                                          ,Cincinnati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Current
t0000398,c0000523    ,OHDECA OPCO I LLC,OHDECA OPCO I LLC,ohfai003,7042-7068 Fairfield Business Center Dr,OH,FRG IX                                                                          ,Cincinnati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Current
t0000019,c0000077    ,"AlarMax Distributor, Inc.","AlarMax Distributor, Inc.",ohwar004,420 Wards Corner Rd,OH,FRG IX                                                                          ,Cincinnati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Past
t0000020,c0000150    ,"Board of County Commissioners of Clermont County, Ohio","Board of County Commissioners of Clermont County, Ohio",ohwar004,420 Wards Corner Rd,OH,FRG IX                                                                          ,Cincinnati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Current
t0000022,c0000187    ,"Cimquest, Inc.","Cimquest, Inc.",ohwar004,420 Wards Corner Rd,OH,FRG IX                                                                          ,Cincinnati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Current
t0000023,c0000250    ,East Hills Veterinary Clinic LLC,East Hills Veterinary Clinic LLC,ohwar004,420 Wards Corner Rd,OH,FRG IX                                                                          ,Cincinnati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Current
t0000025,c0000265    ,Equus Now,Equus Now,ohwar004,420 Wards Corner Rd,OH,FRG IX                                                                          ,Cincinnati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Current
t0000034,c0000541    ,"Patient Transport Services, Inc","Patient Transport Services, Inc",ohwar004,420 Wards Corner Rd,OH,FRG IX                                                                          ,Cincinnati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Past
t0000035,c0000706    ,The Terminix International Company,The Terminix International Company,ohwar004,420 Wards Corner Rd,OH,FRG IX                                                                          ,Cincinnati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Current
t0000588,c0000034    ,Camp Jellystone LLC,Camp Jellystone LLC,ohwar004,420 Wards Corner Rd,OH,FRG IX                                                                          ,Cincinnati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Current
t0000651,c0000607    ,"Samarkand Store, Inc","Samarkand Store, Inc",ohwar004,420 Wards Corner Rd,OH,FRG IX                                                                          ,Cincinnati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Current
t0000033,c0000353    ,Honeywell,Honeywell,ohles005,9290 LeSaint Dr.,OH,FRG IX                                                                          ,Cincinnati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Current
t0000082,c0000650    ,"Southern Wire, LLC","Southern Wire, LLC",tnmet016,8045 Metro Rd,TN,FRG IX                                                                          ,Memphis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Current
t0000225,c0000051    ,SRS Distribution Inc.,SRS Distribution Inc.,gamoo022,3150 Moon Station Road NW,GA,FRG IX                                                                          ,Atlanta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Current
t0000740,c0000149    ,"BMH Supply, LLC","BMH Supply, LLC",gamoo022,3150 Moon Station Road NW,GA,FRG IX                                                                          ,Atlanta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Current
t0000005,c0000289    ,"Fluid System Components, Inc","Fluid System Components, Inc",ohcom008,10052 Commerce Park Drive,OH,FRG IX                                                                          ,Cincinnati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Current
