SCODE,HMY,HCODE,SCODE1,SNAME,HUnitSelect,HDealInfo,HAsOfE1Date,HAsOfE2Date,HAsofActMonth,TAcquisition,TRenewalProb,TDowntime,TAbatementNew,TAbatementRenew,TE1Start,TE1Term,TE1AnnualEsc,TE1BaseRentNew,TE1BaseRentRenew,TE1LCNew,TE1LCRenew,TE1TINew,TE1TIRenew,TE1TenantOpt,TE2Start,TE2Term,TE2AnnualEsc,TE2BaseRentNew,TE2BaseRentRenew,TE2LCNew,TE2LCRenew,TE2TINew,TE2TIRenew,TE2TenantOpt,TActAnalysisStartDate,TActMarketBaseNew,TActMarketBaseRenew,TEffectGrowth1,TEffectGrowth2,TEffectGrowth3,TEffectGrowth4,TEffectGrowth5,TEffectGrowth6,TSpaceUnit
"xohmost ",39,1383,"!00000000002","","","","","","",20843,75,9,0,0,"04/01/2025 00:00:00",12,4,3.65,3.65,6,3,3,1,3.53,"04/01/2026 00:00:00",60,4,3.76,3.76,6,3,1,0,0,"04/20/2021 00:00:00",3.25,3.25,3,0,0,0,0,0,"B"
"xohmost ",40,1383,"!00000000003","","","","","","",114000,0,12,0,1,"05/01/2022 00:00:00",60,3,3.61,3.61,6,3,3,1,0,"05/01/2027 00:00:00",60,3,4.18,4.18,6,3,1,1,0,"04/20/2021 00:00:00",3.5,3.5,3,0,0,0,0,0,"D"
"xohmost ",41,1383,"!00000000004","","","","","","",46713,0,6,0,1,"11/01/2021 00:00:00",60,3,3.05,3.05,6,3,2,1,0,"11/01/2026 00:00:00",60,3,3.53,3.53,6,3,1,1,0,"04/20/2021 00:00:00",3,3,3,0,0,0,0,0,"C"
"xnj3001i",139,1387,"!00000000001","","","","","","",25528,75,9,0,1,"08/01/2022 00:00:00",60,0,5.7,5.7,6,4,4,2,5.33,"08/01/2027 00:00:00",60,0,6.61,6.61,6,4,4,2,0,"05/07/2021 00:00:00",5.5,5.5,3,0,0,0,0,0,"C"
"xnj3001i",140,1387,"!00000000002","","","","","","",24600,75,9,0,1,"01/01/2025 00:00:00",60,3,6.13,6.13,6,4,4,2,0,"01/01/2030 00:00:00",60,3,7.1,7.1,6,4,4,2,0,"05/07/2021 00:00:00",5.5,5.5,3,0,0,0,0,0,"A"
"xnj3001i",141,1387,"!00000000003","","","","","","",12000,75,12,0,1,"02/01/2023 00:00:00",60,3,9.47,9.47,6,4,7,2,0,"02/01/2028 00:00:00",60,3,10.98,10.98,6,4,7,2,0,"05/07/2021 00:00:00",9,9,3,0,0,0,0,0,"E"
"xnj3001i",142,1387,"!00000000004","","","","","","",24805,75,12,0,1,"05/01/2024 00:00:00",60,3,6.01,6.01,6,4,4,2,0,"05/01/2029 00:00:00",60,3,6.96,6.96,6,4,4,2,0,"05/07/2021 00:00:00",5.5,5.5,3,0,0,0,0,0,"B"
"xnj3001i",143,1387,"!00000000005","","","","","","",4340,0,0,0,1,"06/01/2021 00:00:00",60,3,7.01,7.01,6,4,7,2,0,"06/01/2026 00:00:00",60,3,8.13,8.13,6,4,7,2,0,"05/07/2021 00:00:00",7,7,3,0,0,0,0,0,"D"
"xnj2036b",101,1388,"!00000000001","","","","","","",9849,75,11,0,1,"04/01/2029 00:00:00",60,3,8.84,8.84,6,4,7,2,0,"04/01/2034 00:00:00",60,3,10.25,10.25,6,4,7,2,0,"05/07/2021 00:00:00",7,7,3,0,0,0,0,0,300
"xnj2036b",102,1388,"!00000000002","","","","","","",10000,75,11,0,1,"08/01/2026 00:00:00",60,3.5,8.17,8.17,6,4,15,2,8.35,"08/01/2031 00:00:00",60,3.5,9.47,9.47,6,4,7,2,0,"05/07/2021 00:00:00",7,7,3,0,0,0,0,0,100
"xnj2036b",103,1388,"!00000000003","","","","","","",5025,75,11,0,1,"01/01/2027 00:00:00",60,3,8.57,8.57,6,4,7,2,0,"01/01/2032 00:00:00",60,3,9.93,9.93,6,4,7,2,0,"05/07/2021 00:00:00",7.25,7.25,3,0,0,0,0,0,200
"xnj2036b",104,1388,"!00000000004","","","","","","",15075,75,11,0,1,"04/01/2030 00:00:00",60,2.5,9.11,9.11,6,4,7,2,0,"04/01/2035 00:00:00",60,2.5,10.56,10.56,6,4,7,2,0,"05/07/2021 00:00:00",7,7,3,0,0,0,0,0,400
"xnj6000i",236,1389,"!00000000001","","","","","","",11403,0,0,0,1,"06/01/2021 00:00:00",60,3,8.02,8.02,6,4,7,2,0,"06/01/2026 00:00:00",60,3,9.29,9.29,6,4,7,2,0,"05/07/2021 00:00:00",8,8,3,0,0,0,0,0,"A"
"xtxball ",275,1390,"!00000000001","","","","","","",29772,75,6,0,1,"02/01/2027 00:00:00",60,3,10.02,10.02,6,4,3,1,0,"02/01/2032 00:00:00",60,3,11.61,11.61,6,4,3,1,0,"05/12/2021 00:00:00",8.46,8.46,3,0,0,0,0,0,9615
"xgahire1",91,1391,"!00000000001","","","","","","",42000,75,9,0,1,"11/01/2025 00:00:00",60,2.5,7.33,7.33,7,6,3,0,6.8,"11/01/2030 00:00:00",60,2.5,8.91,8.91,7,6,3,0,0,"05/14/2021 00:00:00",6.15,6.15,4,0,0,0,0,0,196
"xgahire2",100,1392,"!00000000001","","","","","","",26301,75,9,0,1,"11/01/2025 00:00:00",60,2.5,7.33,7.33,7,6,3,0,6.8,"11/01/2030 00:00:00",60,2.5,8.91,8.91,7,6,3,0,0,"05/14/2021 00:00:00",6.15,6.15,4,0,0,0,0,0,201
"xgahire3",106,1393,"!00000000001","","","","","","",40841,75,9,0,1,"11/01/2025 00:00:00",60,2.5,7.33,7.33,7,6,3,0,6.8,"11/01/2030 00:00:00",60,2.5,8.91,8.91,7,6,3,0,0,"05/14/2021 00:00:00",6.15,6.15,4,0,0,0,0,0,210
"xgahire4",116,1394,"!00000000001","","","","","","",34962,75,9,0,1,"11/01/2025 00:00:00",60,2.5,7.33,7.33,7,6,3,0,6.8,"11/01/2030 00:00:00",60,2.5,8.91,8.91,7,6,3,0,0,"05/14/2021 00:00:00",6.15,6.15,4,0,0,0,0,0,224
"xgahire5",120,1395,"!00000000001","","","","","","",39088,75,9,0,1,"11/01/2025 00:00:00",60,2.5,7.33,7.33,7,6,3,0,6.8,"11/01/2030 00:00:00",60,2.5,8.91,8.91,7,6,3,0,0,"05/14/2021 00:00:00",6.15,6.15,4,0,0,0,0,0,246
"xgahire6",123,1396,"!00000000001","","","","","","",16746,75,9,0,1,"11/01/2025 00:00:00",60,2.5,7.33,7.33,7,6,3,0,6.8,"11/01/2030 00:00:00",60,2.5,8.91,8.91,7,6,3,0,0,"05/14/2021 00:00:00",6.15,6.15,4,0,0,0,0,0,252
"xgahire7",131,1397,"!00000000001","","","","","","",27322,75,9,0,1,"11/01/2025 00:00:00",60,2.5,7.33,7.33,7,6,3,0,6.8,"11/01/2030 00:00:00",60,2.5,8.91,8.91,7,6,3,0,0,"05/14/2021 00:00:00",6.15,6.15,4,0,0,0,0,0,2980
"xgahire8",138,1398,"!00000000001","","","","","","",19200,75,9,0,1,"11/01/2025 00:00:00",60,2.5,7.33,7.33,7,6,3,0,6.8,"11/01/2030 00:00:00",60,2.5,8.91,8.91,7,6,3,0,0,"05/14/2021 00:00:00",6.15,6.15,4,0,0,0,0,0,3000
"xnjmway3",132,1584,"!00000000001","","","","","","",10500,75,6,0,1,"01/01/2022 00:00:00",48,2.5,5.63,5.63,6,4,4,2,0,"01/01/2026 00:00:00",48,2.5,6.59,6.59,6,4,2,1,0,"05/25/2021 00:00:00",5.5,5.5,4,0,0,0,0,0,"C"
"xnjmway3",133,1584,"!00000000002","","","","","","",10550,75,6,0,1,"06/01/2021 00:00:00",48,2.5,5,5,6,4,4,2,0,"06/01/2025 00:00:00",48,2.5,5.85,5.85,6,4,2,1,0,"05/25/2021 00:00:00",5,5,4,0,0,0,0,0,"A"
"xnjmway3",134,1584,"!00000000003","","","","","","",21250,50,6,0,1,"06/01/2021 00:00:00",48,2.5,5,5,6,4,4,2,0,"06/01/2025 00:00:00",48,2.5,5.85,5.85,6,4,2,1,0,"05/25/2021 00:00:00",5,5,4,0,0,0,0,0,"B"
"xnjmway5",223,1585,"!00000000001","","","","","","",0,100,0,0,0,"06/01/2030 00:00:00",60,2.5,20026.44,20026.44,0,0,0,0,0,"06/01/2035 00:00:00",60,2.5,24365.23,24365.23,0,0,0,0,0,"05/25/2021 00:00:00",14061.12,14061.12,4,0,0,0,0,0,"ANT-A"
"xnjmway5",224,1585,"!00000000002","","","","","","",10000,75,6,0,1,"09/01/2023 00:00:00",48,2.5,6.28,6.28,6,4,4,2,0,"09/01/2027 00:00:00",48,2.5,7.35,7.35,6,4,2,1,0,"05/25/2021 00:00:00",5.75,5.75,4,0,0,0,0,0,"A"
"xnjmway5",225,1585,"!00000000003","","","","","","",20000,75,6,0,1,"03/01/2023 00:00:00",48,2.5,5.89,5.89,6,4,4,2,0,"03/01/2027 00:00:00",48,2.5,6.9,6.9,6,4,2,1,0,"05/25/2021 00:00:00",5.5,5.5,4,0,0,0,0,0,"C"
"xnjmway5",226,1585,"!00000000004","","","","","","",0,100,0,0,0,"06/01/2030 00:00:00",60,2.5,28570.53,28570.53,0,0,0,0,0,"06/01/2035 00:00:00",60,2.5,34760.42,34760.42,0,0,0,0,0,"05/25/2021 00:00:00",20060.16,20060.16,4,0,0,0,0,0,"ANT-B"
"xnjmway7",240,1586,"!00000000001","","","","","","",20000,75,6,0,1,"07/01/2022 00:00:00",48,2.5,5.22,5.22,6,4,4,2,0,"07/01/2026 00:00:00",48,2.5,6.11,6.11,6,4,2,1,0,"05/25/2021 00:00:00",5,5,4,0,0,0,0,0,"B"
"xnjmway7",241,1586,"!00000000002","","","","","","",20000,75,6,0,1,"06/01/2021 00:00:00",48,2.5,5,5,6,4,4,2,0,"06/01/2025 00:00:00",48,2.5,5.85,5.85,6,4,2,1,0,"05/25/2021 00:00:00",5,5,4,0,0,0,0,0,"A"
"xnjmway9",264,1587,"!00000000001","","","","","","",21750,75,6,0,1,"09/01/2021 00:00:00",48,2.5,5.31,5.31,6,4,4,2,0,"09/01/2025 00:00:00",48,2.5,6.21,6.21,6,4,2,1,0,"05/25/2021 00:00:00",5.25,5.25,4,0,0,0,0,0,"B"
"xnjmway9",265,1587,"!00000000002","","","","","","",12500,50,6,0,1,"06/01/2021 00:00:00",48,2.5,5,5,6,4,4,2,0,"06/01/2025 00:00:00",48,2.5,5.85,5.85,6,4,2,1,0,"05/25/2021 00:00:00",5,5,4,0,0,0,0,0,"A1"
"xnjmway9",266,1587,"!00000000003","","","","","","",7500,75,6,0,1,"09/01/2026 00:00:00",48,2.5,7.38,7.38,6,4,4,2,0,"09/01/2030 00:00:00",48,2.5,8.63,8.63,6,4,2,1,0,"05/25/2021 00:00:00",6,6,4,0,0,0,0,0,"A"
"xgashaw1",277,1590,"!00000000001","","","","","","",16000,75,10,0,2,"07/01/2028 00:00:00",60,3,8.25,8.25,7,6,2,1,0,"07/01/2033 00:00:00",60,3,10.04,10.04,7,6,2,1,0,"06/04/2021 00:00:00",6.25,6.25,4,0,0,0,0,0,986
"xgashaw2",271,1591,"!00000000001","","","","","","",11300,75,6,0,2,"07/01/2028 00:00:00",60,3,9.9,9.9,7,6,2,1,0,"07/01/2033 00:00:00",60,3,12.04,12.04,7,6,2,1,0,"06/04/2021 00:00:00",7.5,7.5,4,0,0,0,0,0,922
"xgashaw3",263,1592,"!00000000001","","","","","","",26880,75,6,0,2,"07/01/2028 00:00:00",60,3,9.24,9.24,7,6,2,1,0,"07/01/2033 00:00:00",60,3,11.24,11.24,7,6,2,1,0,"06/04/2021 00:00:00",7,7,4,0,0,0,0,0,899
"xgashaw4",160,1593,"!00000000001","","","","","","",22200,75,12,0,2,"07/01/2028 00:00:00",60,3,7.92,7.92,7,6,2,1,0,"07/01/2033 00:00:00",60,3,9.63,9.63,7,6,2,1,0,"06/04/2021 00:00:00",6,6,4,0,0,0,0,0,300
"xgashaw5",159,1594,"!00000000001","","","","","","",17766,75,6,0,2,"07/01/2028 00:00:00",60,3,8.25,8.25,7,6,2,1,0,"07/01/2033 00:00:00",60,3,10.04,10.04,7,6,2,1,0,"06/04/2021 00:00:00",6.25,6.25,4,0,0,0,0,0,200
"xgashaw6",158,1595,"!00000000001","","","","","","",11275,75,6,0,2,"07/01/2028 00:00:00",60,3,8.25,8.25,7,6,2,1,0,"07/01/2033 00:00:00",60,3,10.04,10.04,7,6,2,1,0,"06/04/2021 00:00:00",6.25,6.25,4,0,0,0,0,0,100
"xtxglen ",156,1598,"!00000000001","","","","","","",115200,75,0,0,0,"10/01/2021 00:00:00",60,3,3.98,3.98,0,4,0,0,0,"10/01/2026 00:00:00",60,3,4.62,4.62,0,4,0,0,0,"06/24/2021 00:00:00",3.95,3.95,3,0,0,0,0,0,3113
"xnjmorri",54,1599,"!00000000001","","","","","","",38000,75,9,0,2,"03/01/2024 00:00:00",48,3,6.11,6.11,6,4,5,3,0,"03/01/2028 00:00:00",48,3,7.15,7.15,6,4,3,2,0,"06/23/2021 00:00:00",5.5,5.5,4,0,0,0,0,0,14
"xtxdrysd",276,1639,"!00000000001","","","","","","",26448,0,9,0,2,"05/01/2022 00:00:00",60,2.5,7.9,7.9,6,4,2,1,0,"05/01/2027 00:00:00",60,2.5,8.51,8.51,6,4,2,1,0,"07/06/2021 00:00:00",7.8,7.8,1.5,0,0,0,0,0,9820
"xgamc200",183,1640,"!00000000001","","","","","","",45000,75,9,0,2,"09/01/2025 00:00:00",60,3,5.93,5.93,7,6,4,0,5.14,"09/01/2030 00:00:00",60,3,6.88,6.88,7,6,4,4,0,"07/14/2021 00:00:00",5.25,5.25,3,0,0,0,0,0,4200
"xgamc220",185,1641,"!00000000001","","","","","","",36000,75,9,0,2,"07/01/2023 00:00:00",60,3,7.15,7.15,7,6,3,2,0,"07/01/2028 00:00:00",60,3,8.29,8.29,7,6,3,2,0,"07/14/2021 00:00:00",6.75,6.75,3,0,0,0,0,0,4220
"xgamc255",191,1642,"!00000000001","","","","","","",45000,75,9,0,2,"07/01/2023 00:00:00",60,3,6.36,6.36,7,6,3,2,0,"07/01/2028 00:00:00",60,3,7.37,7.37,7,6,3,2,0,"07/14/2021 00:00:00",6,6,3,0,0,0,0,0,4255
"xgamc260",192,1643,"!00000000001","","","","","","",15000,75,6,0,2,"07/01/2023 00:00:00",60,3,8.21,8.21,7,6,3,2,0,"07/01/2028 00:00:00",60,3,9.52,9.52,7,6,3,2,0,"07/14/2021 00:00:00",7.75,7.75,3,0,0,0,0,0,4260
"xilmitch",234,1645,"!00000000001","","","","","","",30000,75,9,0,0,"07/01/2026 00:00:00",60,3,6.38,6.38,6,1,3,0,8.4,"07/01/2031 00:00:00",60,3,7.39,7.39,6,5,3,1,0,"06/29/2021 00:00:00",5.5,5.5,3,0,0,0,0,0,561
"xtxmorto",166,1652,"!00000000001","","","","","","",132133,75,6,0,1,"03/01/2031 00:00:00",60,2.25,5.65,5.65,6,4,2,1,0,"03/01/2036 00:00:00",60,2.25,6.55,6.55,6,4,2,1,0,"07/15/2021 00:00:00",4.25,4.25,3,0,0,0,0,0,106
"xtxmorto",167,1652,"!00000000002","","","","","","",77536,75,6,0,1,"03/01/2030 00:00:00",60,1.25,5.48,5.48,6,4,2,1,0,"03/01/2035 00:00:00",60,1.25,6.36,6.36,6,4,2,1,0,"07/15/2021 00:00:00",4.25,4.25,3,0,0,0,0,0,100
"xtxritti",220,1653,"!00000000001","","","","","","",17488,75,6,0,1,"11/01/2025 00:00:00",60,2.5,7.66,7.66,6,4,2,0.5,0,"11/01/2030 00:00:00",60,2.5,8.88,8.88,6,4,2,0.5,0,"07/16/2021 00:00:00",6.75,6.75,3,0,0,0,0,0,8
"xtxritti",221,1653,"!00000000002","","","","","","",8809,75,6,0,1,"10/01/2025 00:00:00",60,2.44,7.88,7.88,6,4,2,0.5,0,"10/01/2030 00:00:00",60,2.44,9.14,9.14,6,4,2,0.5,0,"07/16/2021 00:00:00",6.96,6.96,3,0,0,0,0,0,7
"xtxritti",222,1653,"!00000000003","","","","","","",8809,0,6,0,1,"02/01/2022 00:00:00",60,2.5,7.07,7.07,6,4,4,0.5,0,"02/01/2027 00:00:00",60,2.5,8.2,8.2,6,4,4,0.5,0,"07/16/2021 00:00:00",6.96,6.96,3,0,0,0,0,0,3
"xohcomme",12,1654,"!00000000001","","","","","","",80000,70,9,0,1,"03/01/2023 00:00:00",60,3,3.67,3.67,6,4,2,0.5,0,"03/01/2028 00:00:00",60,3,4.26,4.26,6,4,2,0.5,0,"07/13/2021 00:00:00",3.5,3.5,3,0,0,0,0,0,10021
"xnjcentr",245,1655,"!00000000001","","","","","","",30000,0,9,0,1,"11/01/2022 00:00:00",48,3,4.73,4.73,6,4,7,5,0,"11/01/2026 00:00:00",48,3,5.53,5.53,6,4,4,2,0,"07/22/2021 00:00:00",4.5,4.5,4,0,0,0,0,0,"7055-1"
"xpastate",262,1656,"!00000000001","","","","","","",17678,75,11,0,2,"04/01/2026 00:00:00",48,3,11.75,11.75,6,4,5,3,0,"04/01/2030 00:00:00",48,3,13.74,13.74,6,4,3,2,0,"07/18/2021 00:00:00",9.77,9.77,4,0,0,0,0,0,8800
"xilmount",323,1657,"!00001","","","","","","",64002,75,6,0,1,"01/01/2031 00:00:00",60,3,5.62,5.62,6,5,3,1,0,"01/01/2036 00:00:00",60,3,6.52,6.52,6,5,3,1,0,"07/15/2021 00:00:00",4.25,4.25,3,0,0,0,0,0,1
"xtn225bo",117,1658,"!00000000001","","","","","","",45820,0,10,0,1,"11/01/2021 00:00:00",60,2.5,2.62,2.62,6,4,2,0.5,0,"11/01/2026 00:00:00",60,2.5,3.04,3.04,6,4,2,0.5,0,"07/29/2021 00:00:00",2.6,2.6,3,0,0,0,0,0,101
"xtn225bo",118,1658,"!00000000002","","","","","","",20840,75,10,0,1,"06/01/2026 00:00:00",60,2.5,3.12,3.12,6,4,2,0.5,0,"06/01/2031 00:00:00",60,2.5,3.61,3.61,6,4,2,0.5,0,"07/29/2021 00:00:00",2.7,2.7,3,0,0,0,0,0,229
"xil1601 ",65,1659,"!00000000001","","","","","","",27809,75,8,0,2,"11/01/2028 00:00:00",60,2.2,7.43,7.43,6,5,2,1,0,"11/01/2033 00:00:00",60,2.2,8.62,8.62,6,5,2,1,0,"08/04/2021 00:00:00",6,6,3,0,0,0,0,0,"1601A"
"xil747  ",247,1660,"!00000000001","","","","","","",123200,90,8,0,2,"02/01/2030 00:00:00",60,2,8.16,8.16,6,5,2,1,0,"02/01/2035 00:00:00",60,2,9.46,9.46,6,5,2,1,0,"08/04/2021 00:00:00",6.35,6.35,3,0,0,0,0,0,747
"xil1688 ",71,1661,"!00000000001","","","","","","",84804,75,8,0,2,"08/01/2024 00:00:00",60,2,5.74,5.74,6,0,2,0,4.37,"08/01/2029 00:00:00",60,2,6.65,6.65,6,0,2,0,0,"08/04/2021 00:00:00",5.25,5.25,3,0,0,0,0,0,1688
"xil305e ",152,1662,"!00000000001","","","","","","",32404,50,8,0,2,"09/01/2023 00:00:00",60,2.4,6.65,6.65,6,5,2,1,0,"09/01/2028 00:00:00",60,2.4,7.7,7.7,6,5,2,1,0,"08/04/2021 00:00:00",6.25,6.25,3,0,0,0,0,0,305
"xil305e ",153,1662,"!00000000002","","","","","","",17605,75,8,0,2,"06/01/2025 00:00:00",60,2.4,7.39,7.39,6,5,2,1,0,"06/01/2030 00:00:00",60,2.4,8.57,8.57,6,5,2,1,0,"08/04/2021 00:00:00",6.6,6.6,3,0,0,0,0,0,307
"xil1600 ",64,1663,"!00000000001","","","","","","",238423,90,8,0,2,"12/01/2025 00:00:00",60,2.5,7.22,7.22,6,5,2,1,0,"12/01/2030 00:00:00",60,2.5,8.37,8.37,6,5,2,1,0,"08/04/2021 00:00:00",6.35,6.35,3,0,0,0,0,0,100
"xil1terr",5,1664,"!00000000001","","","","","","",19702,90,8,0,2,"10/01/2026 00:00:00",60,2.9,7.86,7.86,6,5,2,1,0,"10/01/2031 00:00:00",60,2.9,9.11,9.11,6,5,2,1,0,"08/04/2021 00:00:00",6.75,6.75,3,0,0,0,0,0,"A"
"xil1terr",6,1664,"!00000000002","","","","","","",10700,90,8,0,2,"08/01/2023 00:00:00",60,2.9,7.16,7.16,6,5,2,1,0,"08/01/2028 00:00:00",60,2.9,8.3,8.3,6,5,2,1,0,"08/04/2021 00:00:00",6.75,6.75,3,0,0,0,0,0,"B"
"xil1terr",7,1664,"!00000000003","","","","","","",22001,75,8,0,2,"01/01/2023 00:00:00",60,3,7.04,7.04,6,5,2,1,0,"01/01/2028 00:00:00",60,3,8.16,8.16,6,5,2,1,0,"08/04/2021 00:00:00",6.75,6.75,3,0,0,0,0,0,"C"
"xil1111 ",28,1665,"!00000000001","","","","","","",144578,90,11,0,2,"04/01/2027 00:00:00",60,2,7.07,7.07,6,5,3,1.5,0,"04/01/2032 00:00:00",60,2,8.19,8.19,6,5,3,1.5,0,"08/04/2021 00:00:00",5.98,5.98,3,0,0,0,0,0,100
"xtn187bo",83,1666,"!00000000001","","","","","","",120000,75,12,0,1,"04/01/2024 00:00:00",60,2.5,2.49,2.49,6,4,1,0.5,0,"04/01/2029 00:00:00",60,2.5,2.89,2.89,6,4,1,0.5,0,"07/29/2021 00:00:00",2.3,2.3,3,0,0,0,0,0,100
"xpa1peae",3,1667,"!00000000001","","","","","","",14400,75,9,0,2,"01/01/2026 00:00:00",24,2.5,8.62,8.62,6,4,5,3,0,"01/01/2028 00:00:00",24,2.5,9.32,9.32,6,4,4,2,0,"08/04/2021 00:00:00",7.25,7.25,4,0,0,0,0,0,"A"
"xpa1peae",4,1667,"!00000000002","","","","","","",9350,75,9,0,2,"02/01/2023 00:00:00",48,2,7.69,7.69,6,4,5,3,0,"02/01/2027 00:00:00",24,2,8.99,8.99,6,4,4,2,0,"08/04/2021 00:00:00",7.25,7.25,4,0,0,0,0,0,"B"
"xnj7550 ",249,1668,"!00000000001","","","","","","",18540,75,9,0,2,"05/01/2026 00:00:00",48,3,8.79,8.79,6,4,25,15,0,"05/01/2030 00:00:00",48,3,10.28,10.28,6,4,25,15,0,"08/06/2021 00:00:00",7.3,7.3,4,0,0,0,0,0,7550
"xga130j ",53,1670,"!00000000001","","","","","","",40000,0,6,0,1,"03/01/2022 00:00:00",60,3,3.56,3.56,7,6,2,1,0,"03/01/2027 00:00:00",60,3,4.12,4.12,7,6,2,1,0,"08/11/2021 00:00:00",3.5,3.5,3,0,0,0,0,0,130
"xnj900k ",269,1673,"!00000000001","","","","","","",37663,75,9,0,1,"11/01/2026 00:00:00",48,2.5,7.96,7.96,6,4,12,6,0,"11/01/2030 00:00:00",48,2.5,9.31,9.31,6,4,5,2,0,"09/03/2021 00:00:00",6.5,6.5,4,0,0,0,0,0,900
"xnj6965 ",497,1674,"!00001","","","","","","",0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,6965
"xnj440be",193,1675,"!00000000001","","","","","","",1777,75,6,0,1,"05/01/2024 00:00:00",48,3.4,9.24,9.24,6,4,10,5,0,"05/01/2028 00:00:00",48,3.4,9.62,9.62,6,4,10,5,0,"08/30/2021 00:00:00",9,9,1,0,0,0,0,0,"A-1"
"xnj440be",194,1675,"!00000000002","","","","","","",825,75,12,0,1,"01/01/2023 00:00:00",48,3,9.12,9.12,6,4,10,5,0,"01/01/2027 00:00:00",48,3,9.49,9.49,6,4,10,5,0,"08/30/2021 00:00:00",9,9,1,0,0,0,0,0,"A3"
"xnj440be",195,1675,"!00000000003","","","","","","",1232,75,12,0,1,"10/01/2021 00:00:00",48,3,7.01,7.01,6,4,10,5,0,"10/01/2025 00:00:00",48,3,7.29,7.29,6,4,10,5,0,"08/30/2021 00:00:00",7,7,1,0,0,0,0,0,"A-7"
"xnj440be",196,1675,"!00000000004","","","","","","",525,75,12,0,1,"12/01/2026 00:00:00",48,3,7.38,7.38,6,4,10,5,0,"12/01/2030 00:00:00",48,3,7.68,7.68,6,4,10,5,0,"08/30/2021 00:00:00",7,7,1,0,0,0,0,0,"A-5"
"xnj440be",197,1675,"!00000000005","","","","","","",343,75,12,0,1,"01/01/2022 00:00:00",48,3,7.02,7.02,6,4,10,5,0,"01/01/2026 00:00:00",48,3,7.31,7.31,6,4,10,5,0,"08/30/2021 00:00:00",7,7,1,0,0,0,0,0,"A-6"
"xnj440be",198,1675,"!00000000006","","","","","","",2262,75,12,0,1,"08/01/2023 00:00:00",48,3,7.13,7.13,6,4,10,5,0,"08/01/2027 00:00:00",48,3,7.42,7.42,6,4,10,5,0,"08/30/2021 00:00:00",7,7,1,0,0,0,0,0,"A-2"
