Property Code,Property Address,Property State,Market,Fund,Legal Entity,ACQ Status,Asset Manager,Lease Code,Tenant Name,Lease Status,Amendment Type,Amendment Status,Amendment Sequence,unit_scodes_concatenated,Contract Area,Rent,Term,Start Date,End Date,Sign Date,Description,Tenant Status,Tenant HMY,Amendment Tenant,Property HMY,Comm ICS,Comm ICS Code,Comm ICS Description
"3tx00014","10755 Sanden Drive","TX","Texas                                                                           ","FUND 3 (FRG XI)                                                                 ","FIVF-III-TX2 LLC                                                                ","Acquired                                                                        ","Steve DeFoe                                                                     ","t0001207","Pro-Craft General Contractors, Inc.","Current","Original Lease","Activated",0,100     ,11789,0,10,"2024-04-04 00:00:00","2025-01-31 00:00:00","2019-09-18 00:00:00","Original",0,51905,51905,6156,209,236115,"New Single-Family Housing Construction (except For-Sale Builders)"
"xgahire4","224 Rio Circle","GA","Southeast                                                                       ","FRG X                                                                           ","FRG-X-GA1 LP                                                                    ","Acquired                                                                        ","Rebekah Snider                                                                  ","t0000439","Construction Resources Company LLC","Current","Unknown","Activated",1,224     ,33000,0,58,"2021-01-01 00:00:00","2025-10-31 00:00:00",,"Remeasure",0,1341,1341,1394,246,238150,"Glass and Glazing Contractors"
"xgahire4","224 Rio Circle","GA","Southeast                                                                       ","FRG X                                                                           ","FRG-X-GA1 LP                                                                    ","Acquired                                                                        ","Rebekah Snider                                                                  ","t0000439","Construction Resources Company LLC","Current","Original Lease","Superseded",0,224     ,33000,0,60,"2020-11-01 00:00:00","2025-10-31 00:00:00","2019-12-19 00:00:00","First Addendum",0,1341,1341,1394,246,238150,"Glass and Glazing Contractors"
"xgahire5","246 Rio Circle","GA","Southeast                                                                       ","FRG X                                                                           ","FRG-X-GA1 LP                                                                    ","Acquired                                                                        ","Rebekah Snider                                                                  ","t0000440","Construction Resources Company LLC","Current","Original Lease","Superseded",0,246     ,37500,0,60,"2020-11-01 00:00:00","2025-10-31 00:00:00",,"First Addendum",0,1342,1342,1395,246,238150,"Glass and Glazing Contractors"
"xgahire5","246 Rio Circle","GA","Southeast                                                                       ","FRG X                                                                           ","FRG-X-GA1 LP                                                                    ","Acquired                                                                        ","Rebekah Snider                                                                  ","t0000440","Construction Resources Company LLC","Current","Unknown","Activated",1,246     ,37500,0,58,"2021-01-01 00:00:00","2025-10-31 00:00:00",,"Remeasure",0,1342,1342,1395,246,238150,"Glass and Glazing Contractors"
"tnwl1002","5300 E Raines Rd","TN","Mid-South                                                                       ","FRG IX                                                                          ","FPIP- Memphis LP                                                                ","Sold                                                                            ","Alex Hugo                                                                       ","t0000046","Glass Inc.","Current","Original Lease","Activated",0,100     ,26025,0,36,"2020-08-01 00:00:00","2023-07-31 00:00:00",,"",0,435,435,921,246,238150,"Glass and Glazing Contractors"
"xgahire3","210 Rio Circle","GA","Southeast                                                                       ","FRG X                                                                           ","FRG-X-GA1 LP                                                                    ","Acquired                                                                        ","Rebekah Snider                                                                  ","t0000438","Construction Resources Company LLC","Current","Original Lease","Superseded",0,210     ,40000,0,60,"2020-11-01 00:00:00","2025-10-31 00:00:00",,"First Addendum",0,1340,1340,1393,246,238150,"Glass and Glazing Contractors"
"xgahire3","210 Rio Circle","GA","Southeast                                                                       ","FRG X                                                                           ","FRG-X-GA1 LP                                                                    ","Acquired                                                                        ","Rebekah Snider                                                                  ","t0000438","Construction Resources Company LLC","Current","Unknown","Activated",1,210     ,40841,0,58,"2021-01-01 00:00:00","2025-10-31 00:00:00",,"Remeasure",0,1340,1340,1393,246,238150,"Glass and Glazing Contractors"
"xgahire6","252 Rio Circle","GA","Southeast                                                                       ","FRG X                                                                           ","FRG-X-GA1 LP                                                                    ","Acquired                                                                        ","Rebekah Snider                                                                  ","t0000441","Construction Resources Company LLC","Current","Unknown","Activated",1,252     ,16600,0,58,"2021-01-01 00:00:00","2025-10-31 00:00:00",,"Remeasure",0,1343,1343,1396,246,238150,"Glass and Glazing Contractors"
"xga4600f","4600 & 4630 Frederick Drive ","GA","Southeast                                                                       ","FRG X                                                                           ","FRG-X-GA2 LP                                                                    ","Acquired                                                                        ","Rebekah Snider                                                                  ","t0000681","American HVAC Inc","Current","Unknown","Superseded",-1,"4600-F  ",10026,0,60,"2025-04-01 00:00:00","2030-03-31 00:00:00",,"FM with DT",0,6536,6536,2990,257,238220,"Plumbing, Heating, and Air-Conditioning Contractors"
"xga4600f","4600 & 4630 Frederick Drive ","GA","Southeast                                                                       ","FRG X                                                                           ","FRG-X-GA2 LP                                                                    ","Acquired                                                                        ","Rebekah Snider                                                                  ","t0000681","American HVAC Inc","Current","Renewal","Activated",1,"4600-F  ",10000,0,36,"2022-04-01 00:00:00","2025-03-31 00:00:00",,"7th Amend",0,6536,6536,2990,257,238220,"Plumbing, Heating, and Air-Conditioning Contractors"
"xga4600f","4600 & 4630 Frederick Drive ","GA","Southeast                                                                       ","FRG X                                                                           ","FRG-X-GA2 LP                                                                    ","Acquired                                                                        ","Rebekah Snider                                                                  ","t0000681","American HVAC Inc","Current","Unknown","Superseded",-1,"4600-F  ",10026,0,60,"2025-04-01 00:00:00","2030-03-31 00:00:00",,"Renewal Proposal 10.28.24",0,6536,6536,2990,257,238220,"Plumbing, Heating, and Air-Conditioning Contractors"
"gamou028","850 Mountain Industrial Drive","GA","Southeast                                                                       ","FRG IX                                                                          ","FP-Gimel GA LP                                                                  ","Sold                                                                            ","Rebekah Snider                                                                  ","t0000239","All Tech Heating & Cooling Co","Current","Original Lease","Activated",0,115     ,5999,0,120,"2015-02-01 00:00:00","2025-01-31 00:00:00",,"",0,755,755,1271,257,238220,"Plumbing, Heating, and Air-Conditioning Contractors"
"xga4600f","4600 & 4630 Frederick Drive ","GA","Southeast                                                                       ","FRG X                                                                           ","FRG-X-GA2 LP                                                                    ","Acquired                                                                        ","Rebekah Snider                                                                  ","t0000681","American HVAC Inc","Current","Original Lease","Superseded",0,"4600-F  ",10026,0,158,"2009-02-17 00:00:00","2022-03-31 00:00:00",,"",0,6536,6536,2990,257,238220,"Plumbing, Heating, and Air-Conditioning Contractors"
"3il00002","150-152 Railroad Avenue","IL","Mid-West                                                                        ","FUND 3 (FRG XI)                                                                 ","FIVF-III-IL1 LLC                                                                ","Acquired                                                                        ","Sterling Pompey                                                                 ","t0000913","Mercury Mechanical Service Corp.","Current","Renewal","Activated",2,100     ,18590,0,12,"2024-08-01 00:00:00","2025-07-31 00:00:00","2024-04-02 00:00:00","First Amendment",0,17745,17745,3741,257,238220,"Plumbing, Heating, and Air-Conditioning Contractors"
"3il00002","150-152 Railroad Avenue","IL","Mid-West                                                                        ","FUND 3 (FRG XI)                                                                 ","FIVF-III-IL1 LLC                                                                ","Acquired                                                                        ","Sterling Pompey                                                                 ","t0000913","Mercury Mechanical Service Corp.","Current","Unknown","Activated",1,100     ,18590,0,12,"2024-08-01 00:00:00","2025-07-31 00:00:00","2024-04-04 17:04:28","Renew_Proposal_1",0,17745,17745,3741,257,238220,"Plumbing, Heating, and Air-Conditioning Contractors"
"3il00002","150-152 Railroad Avenue","IL","Mid-West                                                                        ","FUND 3 (FRG XI)                                                                 ","FIVF-III-IL1 LLC                                                                ","Acquired                                                                        ","Sterling Pompey                                                                 ","t0000913","Mercury Mechanical Service Corp.","Current","Original Lease","Superseded",0,100     ,18590,0,25,"2022-07-18 00:00:00","2024-07-31 00:00:00","2022-07-15 00:00:00","Original Lease",0,17745,17745,3741,257,238220,"Plumbing, Heating, and Air-Conditioning Contractors"
"3tx00015","1800-20 N Glenville Drive","TX","Texas                                                                           ","FUND 3 (FRG XI)                                                                 ","FIVF-III-TX2 LLC                                                                ","Acquired                                                                        ","Steve DeFoe                                                                     ","t0001206","Bobby Levy Construction, Inc.","Current","Original Lease","Activated",0,"120A    , 122     ",2592,0,50,"2024-04-04 00:00:00","2028-05-31 00:00:00","2023-04-25 00:00:00","First Amenedment",0,51904,51904,6163,209,236115,"New Single-Family Housing Construction (except For-Sale Builders)"
"3tx00015","1800-20 N Glenville Drive","TX","Texas                                                                           ","FUND 3 (FRG XI)                                                                 ","FIVF-III-TX2 LLC                                                                ","Acquired                                                                        ","Steve DeFoe                                                                     ","t0001209","CP Strategies, Inc.","Current","Original Lease","Activated",0,124     ,5455,0,24,"2024-04-04 00:00:00","2026-03-31 00:00:00","2023-06-26 00:00:00","First Amendment",0,51907,51907,6163,209,236115,"New Single-Family Housing Construction (except For-Sale Builders)"
"xnj6900r","6900 River Road","NJ","Northeast                                                                       ","FRG X                                                                           ","FRG-X-NJ2 LP                                                                    ","Acquired                                                                        ","Andrew Randolph                                                                 ","t0000877","JT Thorpe & Sons, Inc.","Past","Original Lease","Superseded",0,6900    ,22698,0,60,"2018-12-01 00:00:00","2023-11-30 00:00:00","2018-11-30 00:00:00","Original Lease",1,17596,17596,3667,244,238140,"Masonry Contractors"
"xnj6900r","6900 River Road","NJ","Northeast                                                                       ","FRG X                                                                           ","FRG-X-NJ2 LP                                                                    ","Acquired                                                                        ","Andrew Randolph                                                                 ","t0000877","JT Thorpe & Sons, Inc.","Past","Termination","Activated",1,6900    ,22698,0,0,"2023-11-30 00:00:00","2023-11-30 00:00:00",,"Lease End",1,17596,17596,3667,244,238140,"Masonry Contractors"
"tndan007","761 Danny Thomas","TN","Mid-South                                                                       ","FRG IX                                                                          ","FP-Gimel TN LP                                                                  ","Sold                                                                            ","Alex Hugo                                                                       ","t0000079","National Oak Distributors, Inc.","Current","Renewal","Activated",1,400     ,31250,0,18,"2021-05-01 00:00:00","2022-10-31 00:00:00",,"5th LA",0,483,483,926,266,238330,"Flooring Contractors"
"tndan007","761 Danny Thomas","TN","Mid-South                                                                       ","FRG IX                                                                          ","FP-Gimel TN LP                                                                  ","Sold                                                                            ","Alex Hugo                                                                       ","t0000079","National Oak Distributors, Inc.","Current","Original Lease","Superseded",0,400     ,31250,0,24,"2019-05-01 00:00:00","2021-04-30 00:00:00",,"",0,483,483,926,266,238330,"Flooring Contractors"
"xga3100j","3100 Jonquil Drive","GA","Southeast                                                                       ","FRG X                                                                           ","FRG-X-GA2 LP                                                                    ","Sold                                                                            ","Rebekah Snider                                                                  ","t0000867","Romanoff Floor Covering, Inc.","Past","Original Lease","Activated",0,3100    ,40500,0,4,"2022-07-19 00:00:00","2022-10-31 00:00:00",,"Original Lease",1,17480,17480,3729,266,238330,"Flooring Contractors"
"xpa3041m","3041 Marwin Road","PA","Northeast                                                                       ","FRG X                                                                           ","FRG-X-PA2 LP                                                                    ","Acquired                                                                        ","James Calamia                                                                   ","t0000883","All Pro Seamless, Inc.","Past","Original Lease","Superseded",0,"C1      ",9640,0,8,"2022-03-01 00:00:00","2022-10-31 00:00:00","2020-10-07 00:00:00","First Addendum",1,17611,17611,3641,271,23839,"Other Building Finishing Contractors"
"tx4se001","6810-6838 Bourgeois Rd.","TX","Texas                                                                           ","FRG IX                                                                          ","FPIP-TX1 LP                                                                     ","Sold                                                                            ","Steve DeFoe                                                                     ","t0000140","Commando Pressure Control, Inc.","Current","Renewal","Superseded",1,11614   ,14100,0,12,"2021-08-01 00:00:00","2022-07-31 00:00:00","2021-03-30 00:00:00","SECOND AMENDMENT",0,650,650,890,175,213111,"Drilling Oil and Gas Wells"
"tx4se001","6810-6838 Bourgeois Rd.","TX","Texas                                                                           ","FRG IX                                                                          ","FPIP-TX1 LP                                                                     ","Sold                                                                            ","Steve DeFoe                                                                     ","t0000140","Commando Pressure Control, Inc.","Current","Original Lease","Superseded",0,11614   ,14100,0,25,"2019-07-01 00:00:00","2021-07-31 00:00:00",,"First Amendment",0,650,650,890,175,213111,"Drilling Oil and Gas Wells"
"tx4se001","6810-6838 Bourgeois Rd.","TX","Texas                                                                           ","FRG IX                                                                          ","FPIP-TX1 LP                                                                     ","Sold                                                                            ","Steve DeFoe                                                                     ","t0000140","Commando Pressure Control, Inc.","Current","Renewal","Activated",2,11614   ,14100,0,9,"2022-08-01 00:00:00","2023-04-30 00:00:00",,"THIRD AMENDMENT",0,650,650,890,175,213111,"Drilling Oil and Gas Wells"
"xil1terr","1 Territorial Court","IL","Mid-West                                                                        ","FRG X                                                                           ","FRG-X-IL1 LP                                                                    ","Acquired                                                                        ","Madison Austin                                                                  ","t0000512","Sunrun Inc.","Current","Original Lease","Superseded",0,"C       ",22001,0,38,"2019-11-01 00:00:00","2022-12-31 00:00:00",,"Original Lease",0,4181,4181,1664,255,238210,"Electrical Contractors and Other Wiring Installation Contractors"
"xil1terr","1 Territorial Court","IL","Mid-West                                                                        ","FRG X                                                                           ","FRG-X-IL1 LP                                                                    ","Acquired                                                                        ","Madison Austin                                                                  ","t0000512","Sunrun Inc.","Current","Assignment","Activated",1,"C       ",0,0,0,"2022-06-03 00:00:00",,,"First Amd & Assignment",0,4181,4181,1664,255,238210,"Electrical Contractors and Other Wiring Installation Contractors"
"gasto009","7217 Daniel Dr","GA","Southeast                                                                       ","FRG IX                                                                          ","FPIP-ATLLP                                                                      ","Sold                                                                            ","Rebekah Snider                                                                  ","t0000461","Sunshine Solar","Current","Original Lease","Activated",0,"E       ",5025,0,36,"2021-06-01 00:00:00","2024-05-31 00:00:00",,"",0,1402,1402,904,255,238210,"Electrical Contractors and Other Wiring Installation Contractors"
"xil1terr","1 Territorial Court","IL","Mid-West                                                                        ","FRG X                                                                           ","FRG-X-IL1 LP                                                                    ","Acquired                                                                        ","Madison Austin                                                                  ","t0000512","Sunrun Inc.","Current","Renewal","Activated",2,"C       ",22001,0,24,"2023-01-01 00:00:00","2024-12-31 00:00:00","2022-06-03 00:00:00","First Amd & Assignment",0,4181,4181,1664,255,238210,"Electrical Contractors and Other Wiring Installation Contractors"
"ohkem002","1310-1330 Kemper Meadow Drive","OH","Mid-West                                                                        ","FRG IX                                                                          ","FP-Gimel OH LP                                                                  ","Sold                                                                            ","Bryan Lincoln                                                                   ","t0000393","Power Home Solar LLC","Current","Unknown","Activated",1,"3-600   ",13605,0,38,"2021-05-01 00:00:00","2024-06-30 00:00:00",,"SQFT Update",0,1187,1187,992,255,238210,"Electrical Contractors and Other Wiring Installation Contractors"
"ohkem002","1310-1330 Kemper Meadow Drive","OH","Mid-West                                                                        ","FRG IX                                                                          ","FP-Gimel OH LP                                                                  ","Sold                                                                            ","Bryan Lincoln                                                                   ","t0000015","The Creative Learning Workshop","Current","Renewal","Activated",1,"3-110   ",22930,0,36,"2022-04-01 00:00:00","2025-03-31 00:00:00",,"Fourth Ammendment",0,359,359,992,,,
"ohkem002","1310-1330 Kemper Meadow Drive","OH","Mid-West                                                                        ","FRG IX                                                                          ","FP-Gimel OH LP                                                                  ","Sold                                                                            ","Bryan Lincoln                                                                   ","t0000015","The Creative Learning Workshop","Current","Original Lease","Superseded",0,"3-110   ",22930,0,65,"2016-11-01 00:00:00","2022-03-31 00:00:00",,"THIRD AMENDMENT",0,359,359,992,,,
"ohwar005","422 Wards Corner","OH","Mid-West                                                                        ","FRG IX                                                                          ","FP-Gimel OH LP                                                                  ","Sold                                                                            ","Bryan Lincoln                                                                   ","t0000036","Axatronics LLC","Past","Original Lease","Activated",0,"E       ",4305,0,40,"2017-12-31 00:00:00","2021-03-31 00:00:00",,"Original",1,380,380,1237,,,
"ohwar005","422 Wards Corner","OH","Mid-West                                                                        ","FRG IX                                                                          ","FP-Gimel OH LP                                                                  ","Sold                                                                            ","Bryan Lincoln                                                                   ","t0000037","Bioformix Inc. (Sirrus)","Past","Original Lease","Activated",0,"B       ",24150,0,60,"2018-01-01 00:00:00","2022-12-31 00:00:00",,"Second Amendment",1,381,381,1237,,,
"tnb11012","2000 Latham Street","TN","Mid-South                                                                       ","FRG IX                                                                          ","FP-Gimel TN LP                                                                  ","Sold                                                                            ","Alex Hugo                                                                       ","t0000071","Fulmer Logistics, LLC","Past","Original Lease","Superseded",0,100     ,109955,0,39,"2017-11-01 00:00:00","2021-01-31 00:00:00",,"",1,474,474,931,,,
"tnb11012","2000 Latham Street","TN","Mid-South                                                                       ","FRG IX                                                                          ","FP-Gimel TN LP                                                                  ","Sold                                                                            ","Alex Hugo                                                                       ","t0000071","Fulmer Logistics, LLC","Past","Termination","Activated",2,100     ,109955,0,0,"2021-03-23 00:00:00","2021-03-23 00:00:00",,"",1,474,474,931,,,
"tnb11012","2000 Latham Street","TN","Mid-South                                                                       ","FRG IX                                                                          ","FP-Gimel TN LP                                                                  ","Sold                                                                            ","Alex Hugo                                                                       ","t0000071","Fulmer Logistics, LLC","Past","Renewal","Superseded",1,100     ,109955,0,0,"2021-02-01 00:00:00",,,"MTM Renewal",1,474,474,931,,,
"ohcom008","10052 Commerce Park Drive","OH","Mid-West                                                                        ","FRG IX                                                                          ","FP-Gimel OH LP                                                                  ","Sold                                                                            ","Bryan Lincoln                                                                   ","t0000005","Fluid System Components, Inc","Current","Original Lease","Activated",0,"10052-GL, 10052-MZ",56210,0,60,"2019-10-04 00:00:00","2024-10-03 00:00:00",,"FIRST AMENDMENT",0,342,342,1101,,,
"ohkem002","1310-1330 Kemper Meadow Drive","OH","Mid-West                                                                        ","FRG IX                                                                          ","FP-Gimel OH LP                                                                  ","Sold                                                                            ","Bryan Lincoln                                                                   ","t0000011","McKesson Medical-Surigcal INC","Current","Renewal","Activated",1,"2-510   ",10300,0,62,"2022-10-01 00:00:00","2027-11-30 00:00:00","2021-11-14 00:00:00","First Ammendment",0,355,355,992,,,
