Amendment hMy,Property hMy,Property Code,Tenant hMy,Tenant ID,Amendment Status code,Amendment Status,Amendment Type code,Amendment Type,Amendment Sequence,Unit/s under amendment,HMY Unit/s under amendment,Amendment SF,Amendment Term,Amendment Start Date,Amendment End Date,Amendment Sign Date,Amendment Description,Amendment Notes,Holdover %
15,993,"ohfai003",361,"t0000017",2,"Superseded",0,"Original Lease",0,7066    ,29,5069,63,"2019-10-01 00:00:00","2024-12-31 00:00:00",,"ORIGINAL","",200
17,994,"ohwar004",363,"t0000019",2,"Superseded",0,"Original Lease",0,"F       ",35,8075,60,"2016-07-01 00:00:00","2021-06-30 00:00:00",,"Sixth Amendment","",150
18,994,"ohwar004",364,"t0000020",2,"Superseded",0,"Original Lease",0,"J       ",37,5000,36,"2019-05-01 00:00:00","2022-04-30 00:00:00",,"Second Amendment","",150
19,994,"ohwar004",366,"t0000022",2,"Superseded",0,"Original Lease",0,"B       ",32,3560,64,"2018-12-31 00:00:00","2024-04-30 00:00:00",,"ORIGINAL","",200
20,993,"ohfai003",365,"t0000021",2,"Superseded",0,"Original Lease",0,7060    ,28,4811,37,"2020-07-01 00:00:00","2023-07-31 00:00:00",,"ORIGINAL","",150
21,994,"ohwar004",367,"t0000023",2,"Superseded",0,"Original Lease",0,"A       ",31,7268,74,"2017-11-01 00:00:00","2023-12-31 00:00:00",,"Third Amendment","",150
22,993,"ohfai003",368,"t0000024",2,"Superseded",0,"Original Lease",0,7068    ,30,4196,37,"2019-07-01 00:00:00","2022-07-31 00:00:00",,"FIRST AMENDMENT","",150
24,993,"ohfai003",370,"t0000026",2,"Superseded",0,"Original Lease",0,7042    ,21,5745,60,"2016-02-01 00:00:00","2021-01-31 00:00:00",,"FOURTH AMENDMENT","",200
25,993,"ohfai003",371,"t0000027",2,"Superseded",0,"Original Lease",0,7050    ,26,6695,36,"2018-10-01 00:00:00","2021-09-30 00:00:00",,"ORIGINAL","",200
26,993,"ohfai003",372,"t0000028",2,"Superseded",0,"Original Lease",0,7044    ,22,3000,36,"2018-10-01 00:00:00","2021-09-30 00:00:00",,"ORIGINAL","",200
27,993,"ohfai003",373,"t0000029",2,"Superseded",0,"Original Lease",0,7046    ,23,3008,60,"2018-09-01 00:00:00","2023-08-31 00:00:00",,"THIRD AMENDMENT","",150
28,993,"ohfai003",374,"t0000030",2,"Superseded",0,"Original Lease",0,7058    ,27,2352,60,"2017-04-01 00:00:00","2022-03-31 00:00:00",,"FIRST AMENDMENT","",150
29,1064,"ohclo007",375,"t0000031",2,"Superseded",0,"Original Lease",0,4064    ,8,29291,60,"2018-07-01 00:00:00","2023-06-30 00:00:00",,"ORIGINAL","",0
31,995,"ohles005",377,"t0000033",2,"Superseded",0,"Original Lease",0,"9290-GL //9290-MEZ","42//45",100300,60,"2018-01-01 00:00:00","2022-12-31 00:00:00",,"FIRST AMENDMETN","",125
32,994,"ohwar004",369,"t0000025",2,"Superseded",0,"Original Lease",0,"D       ",34,8000,89,"2017-09-30 00:00:00","2025-01-31 00:00:00",,"Original","",200
33,994,"ohwar004",378,"t0000034",2,"Superseded",0,"Original Lease",0,"C       ",33,12172,91,"2013-12-01 00:00:00","2021-06-30 00:00:00",,"Third Amendment","",200
34,994,"ohwar004",379,"t0000035",2,"Superseded",0,"Original Lease",0,"H       ",36,6000,63,"2018-02-01 00:00:00","2023-04-30 00:00:00",,"Original","Tenant is responsible for all costs associated with the HVAC contract plus up to $750/year for 2 inspections.",150
35,1237,"ohwar005",380,"t0000036",2,"Superseded",0,"Original Lease",0,"E       ",40,4305,40,"2017-12-31 00:00:00","2021-03-31 00:00:00",,"Original","",200
36,1237,"ohwar005",381,"t0000037",2,"Superseded",0,"Original Lease",0,"B       ",39,24150,60,"2018-01-01 00:00:00","2022-12-31 00:00:00",,"Second Amendment","",200
37,1237,"ohwar005",382,"t0000038",2,"Superseded",0,"Original Lease",0,"F       ",41,10895,125,"2014-12-31 00:00:00","2025-04-30 00:00:00",,"Original","",150
38,1237,"ohwar005",383,"t0000039",2,"Superseded",0,"Original Lease",0,"A       ",38,10650,0,"2020-08-01 00:00:00",,,"Original","",200
39,1242,"pabor001",384,"t0000040",2,"Superseded",0,"Original Lease",0,165     ,43,30000,183,"2019-04-01 00:00:00","2034-06-30 00:00:00",,"SECOND AMENDMENT","",125
40,919,"ohhon001",385,"t0000041",2,"Superseded",0,"Original Lease",0,,,0,11,"2019-07-24 00:00:00","2020-06-28 00:00:00",,"FORMER","",0
41,919,"ohhon001",385,"t0000041",1,"Activated",4,"Termination",1,,,0,0,"2020-06-28 00:00:00","2020-06-28 00:00:00",,"","",0
43,992,"ohkem002",399,"t0000043",2,"Superseded",0,"Original Lease",0,"2-500   ",15,19727,0,"2020-08-01 00:00:00",,,"ORIGINAL","",0
78,926,"tndan007",483,"t0000079",2,"Superseded",0,"Original Lease",0,400     ,72,31250,24,"2019-05-01 00:00:00","2021-04-30 00:00:00",,"","",0
79,926,"tndan007",484,"t0000080",2,"Superseded",0,"Original Lease",0,500     ,73,15000,11,"2020-06-22 00:00:00","2021-04-30 00:00:00",,"","",0
80,926,"tndan007",485,"t0000081",2,"Superseded",0,"Original Lease",0,600     ,74,45000,24,"2020-07-01 00:00:00","2022-06-30 00:00:00",,"Original Lease","",0
81,996,"tnmet016",486,"t0000082",2,"Superseded",0,"Original Lease",0,100     ,76,80000,60,"2017-08-01 00:00:00","2022-07-31 00:00:00",,"2nd Amendment","",0
82,1293,"tnnew18 ",487,"t0000083",2,"Superseded",0,"Original Lease",0,100     ,89,112318,108,"2014-01-01 00:00:00","2022-12-31 00:00:00",,"Original Lease","",0
83,1069,"tn10b017",488,"t0000084",2,"Superseded",0,"Original Lease",0,100     ,68,275000,90,"2020-05-08 00:00:00","2027-10-31 00:00:00",,"1st Amendment","",0
84,934,"tnamz015",489,"t0000085",2,"Superseded",0,"Original Lease",0,100     ,65,104329,85,"2019-07-01 00:00:00","2026-07-31 00:00:00",,"","",0
85,928,"tnwl3009",490,"t0000086",2,"Superseded",0,"Original Lease",0,100     ,82,65400,60,"2017-01-01 00:00:00","2021-12-31 00:00:00",,"4th Amendment","",0
86,921,"tnwl1002",491,"t0000087",2,"Superseded",0,"Original Lease",0,400     ,93,25200,4,"2020-08-01 00:00:00","2020-11-30 00:00:00",,"","",0
87,922,"tnwl4003",492,"t0000088",2,"Superseded",0,"Original Lease",0,"100     //200     //300     ","104//105//106",60214,60,"2018-12-01 00:00:00","2023-11-30 00:00:00",,"","",0
88,923,"tnwl5004",493,"t0000089",2,"Superseded",0,"Original Lease",0,200     ,108,35342,60,"2020-09-01 00:00:00","2025-08-31 00:00:00",,"2nd Amendment","",0
89,923,"tnwl5004",494,"t0000090",2,"Superseded",0,"Original Lease",0,300     ,109,44519,60,"2020-08-01 00:00:00","2025-07-31 00:00:00",,"","",0
90,924,"tnwl7005",495,"t0000091",2,"Superseded",0,"Original Lease",0,200     ,111,7270,73,"2017-08-11 00:00:00","2023-08-31 00:00:00",,"1st Amendment","",0
91,924,"tnwl7005",496,"t0000092",2,"Superseded",0,"Original Lease",0,300     ,112,17490,122,"2019-02-18 00:00:00","2029-04-18 00:00:00",,"Original Lease","",0
92,924,"tnwl7005",497,"t0000093",2,"Superseded",0,"Original Lease",0,600     ,115,21000,60,"2018-10-01 00:00:00","2023-09-30 00:00:00",,"Original Lease","",0
93,924,"tnwl7005",498,"t0000094",2,"Superseded",0,"Original Lease",0,700     ,116,7450,60,"2018-04-01 00:00:00","2023-03-31 00:00:00",,"3rd Amendment","",0
94,924,"tnwl7005",499,"t0000095",2,"Superseded",0,"Original Lease",0,800     ,117,7450,36,"2018-02-01 00:00:00","2021-01-31 00:00:00",,"2nd Amendment","",0
95,925,"tnw13006",500,"t0000096",2,"Superseded",0,"Original Lease",0,100     ,118,36000,120,"2014-12-01 00:00:00","2024-11-30 00:00:00",,"","",0
96,992,"ohkem002",356,"t0000012",1,"Activated",4,"Termination",1,,,6999,0,"2020-10-31 00:00:00","2020-10-31 00:00:00",,"TERMINATION","",0
97,1294,"njleo19 ",502,"t0000097",2,"Superseded",0,"Original Lease",0,"1B      ",122,13309,84,"2017-12-01 00:00:00","2024-11-30 00:00:00",,"First Amendment","",200
98,1294,"njleo19 ",503,"t0000098",1,"Activated",0,"Original Lease",0,"1A      ",121,20064,85,"2017-08-01 00:00:00","2024-09-01 00:00:00",,"Original","",0
99,939,"tncha104",504,"t0000099",2,"Superseded",0,"Original Lease",0,3200    ,125,2851,40,"2019-10-01 00:00:00","2023-01-31 00:00:00",,"","",0
100,1294,"njleo19 ",507,"t0000102",2,"Superseded",0,"Original Lease",0,"2B      ",124,2349,35,"2018-01-01 00:00:00","2020-12-28 00:00:00",,"First Amendment","",150
102,1294,"njleo19 ",510,"t0000104",2,"Superseded",0,"Original Lease",0,"2A      ",123,25572,23,"2020-04-01 00:00:00","2022-02-28 00:00:00",,"First Amendment","",0
103,939,"tncha104",515,"t0000106",2,"Superseded",0,"Original Lease",0,1300    ,131,3135,64,"2019-08-11 00:00:00","2024-11-30 00:00:00",,"","",0
104,927,"tnlak008",478,"t0000075",2,"Superseded",0,"Original Lease",0,100     ,64,154818,49,"2019-08-30 00:00:00","2023-08-31 00:00:00",,"","",0
106,939,"tncha104",523,"t0000114",2,"Superseded",0,"Original Lease",0,1800    ,135,2086,52,"2016-12-22 00:00:00","2021-03-31 00:00:00",,"","",0
107,939,"tncha104",524,"t0000115",2,"Superseded",0,"Original Lease",0,3000    ,136,10689,257,"2002-08-26 00:00:00","2023-12-31 00:00:00",,"","",0
108,936,"tnvan101",527,"t0000118",2,"Superseded",0,"Original Lease",0,"1160A   ",100,56447,241,"2005-07-25 00:00:00","2025-07-31 00:00:00",,"1st Amendment","",0
109,936,"tnvan101",528,"t0000119",2,"Superseded",0,"Original Lease",0,"1160BC  ",97,10800,120,"2015-01-01 00:00:00","2024-12-31 00:00:00",,"1st Amendment","",0
110,939,"tncha104",529,"t0000120",2,"Superseded",0,"Original Lease",0,3500    ,137,2694,52,"2018-03-01 00:00:00","2022-06-30 00:00:00",,"1st Amendment","",0
111,939,"tncha104",530,"t0000121",2,"Superseded",0,"Original Lease",0,1400    ,138,2604,226,"2002-06-28 00:00:00","2021-03-31 00:00:00",,"","",0
115,907,"gacn012 ",637,"t0000127",2,"Superseded",0,"Original Lease",0,100     ,150,5250,181,"2017-01-01 00:00:00","2032-01-31 00:00:00",,"","NAICS CODE: 423140",0
116,939,"tncha104",632,"t0000123",2,"Superseded",0,"Original Lease",0,3300    ,146,2973,61,"2018-01-15 00:00:00","2023-01-31 00:00:00",,"2nd Amendment","",0
148,906,"gacn011 ",673,"t0000162",2,"Superseded",0,"Original Lease",0,1417    ,157,18000,60,"2019-04-01 00:00:00","2024-03-31 00:00:00",,"","No CAM or PM Fees. T resp for all CAM.
Tax/Ins are only expense that is recoverable
NAICS CODE: 517312",0
149,1068,"gapar018",674,"t0000163",2,"Superseded",0,"Original Lease",0,1447    ,139,40000,63,"2020-01-22 00:00:00","2025-04-21 00:00:00",,"","NAICS CODE: 238160",150
150,890,"tx4se001",675,"t0000164",2,"Superseded",0,"Original Lease",0,6836    ,243,4536,42,"2020-07-01 00:00:00","2023-12-31 00:00:00",,"","APPLY HALF OF S.D. IN SEPT 2021 (SEE LEASE)

EIN 83-4704318

NOTICES SENT TO: 
2129 FM 2920
SPRING, TX 77388",0
151,988,"gable014",677,"t0000165",2,"Superseded",0,"Original Lease",0,105     ,149,3000,84,"2019-04-15 00:00:00","2026-04-14 00:00:00",,"","Per 1st Amend 4/15/22 LL is eliminating all past & future OPEX charges & converting the Lease into a fully Gross Lease in return for this Lease extension.
NAICS CODE: 423120",0
152,988,"gable014",678,"t0000166",2,"Superseded",0,"Original Lease",0,100     ,147,10200,60,"2019-12-27 00:00:00","2024-12-26 00:00:00",,"","Gross lease with Base Year of 2020 for Additional Rent
NAICS CODE: 611620",0
153,1241,"gamac024",679,"t0000167",2,"Superseded",0,"Original Lease",0,5010    ,183,51232,122,"2020-09-04 00:00:00","2030-10-31 00:00:00",,"","NAICS CODE: 331492",150
154,898,"gasc2003",682,"t0000170",2,"Superseded",0,"Original Lease",0,5079    ,185,32000,38,"2018-06-01 00:00:00","2021-07-31 00:00:00",,"","NAICS CODE: 238310",0
155,897,"gasc1002",683,"t0000171",2,"Superseded",0,"Original Lease",0,5101    ,186,24090,84,"2019-12-01 00:00:00","2026-11-30 00:00:00",,"","Guarantor - Brian P. Bossman
Guaranty dated 2019
NAICS CODE: 333112",0
156,988,"gable014",680,"t0000168",2,"Superseded",0,"Original Lease",0,103     ,148,9000,74,"2016-06-27 00:00:00","2022-08-01 00:00:00",,"","NAICS CODE: 323111
BASE YEAR 2017",150
157,901,"gasc5006",685,"t0000172",2,"Superseded",0,"Original Lease",0,5108    ,187,6250,109,"2014-01-27 00:00:00","2023-01-31 00:00:00",,"","NAICS CODE: 517312",150
158,989,"gagra015",686,"t0000173",2,"Superseded",0,"Original Lease",0,1845    ,172,21352,60,"2017-01-12 00:00:00","2022-01-11 00:00:00",,"","NAICS CODE: 444190",0
159,909,"gasc1014",688,"t0000175",2,"Superseded",0,"Original Lease",0,1       ,175,101595,48,"2017-07-01 00:00:00","2021-06-30 00:00:00",,"","NAICS CODE: 561910
Tax: T pays
Ins: Org Lease - LL Pays / New Lease eff 7/1/2021",0
160,902,"gasc6007",689,"t0000176",2,"Superseded",0,"Original Lease",0,5220    ,189,37600,101,"2013-07-01 00:00:00","2021-11-30 00:00:00",,"","NAICS CODE: 331210",150
161,1124,"gatid023",690,"t0000177",2,"Superseded",0,"Original Lease",0,"B       ",165,12650,72,"2018-10-01 00:00:00","2024-09-30 00:00:00",,"Orig Lease & 4th Amend","NAICS CODE: 441120",150
162,1094,"gahig021",692,"t0000179",2,"Superseded",0,"Original Lease",0,449     ,191,5000,98,"2019-08-01 00:00:00","2027-09-30 00:00:00",,"","NAICS CODE: 713940",0
163,1094,"gahig021",693,"t0000180",2,"Superseded",0,"Original Lease",0,459     ,193,25000,168,"2012-01-01 00:00:00","2025-12-31 00:00:00",,"","NAICS CODE: 453310
Only utilities are recovered",0
164,1094,"gahig021",694,"t0000181",2,"Superseded",0,"Original Lease",0,453     ,192,10000,97,"2015-09-01 00:00:00","2023-09-30 00:00:00",,"","NAICS CODE: 713940",0
165,910,"gasc2015",695,"t0000182",2,"Superseded",0,"Original Lease",0,754     ,194,50161,43,"2017-12-01 00:00:00","2021-06-30 00:00:00",,"","NAICS CODE: 561910
Tax: T pays
Ins: Org Lease - LL Pays / New Lease eff 7/1/2021",0
166,911,"gasc3016",696,"t0000183",2,"Superseded",0,"Original Lease",0,772     ,195,60408,54,"2017-12-01 00:00:00","2022-05-31 00:00:00",,"","NAICS CODE: 561910
Tax: T pays
Ins: Org Lease - LL Pays / New Lease eff 7/1/2021",0
167,1124,"gatid023",697,"t0000184",2,"Superseded",0,"Original Lease",0,"A       ",164,31571,125,"2012-08-15 00:00:00","2022-12-31 00:00:00",,"Orig Lease & 5th Amend","2013 Base Year
NAICS CODE: 561910",200
168,904,"gasto009",698,"t0000185",2,"Superseded",0,"Original Lease",0,"A       ",266,10500,60,"2017-05-01 00:00:00","2022-04-30 00:00:00",,"","NAICS CODE: 811121",150
169,904,"gasto009",699,"t0000186",2,"Superseded",0,"Original Lease",0,"B       ",268,5025,74,"2017-02-01 00:00:00","2023-03-31 00:00:00",,"","NAICS CODE: 237990",150
170,904,"gasto009",700,"t0000187",2,"Superseded",0,"Original Lease",0,"C       ",269,5025,51,"2016-10-01 00:00:00","2020-12-31 00:00:00",,"","NAICS Code: 336412",150
171,904,"gasto009",701,"t0000188",2,"Superseded",0,"Original Lease",0,"F       ",272,10050,60,"2017-11-01 00:00:00","2022-10-31 00:00:00",,"","NAICS CODE: 484210
CAM/Mgmt Fee; BY 2006
Tax/Ins: BY 2006",150
173,937,"tnorl102",703,"t0000190",2,"Superseded",0,"Original Lease",0,"1789-06 ",273,1580,117,"2013-01-21 00:00:00","2022-09-30 00:00:00",,"","",0
174,937,"tnorl102",704,"t0000191",2,"Superseded",0,"Original Lease",0,"1779-05 ",274,1400,111,"2013-08-01 00:00:00","2022-10-31 00:00:00",,"2nd Amendment","",0
210,917,"gaga1104",746,"t0000230",2,"Superseded",0,"Original Lease",0,"930A    ",216,10500,60,"2020-08-01 00:00:00","2025-07-31 00:00:00",,"original","NAICS CODE: 611620",0
211,1270,"gamon027",747,"t0000231",2,"Superseded",0,"Original Lease",0,"BLDG-B  ",299,8000,0,"2020-07-01 00:00:00","2021-06-30 00:00:00",,"Orig Lease","NAICS CODE: 331210",0
212,1270,"gamon027",749,"t0000233",2,"Superseded",0,"Original Lease",0,"C       ",296,23296,168,"2011-04-01 00:00:00","2025-03-31 00:00:00",,"Orig Lease","NAICS CODE: 562920
Water: Article 11: T pays $50/mo, unless it is separately metered.
Ins:Article 16: LL expense.
Tax: Lease is silent",0
213,890,"tx4se001",748,"t0000232",2,"Superseded",0,"Original Lease",0,6830    ,239,9336,63,"2020-09-01 00:00:00","2025-11-30 00:00:00",,"First Amendment","",150
214,908,"gahaz013",743,"t0000227",2,"Superseded",0,"Original Lease",0,"A       ",196,58500,72,"2017-12-04 00:00:00","2023-11-30 00:00:00",,"1st Amendment","NAICS CODE: 333112/453910",0
215,890,"tx4se001",750,"t0000234",2,"Superseded",0,"Original Lease",0,6834    ,241,20331,63,"2020-09-01 00:00:00","2025-11-30 00:00:00",,"First Amendment","",150
216,1270,"gamon027",751,"t0000235",2,"Superseded",0,"Original Lease",0,"B       //A-WH    ","295//2736",23640,60,"2017-07-01 00:00:00","2022-06-30 00:00:00",,"Orig Lease","NAICS CODE: 493190",125
217,908,"gahaz013",745,"t0000229",2,"Superseded",0,"Original Lease",0,"B       ",197,15000,24,"2019-09-01 00:00:00","2021-08-31 00:00:00",,"original","Tenant was previously MTM from 1/1/15 - 8/31/19
NAICS CODE: 425120",0
218,1240,"txflo007",752,"t0000236",2,"Superseded",0,"Original Lease",0,3700    ,300,80592,121,"2020-09-23 00:00:00","2030-09-30 00:00:00",,"","NSF - $100",200
219,1250,"gaboh026",753,"t0000237",2,"Superseded",0,"Original Lease",0,605     ,155,104700,121,"2019-09-06 00:00:00","2029-09-30 00:00:00",,"","NAICS CODE: 541614",150
220,1268,"txstr009",754,"t0000238",2,"Superseded",0,"Original Lease",0,626     ,301,58016,121,"2011-08-15 00:00:00","2021-08-31 00:00:00",,"","Read lease for late fee info",0
221,1271,"gamou028",755,"t0000239",2,"Superseded",0,"Original Lease",0,115     ,202,5999,120,"2015-02-01 00:00:00","2025-01-31 00:00:00",,"","NAICS code:  333415",125
222,1271,"gamou028",756,"t0000240",2,"Superseded",0,"Original Lease",0,100     ,198,28000,121,"2015-03-28 00:00:00","2025-03-31 00:00:00",,"","NAICS Code: 811111",125
223,1271,"gamou028",757,"t0000241",2,"Superseded",0,"Original Lease",0,"106-A   ",199,1450,61,"2017-12-15 00:00:00","2022-12-31 00:00:00",,"","GROSS LEASE - NO CAM
NAICS CODE: 541614",150
224,1271,"gamou028",758,"t0000242",1,"Activated",0,"Original Lease",0,,,0,0,"2015-02-01 00:00:00",,,"","RENTS PARKING SPACE
NAICS CODE: 561330",0
225,1271,"gamou028",759,"t0000243",2,"Superseded",0,"Original Lease",0,120     ,203,8391,120,"2015-02-01 00:00:00","2025-01-31 00:00:00",,"","NAICS CODE: 811111",125
226,1330,"gavet029",760,"t0000244",2,"Superseded",0,"Original Lease",0,"A       ",142,25000,120,"2017-05-01 00:00:00","2027-04-30 00:00:00",,"","NAICS Code: 423440",100
227,1330,"gavet029",761,"t0000245",2,"Superseded",0,"Original Lease",0,"C       ",144,26000,80,"2017-05-01 00:00:00","2023-12-31 00:00:00",,"","NAICS Code: 713940",150
228,1330,"gavet029",762,"t0000246",2,"Superseded",0,"Original Lease",0,150     ,141,93000,86,"2017-11-01 00:00:00","2024-12-31 00:00:00",,"","PRS 51.31%
NAICS CODE: 423210
No Mgmt Fee per lease",150
229,1330,"gavet029",763,"t0000247",2,"Superseded",0,"Original Lease",0,"D       ",145,21000,60,"2016-12-01 00:00:00","2021-11-30 00:00:00",,"","NAICS CODE: 493190",150
230,917,"gaga1104",765,"t0000248",2,"Superseded",0,"Original Lease",0,900     ,210,25000,40,"2017-06-01 00:00:00","2020-09-30 00:00:00",,"original","",0
231,917,"gaga1104",766,"t0000249",2,"Superseded",0,"Original Lease",0,"910     //908     ","212//218",8000,246,"2010-03-10 00:00:00","2030-09-09 00:00:00",,"1st Amendment","NAICS CODE: 812210
Tax/Ins ONLY. NO CAM or PM Fee",100
232,917,"gaga1104",767,"t0000250",2,"Superseded",0,"Original Lease",0,860     ,209,5000,60,"2018-08-01 00:00:00","2023-07-31 00:00:00",,"1st Amendment","NAICS Code: 713940",100
233,917,"gaga1104",768,"t0000251",2,"Superseded",0,"Original Lease",0,852     ,207,10000,96,"2015-07-01 00:00:00","2023-06-30 00:00:00",,"original","NAICS Code: 611620",100
234,917,"gaga1104",770,"t0000252",2,"Superseded",0,"Original Lease",0,912     ,213,12000,21,"2018-09-01 00:00:00","2020-05-31 00:00:00",,"renewal","TAX/INSURANCE 2019",0
235,917,"gaga1104",771,"t0000253",2,"Superseded",0,"Original Lease",0,856     ,208,10000,60,"2020-08-04 00:00:00","2025-07-31 00:00:00",,"original","NAICS CODE: 442299",0
236,917,"gaga1104",772,"t0000254",2,"Superseded",0,"Original Lease",0,922     ,214,62500,120,"2017-11-07 00:00:00","2027-11-06 00:00:00",,"original","NAICS Code: 541512
",0
237,917,"gaga1104",773,"t0000255",2,"Superseded",0,"Original Lease",0,"930B    ",217,12000,41,"2020-02-01 00:00:00","2023-06-30 00:00:00",,"original","NAICS CODE: 488410",0
238,917,"gaga1104",774,"t0000256",2,"Superseded",0,"Original Lease",0,906     ,211,4000,95,"2013-08-05 00:00:00","2021-06-30 00:00:00",,"original","NAICS CODE: 561730
Org lease: Tax/Ins only",0
240,941,"tnuni106",775,"t0000257",1,"Activated",0,"Original Lease",0,801     ,302,1581,36,"2018-10-01 00:00:00","2021-09-30 00:00:00",,"","",0
241,941,"tnuni106",776,"t0000258",2,"Superseded",0,"Original Lease",0,1123    ,303,1405,62,"2018-03-01 00:00:00","2023-04-30 00:00:00",,"","",0
242,941,"tnuni106",777,"t0000259",2,"Superseded",0,"Original Lease",0,1224    ,304,561,37,"2018-08-01 00:00:00","2021-08-31 00:00:00",,"","",0
243,941,"tnuni106",778,"t0000260",2,"Superseded",0,"Original Lease",0,820     ,305,1929,132,"2011-01-01 00:00:00","2021-12-31 00:00:00",,"","",0
175,903,"gaold008",705,"t0000192",2,"Superseded",0,"Original Lease",0,1721    ,206,33750,60,"2016-03-01 00:00:00","2021-02-28 00:00:00",,"","No deposit shown
Rental Increases: * According to Section 3.2 - The Base Rental for the purpose of determining the amount of increase for each year in accordance with this Section 3.2 shall be the annual rental charged on the anniversary of the Commencement Date of the previous year.
NAICS CODE: 333111",0
176,937,"tnorl102",706,"t0000193",2,"Superseded",0,"Original Lease",0,"1779-02 ",275,2650,258,"2005-01-01 00:00:00","2026-06-30 00:00:00",,"","",0
177,937,"tnorl102",707,"t0000194",2,"Superseded",0,"Original Lease",0,"1779-01 ",276,2200,240,"2005-06-01 00:00:00","2025-05-31 00:00:00",,"2nd Amendment","",0
179,941,"tnuni106",710,"t0000197",2,"Superseded",0,"Original Lease",0,822     ,281,961,61,"2019-06-01 00:00:00","2024-06-30 00:00:00",,"","",0
180,941,"tnuni106",711,"t0000198",2,"Superseded",0,"Original Lease",0,819     ,282,1115,145,"2009-12-01 00:00:00","2021-12-31 00:00:00",,"4th Amendment","",0
181,941,"tnuni106",712,"t0000199",2,"Superseded",0,"Original Lease",0,500     ,283,10656,48,"2016-03-01 00:00:00","2020-02-29 00:00:00",,"","",150
182,941,"tnuni106",713,"t0000200",2,"Superseded",0,"Original Lease",0,130     ,284,2210,306,"1997-02-01 00:00:00","2022-07-31 00:00:00",,"","",0
183,941,"tnuni106",714,"t0000201",2,"Superseded",0,"Original Lease",0,610     ,285,3293,372,"1992-07-01 00:00:00","2023-06-30 00:00:00",,"","",0
185,941,"tnuni106",716,"t0000203",2,"Superseded",0,"Original Lease",0,1220    ,286,1224,73,"2015-03-01 00:00:00","2021-03-31 00:00:00",,"","",0
186,941,"tnuni106",717,"t0000204",1,"Activated",0,"Original Lease",0,1121    ,287,460,421,"1986-07-01 00:00:00","2021-07-31 00:00:00",,"","",0
187,941,"tnuni106",719,"t0000206",2,"Superseded",0,"Original Lease",0,905     ,288,1048,146,"2012-07-01 00:00:00","2024-08-31 00:00:00",,"","",0
188,941,"tnuni106",720,"t0000207",2,"Superseded",0,"Original Lease",0,900     ,289,3021,132,"2011-10-01 00:00:00","2022-09-30 00:00:00",,"","",0
193,890,"tx4se001",728,"t0000212",2,"Superseded",0,"Original Lease",0,6832    ,240,18471,69,"2019-01-01 00:00:00","2024-09-30 00:00:00",,"First Amendment","",125
194,890,"tx4se001",729,"t0000213",2,"Superseded",0,"Original Lease",0,6812    ,231,10066,60,"2019-08-01 00:00:00","2024-07-31 00:00:00",,"","Rent payments are required to be wired or direct deposited, unless under $5,000

Does not owe CAMs until 6/2020",200
195,890,"tx4se001",730,"t0000214",2,"Superseded",0,"Original Lease",0,6814    ,232,15000,75,"2019-04-01 00:00:00","2025-06-30 00:00:00",,"First Amendment","Moved from 11614 Canyon Trail on 3/31/19
Rent Abatement Agreement - dated 05/01/21",150
