Lease Code,Customer Code,Customer Name,Tenant Name,Property Code,Property Address,State,SLB Flag,Lease Status
"t0000771","c0000014    ","American Builders & Contractor Supply Co. NJ","ABC Supply","xnjmway3","3 Mary Way","NJ",,"Current"
"t0000490","c0000014    ","American Builders & Contractor Supply Co. NJ","American Builders & Contractors Supply Co., Inc. ","xnjmway7","7 Mary Way","NJ",,"Past"
"t0000240","c0000016    ","Caliber Bodyworks of GA Inc","Caliber Bodyworks of GA Inc","gamou028","850 Mountain Industrial Drive","GA",,"Current"
"t0000040","c0000017    ","Caliber Bodyworks of Pennsylvania Inc ","Caliber Bodyworks of Pennsylvania","pabor001","165 Boro Line Road ","PA",,"Current"
"t0000914","c0000019    ","D.C Foam Recycle Center, Inc. IL","D.C Foam Recycle Center, Inc.","3il00002","150-152 Railroad Avenue","IL","Yes","Past"
"t0000428","c0000020    ","D.C Foam Recycle Center, Inc. GA","D.C. Foam Recycle Center Inc","gadel034"," 1935 Delk Industrial Boulevard ","GA",,"Current"
"t0000310","c0000022    ","Faropoint Ventures, LLC TN","Faropoint Ventures LLC","tnpop107","6263 Poplar","TN",,"Current"
"t0000959","c0000023    ","Faropoint Ventures, LLC NJ","Faropoint","xnj3001i","3001 Irwin Road","NJ",,"Current"
"t0000096","c0000025    ","Federal Express Corp TN","Federal Express Corp","tnw13006","5070 E Raines Rd","TN",,"Current"
"t0000753","c0000026    ","FedEx -Federal Express Corp.","Federal Express Corp","xga401wi","401 Windsor Street SW, Atlanta, GA 30312","GA",,"Current"
"t0000748","c0000026    ","FedEx -Federal Express Corp.","Federal Express Corporation","xpa500ma","500 Maryland Avenue","PA",,"Current"
"t0000577","c0000027    ","A&R Logistics, Inc","A&R Logistics, Inc","xga4601 ","4601 Welcome All Road","GA",,"Current"
"t0000645","c0000028    ","AWG Acquisition LLC","AWG Acquisition LLC","xtnawg1 "," 4641 Burbank Road ","TN","Yes","Current"
"t0000648","c0000028    ","AWG Acquisition LLC","AWG Acquisition LLC 2","xtnawg2 ","4690 Hungerford Road ","TN","Yes","Current"
"t0000531","c0000029    ","Bakkavor Foods USA Inc.","Bakkavor Foods USA Inc (MTM)","xtxritti","4728 Goldfield Drive","TX",,"Past"
"t0000539","c0000029    ","Bakkavor Foods USA Inc.","Bakkavor Foods USA Inc.","xtxritti","4728 Goldfield Drive","TX",,"Current"
"t0000436","c0000030    ","Construction Resources Company LLC","Construction Resources Company LLC","xgahire1","196 Rio Cir Decatur, GA","GA","Yes","Current"
"t0000437","c0000030    ","Construction Resources Company LLC","Construction Resources Company LLC","xgahire2","201 Laredo Dr Decatur, GA","GA","Yes","Current"
"t0000438","c0000030    ","Construction Resources Company LLC","Construction Resources Company LLC","xgahire3","210 Rio Circle","GA","Yes","Current"
"t0000439","c0000030    ","Construction Resources Company LLC","Construction Resources Company LLC","xgahire4","224 Rio Circle","GA","Yes","Current"
"t0000440","c0000030    ","Construction Resources Company LLC","Construction Resources Company LLC","xgahire5","246 Rio Circle","GA","Yes","Current"
"t0000441","c0000030    ","Construction Resources Company LLC","Construction Resources Company LLC","xgahire6","252 Rio Circle","GA","Yes","Current"
"t0000442","c0000030    ","Construction Resources Company LLC","Construction Resources Company LLC","xgahire7","2980 Pine St ","GA","Yes","Current"
"t0000443","c0000030    ","Construction Resources Company LLC","Construction Resources Company LLC","xgahire8","3000 Pine St","GA","Yes","Current"
"t0000268","c0000031    ","BBA Project, Inc","BBA Project, Inc","njrun155","155 E Ninth Avenue","NJ",,"Current"
"t0000267","c0000031    ","BBA Project, Inc","BBA Project, Inc","njrun175","175 E Ninth Avenue","NJ",,"Current"
"t0000445","c0000032    ","Bel-Shore Enterprises","Bel-Shore Enterprises","xtndelp1","4290 Delp Street","TN",,"Past"
"t0000691","c0000032    ","Bel-Shore Enterprises","Bel-Shore Enterprises","xtndelp2","4319 Delp Street","TN",,"Current"
"t0000083","c0000033    ","BPI Packaging, LLC","BPI Packaging, LLC","tnnew18 ","4050 New Getwell Road","TN",,"Current"
"t0000056","c0000033    ","BPI Packaging, LLC","BPI Packaging, LLC","tntri16 ","3976 New Getwell","TN",,"Current"
"t0000589","c0000034    ","Camp Jellystone LLC","Camp Jellystone LLC","ohwar005","422 Wards Corner","OH",,"Current"
"t0000588","c0000034    ","Camp Jellystone LLC","Camp Jellystone LLC","ohwar004","420 Wards Corner Rd","OH",,"Current"
"t0000457","c0000035    ","Del-Val Food Ingredients, Inc.","Del-Val Food Ingredients","xnj3001i","3001 Irwin Road","NJ",,"Current"
"t0000927","c0000035    ","Del-Val Food Ingredients, Inc.","Del Val Ingredients","xnj10tw ","10 Twosome Drive","NJ",,"Current"
"t0000238","c0000036    ","Displays, LLC","Displays, LLC","txstr009","626 106th Street","TX",,"Current"
"t0000500","c0000036    ","Displays, LLC","Displays, LLC.","txstr009","626 106th Street","TX",,"Current"
"t0000775","c0000037    ","Fasteners For Retail, Inc.","Fasteners For Retail, Inc.","xil1600b","1600 Birchwood Avenue","IL","Yes","Current"
"t0000774","c0000037    ","Fasteners For Retail, Inc.","Fasteners For Retail, Inc.","xil1630b","1630 Birchwood Avenue","IL","Yes","Current"
"t0001236","c0000037    ","Fasteners For Retail, Inc.","Siffron, Inc","xil1701b","1701 Birchwood Avenue","IL",,"Unknown"
"t0000869","c0000038    ","Ferguson Enterprises, LLC","Ferguson Enterprises, LLC","3tn00001","3338 Democrat Road","TN",,"Current"
"t0000744","c0000038    ","Ferguson Enterprises, LLC","Ferguson Enterprises, Inc. ","xfl420sw","420 S. Ware Boulevard ","FL",,"Current"
"t0000352","c0000039    ","Foundation Building Materials LLC","Foundation Building Materials LLC","gaga1104","852 Dailey Mill Rd.","GA",,"Current"
"t0000248","c0000039    ","Foundation Building Materials LLC","Foundation Building Material","gaga1104","852 Dailey Mill Rd.","GA",,"Past"
"t0000382","c0000040    ","Gainwell Technologies","Gainwell Technologies","gacre100","100 Crescent Center Pkwy","GA",,"Current"
"t0000383","c0000040    ","Gainwell Technologies","Gainwell Technologies","gacre100","100 Crescent Center Pkwy","GA",,"Current"
"t0000098","c0000041    ","General Chemical and Supply","General Chemical and Supply","njleo19 ","858 North Lenola Road","NJ",,"Current"
"t0000102","c0000041    ","General Chemical and Supply","General Chemical and Supply B2","njleo19 ","858 North Lenola Road","NJ",,"Past"
"t0000414","c0000042    ","Goggin Warehousing, LLC","Goggin Warehousing LLC","gacom33 ","1235 Commerce Rd","GA",,"Past"
"t0000075","c0000042    ","Goggin Warehousing, LLC","Goggin Warehousing, LLC","tnlak008","2900 Lakeview Dr","TN",,"Current"
"t0000175","c0000043    ","Granite Packaging, LLC","Granite Packaging LLC","gasc1014","1 Leggett Dr","GA",,"Current"
"t0000182","c0000043    ","Granite Packaging, LLC","Granite Packaging, LLC","gasc2015","754 East Hightower Trail","GA",,"Current"
"t0000183","c0000043    ","Granite Packaging, LLC","Granite Packaging, LLC","gasc3016","772 East Hightower Trail","GA",,"Current"
"t0000561","c0000044    ","Hit Promo, LLC","Hit Promo, LLC","xnj440be","440 Benigno Boulevard","NJ",,"Current"
"t0000560","c0000044    ","Hit Promo, LLC","Hit Promo, LLC","xnj420be","420 Benigno Boulevard","NJ",,"Current"
"t0000346","c0000045    ","New Cingular Wireless PCS, LLC","New Cingular Wireless PCS","njrun150","150 E Ninth Avenue","NJ",,"Current"
"t0000496","c0000045    ","New Cingular Wireless PCS, LLC","New Cingular Wireless PCS, LLC","xnjmway5","5 Mary Way","NJ",,"Current"
"t0000823","c0000046    ","Nidia Valadez and Alejandro Contreras","Nidia Valadez and Alejandro Contreras","xtx1050k","10501 King William Drive","TX",,"Past"
"t0000824","c0000046    ","Nidia Valadez and Alejandro Contreras","Nidia Valadez and Alejandro Contreras","xtx1050k","10501 King William Drive","TX",,"Current"
"t0000601","c0000047    ","Northeast Building Products Corp.","Northeast Building Products Corp.","xpa12111","1211 Ford Road ","PA","Yes","Current"
"t0000602","c0000047    ","Northeast Building Products Corp.","Northeast Building Products Corp.","xpa327c ","327 East Chew Avenue","PA","Yes","Current"
"t0000084","c0000048    ","Valley Distribution & Logistics, LLC","Valley Distribution & Logistics, LLC","tn10b017","10 East Belz Boulevard  ","TN",,"Past"
"t0000070","c0000048    ","Valley Distribution & Logistics, LLC","Valley Distributions & Logistics, LLC","tnb10010","1887 Latham (10)","TN",,"Past"
"t0000533","c0000048    ","Valley Distribution & Logistics, LLC","Valley Distribution and Logistics, LLC","tnb11012","2000 Latham Street","TN",,"Past"
"t0000073","c0000048    ","Valley Distribution & Logistics, LLC","Valley Distribution & Logistics, LLC","tnb12011","1950-1980 Latham (12)","TN",,"Past"
"t0000502","c0000049    ","Trussway LTD","Trussway LTD","xgamc220","4220 McEver Industrial Drive ","GA",,"Current"
"t0000503","c0000049    ","Trussway LTD","Trussway LTD","xgamc255","4255 McEver Industrial Drive NW","GA",,"Current"
"t0000504","c0000049    ","Trussway LTD","Trussway LTD","xgamc260","4260 McEver Industrial Drive ","GA",,"Current"
"t0000822","c0000050    ","Sky House Distribution, Inc.","Sky House Distribution, Inc.","xtx1050k","10501 King William Drive","TX",,"Current"
"t0000819","c0000050    ","Sky House Distribution, Inc.","Sky House Distribution, Inc.","xtx1050k","10501 King William Drive","TX",,"Current"
"t0000163","c0000051    ","SRS Distribution Inc.","SRS Distributions Inc.","gapar018"," 1447 Parker Road  ","GA",,"Current"
"t0000225","c0000051    ","SRS Distribution Inc.","SRS Distribution Inc.","gamoo022","3150 Moon Station Road NW","GA",,"Current"
"t0000458","c0000052    ","Stewart Business Systems","Stewart Business Systems","xnj3001i","3001 Irwin Road","NJ",,"Past"
"t0001069","c0000052    ","Stewart Business Systems","Stewart","xnj6000i","6000 Irwin Road","NJ",,"Unknown"
"t0000451","c0000052    ","Stewart Business Systems","Stewart Business Systems","xnj6000i","6000 Irwin Road","NJ",,"Past"
"t0000655","c0000053    ","Terrazzo & Marble Supply Company of IL","Terrazzo & Marble Supply Company of IL","xil464no","464 Northgate Parkway","IL",,"Current"
"t0000656","c0000053    ","Terrazzo & Marble Supply Company of IL","Terrazzo & Marble Supply Company of IL ","xil77whe","77 Wheeling Road","IL",,"Past"
"t0000665","c0000053    ","Terrazzo & Marble Supply Company of IL","Terrazzo & Marble Supply Company of IL ","xil77whe","77 Wheeling Road","IL",,"Current"
"t0000179","c0000054    ","The Rock Athletics, LLC","The Rock Athletics, LLC","gahig021","449 Highway 74 South GA ","GA",,"Current"
"t0000181","c0000054    ","The Rock Athletics, LLC","The Rock Athletics, LLC","gahig021","449 Highway 74 South GA ","GA",,"Current"
"t0000446","c0000055    ","Travel Plus International, LLC","Travel Plus International, LLC","xtndelp1","4290 Delp Street","TN",,"Past"
"t0000690","c0000055    ","Travel Plus International, LLC","Travel Plus International, LLC","xtndelp2","4319 Delp Street","TN",,"Past"
"t0000676","c0000056    ","True World Foods Columbus, LLC","True World Foods Columbus, LLC ","xohcolu3","3040 – 3050 E 14th Avenue","OH",,"Current"
"t0001073","c0000056    ","True World Foods Columbus, LLC","True World Foods Columbus, LLC","xohcolu3","3040 – 3050 E 14th Avenue","OH",,"Current"
"t0000675","c0000056    ","True World Foods Columbus, LLC","True World Foods Columbus, LLC","xohcolu1","3000 – 3004 E 14th Avenue","OH",,"Current"
"t0000270","c0000057    ","Nurotoco of NJ","Nurotoco of NJ","njrun155","155 E Ninth Avenue","NJ",,"Current"
"t0000286","c0000057    ","Nurotoco of NJ","Nurotoco of NJ","njrun175","175 E Ninth Avenue","NJ",,"Current"
"t0000029","c0000058    ","Orkin","Orkin Inc","ohfai003","7042-7068 Fairfield Business Center Dr","OH",,"Current"
"t0000159","c0000058    ","Orkin","Orkin LLC","gacn010 ","1479 Parker Rd SE","GA",,"Current"
"t0000567","c0000059    ","Quick & Box Group Inc.","Quick & Box Group Inc.","xga4225 ","4225 Phil Niekro Parkway","GA",,"Past"
"t0000568","c0000059    ","Quick & Box Group Inc.","Quick & Box Group Inc.","xga4225 ","4225 Phil Niekro Parkway","GA",,"Past"
"t0000586","c0000060    ","Randall Ventures LLC","Randall Ventures LLC","xgadors ","2009 Dorsey Road","GA",,"Current"
"t0000590","c0000060    ","Randall Ventures LLC","Randall Ventures LLC","xgadors ","2009 Dorsey Road","GA",,"Current"
"t0000598","c0000061    ","RPI Industries Inc.","RPI Industries Inc.","xnj220r ","220 Route 70","NJ",,"Current"
"t0000483","c0000061    ","RPI Industries Inc.","RPI Industries Inc. ","xnjmway9","9 Mary Way","NJ",,"Past"
"t0000760","c0000062    ","Savita Naturals, LTD","Savitas Naturals, LTD","xnj121hi","121 High Hill Road","NJ","Yes","Past"
"t0000751","c0000062    ","Savita Naturals, LTD","Savita Naturals, LTD","xnj121hi","121 High Hill Road","NJ","Yes","Past"
"t0000642","c0000063    ","A. Messe & Sons Corp.","A. MESSE ACQUISITION, LLC","xil2500w","2500 West Lake Street","IL","Yes","Current"
"t0000960","c0000064    ","A1 Nurse Care LLC","A1 Nurse Care LLC","gacre100","100 Crescent Center Pkwy","GA",,"Past"
"t0000482","c0000065    ","AA Store Fixtures","AA Store Fixtures","xnjmway3","3 Mary Way","NJ",,"Past"
"t0000505","c0000066    ","Aakash Chemicals","Aakash Chemicals ","xilmitch","561 Mitchell Avenue ","IL",,"Current"
"t0000300","c0000067    ","Accendi Group Holdings LLC","Accendi Group Holdings LLC","tnpop107","6263 Poplar","TN",,"Current"
"t0000519","c0000068    ","Acme Industries, Inc.","Acme Industries, Inc.","xil747  ","747-777 Chase Ave","IL",,"Current"
"t0000464","c0000069    ","Acousti Engineering Company of Florida","Acousti Engineering Company of Florida","xflstuar","6959 Stuart Avenue","FL",,"Current"
"t0000937","c0000070    ","Active Roofing LLC","Active Roofing LLC","3il00003","2100 West 32nd Street","IL",,"Current"
"t0000217","c0000071    ","Acuren Inspection, Inc","Acuren Inspection, Inc","tx4se001","6810-6838 Bourgeois Rd.","TX",,"Current"
"t0000831","c0000072    ","ADT Commercial LLC","ADT Commercial LLC","xnj59cha","59 Chambers Brook Road","NJ",,"Current"
"t0000236","c0000073    ","Advantage Steel Services, Inc.","Advantage Steel Services, Inc.","txflo007","3700 Flory Street","TX",,"Current"
"t0000187","c0000074    ","Aero Assets, LLC","Aero Assets, LLC","gasto009","7217 Daniel Dr","GA",,"Current"
"t0000882","c0000075    ","AFS World Truck Repair LP","AFS World Truck Repair LP","xpa3041m","3041 Marwin Road","PA",,"Current"
"t0000152","c0000076    ","Alan Katzen and Joel Banes","Alan Katzen and Joel Banes","tnorl102","1779-1789 Kirby","TN",,"Current"
"t0000019","c0000077    ","AlarMax Distributor, Inc.","AlarMax Distributor, Inc.","ohwar004","420 Wards Corner Rd","OH",,"Past"
"t0000202","c0000078    ","Alex's Implementation Company","Alex's Implementation Company","njleo19 ","858 North Lenola Road","NJ",,"Past"
"t0000758","c0000079    ","All About Furniture LLC","All About Furniture","gatuc017","1868 Tucker Industrial Rd","GA",,"Current"
"t0000883","c0000080    ","All Pro Seamless, Inc.","All Pro Seamless, Inc.","xpa3041m","3041 Marwin Road","PA",,"Past"
"t0000192","c0000081    ","All States AG Parts LLC","All States AG Parts LLC","gaold008","1721 Old Covington Rd NE","GA",,"Current"
"t0000239","c0000082    ","All Tech Heating & Cooling Co","All Tech Heating & Cooling Co","gamou028","850 Mountain Industrial Drive","GA",,"Current"
"t0000825","c0000083    ","All Texas Lighting, LLC","All Texas Lighting, LLC","xtx1050k","10501 King William Drive","TX",,"Past"
"t0000931","c0000084    ","ALL, LLC","TLC Rents","xga3651c","3651 Clearview Place","GA",,"Current"
"t0000851","c0000085    ","Almeco USA, Inc.","Almeco USA, Inc.","xga1610s","1610 Spectrum Drive","GA",,"Current"
"t0000792","c0000086    ","Aloha Builders, LLC","Aloha Builders, LLC","xil201ja","201 James Street","IL",,"Past"
"t0000795","c0000087    ","Alpha Trading LLC","Alpha Trading LLC","xil201ja","201 James Street","IL",,"Past"
"t0000085","c0000088    ","Amazon.com Services, Inc.","Amazon.com Services, Inc.","tnamz015","3347 Pearson Road","TN",,"Past"
"t0000906","c0000089    ","AMC Fire Protection, Inc","AMC Fire Protection, Inc","xnj1803u","1803 Underwood Boulevard","NJ","Yes","Past"
"t0000625","c0000090    ","Amerex Corporation","Amerex Corporation","xnj128ba","128 Bauer Drive","NJ",,"Past"
"t0000406","c0000091    ","American Center for Law & Justice","American Center for Law & Justice","gacre100","100 Crescent Center Pkwy","GA",,"Past"
"t0000008","c0000092    ","American Conference of Governmental Industrial Hygienists","American Conference of Governmental Industrial Hygienists","ohkem002","1310-1330 Kemper Meadow Drive","OH",,"Past"
"t0000798","c0000093    ","American Expediting Company","American Expediting Logistics LLC","xil231ja","231 James Street ","IL",,"Current"
"t0000329","c0000094    ","American Financial Network Inc.","American Financial Network Inc.","tnpop107","6263 Poplar","TN",,"Current"
"t0000681","c0000095    ","American HVAC Inc","American HVAC Inc","xga4600f","4600 & 4630 Frederick Drive ","GA",,"Current"
"t0000816","c0000096    ","American Technology Trading Co, LLC","American Technology Trading Co, LLC","gatuc017","1868 Tucker Industrial Rd","GA",,"Current"
"t0000068","c0000097    ","Americraft Carton, Inc.","Americraft Carton, Inc.","tnb03013","237-265 East Belz (3)","TN",,"Past"
"t0000301","c0000098    ","AMP Medical Management LLC","AMP Medical Management LLC","tnpop107","6263 Poplar","TN",,"Current"
"t0000017","c0000099    ","Amp Power Systems, LLC","Amp Power Systems, LLC","ohfai003","7042-7068 Fairfield Business Center Dr","OH",,"Past"
"t0000921","c0000100    ","Amphenol EEC, Inc.","Amphenol EEC, Inc.","xil1701b","1701 Birchwood Avenue","IL",,"Current"
"t0000757","c0000101    ","Amundsen Commercial Kitchens, Inc.","Amundsen Commercial Kitchens, Inc.","xtx1121 ","1121 108th Street","TX",,"Current"
"t0000644","c0000102    "," JDS Investments (Andre Thompson)","Andre Thompson","xga4507m","4507 Mills Place Southwest","GA",,"Past"
"t0000815","c0000103    ","Andrews Paperboard, Inc.","Andrews Paperboard, Inc.","xil1200p","1200 Pratt Boulevard","IL",,"Current"
"t0000411","c0000104    ","Angel's Linen & Dry Cleaning Service, Inc","Angel's Linen & Dry Cleaning Service, Inc","gacom33 ","1235 Commerce Rd","GA",,"Current"
"t0000890","c0000105    ","AOSOM LLC","AOSOM LLC","3tn00005","3262-3268 Democrat Road","TN",,"Current"
"t0000021","c0000106    ","Apex Circuits, inc.","Apex Circuits, inc.","ohfai003","7042-7068 Fairfield Business Center Dr","OH",,"Current"
"t0000396","c0000107    ","Apogee Interactive, Inc","Apogee Interactive, Inc","gacre100","100 Crescent Center Pkwy","GA",,"Current"
"t0000431","c0000108    ","Applied Paper Technology Inc","Applied Paper Technology Inc","gadel034"," 1935 Delk Industrial Boulevard ","GA",,"Current"
"t0000832","c0000109    ","Ark Systems, Inc.","Ark Systems, Inc.","3md00001","9176 Red Branch Road","MD","Yes","Current"
"t0000254","c0000110    ","Arkive Information Management, LLC","Arkive INformation Management, LLC","gaga1104","852 Dailey Mill Rd.","GA",,"Current"
"t0000784","c0000111    ","Aruvil International, Inc.","Aruvil International, Inc.","xnj6925s","6925 Sherman Ave","NJ","Yes","Current"
"t0000244","c0000112    ","Atlanta Hotel & Restaurant Supply LLC","Atlanta Hotel & Restaurant Supply LLC","gavet029","281 Veterans Memorial Hwy SE","GA",,"Current"
"t0000245","c0000113    ","Atlanta Roller Derby Inc","Atlanta Roller Derby Inc","gavet029","281 Veterans Memorial Hwy SE","GA",,"Current"
"t0000796","c0000114    ","Atlantic Chemical and Equipment Company","Atlantic Chemical and Equipment Company","xga3471a","3471 Atlanta Industrial Parkway ","GA",,"Current"
"t0000430","c0000115    ","Audio Electronic Distributors Inc","Audio Electronic Distributors Inc","gadel034"," 1935 Delk Industrial Boulevard ","GA",,"Current"
"t0000944","c0000116    ","Avan Material, Inc.","Avan Material, Inc.","3tx00002","1801 South Great Southwest Parkway","TX","Yes","Past"
"t0000639","c0000117    ","Averr Aglow, LLC","Averr Aglow, LLC","xga2100b","2100 Boggs Road Northwest","GA",,"Current"
"t0000130","c0000118    ","AWP Inc","AWP Inc","ohkem002","1310-1330 Kemper Meadow Drive","OH",,"Current"
"t0000036","c0000119    ","Axatronics LLC","Axatronics LLC","ohwar005","422 Wards Corner","OH",,"Past"
"t0000854","c0000120    ","Axess Barlas Investment, LLC","Axess Barlas Investment, LLC, Burak Ozbarlas, and Berk Ozbarlas","3ga00001","2160 Hills Avenue Northwest","GA","Yes","Past"
"t0000829","c0000121    ","AZELIS AMERICAS CASE, LLC","AZELIS AMERICAS CASE, LLC","xtx3857m","3857 Miller Park Drive","TX","Yes","Past"
"t0000223","c0000122    ","B&T Rentals, Inc","B&T Rentals, Inc","tx4se001","6810-6838 Bourgeois Rd.","TX",,"Current"
"t0000094","c0000123    ","B/E Aerospace, Inc","B/E Aerospace, Inc. - ACH","tnwl7005","5146 E Raines Rd","TN",,"Current"
"t0000790","c0000124    ","Baker Triangle Prefab, LTD","Baker Triangle Prefab, LTD","xtx1709s","1709 S interstate Hwy 45","TX",,"Current"
"t0000106","c0000125    ","Baldwin and Shell Construction Company","Baldwin and Shell Construction Company","tncha104","3725 Champion Hills","TN",,"Current"
"t0000153","c0000126    ","Ballet Memphis","Ballet Memphis","tnorl102","1779-1789 Kirby","TN",,"Current"
"t0000061","c0000127    ","Bapmic Auto Parts, Inc.","Bapmic Auto Parts, Inc.","tntri2  ","4148 Delp Street","TN",,"Current"
"t0000466","c0000128    ","Bargain Junction","Bargain Junction","gahaz013","8306 Hazelbrand Rd NE","GA",,"Current"
"t0000402","c0000129    ","Barrett Turner & Engel, LLP","Barrett Turner & Engel, LLP","gacre100","100 Crescent Center Pkwy","GA",,"Current"
"t0000088","c0000130    ","Batesville Logistics, Inc.","Batesville Logistics, Inc.","tnwl4003","4002 Willow Lake Blvd","TN",,"Current"
"t0000476","c0000131    ","BBF Global Logistics LLC","BBF Global Logistics LLC","tnwl5004","3960 Willow Lake Blvd","TN",,"Current"
"t0000635","c0000132    ","BBS Enterprises Inc","BBS Enterprises Inc","xga4680n","4680 North Royal Atlanta Drive","GA",,"Current"
"t0000842","c0000133    ","Beacon Sales Acquisition, Inc.","Beacon Sales Acquisition, Inc.","xfl3333c","3333 North Canal Street","FL",,"Current"
"t0000548","c0000134    ","Bear Staffing Services","Bear Staffing Services","xnj440be","440 Benigno Boulevard","NJ",,"Past"
"t0000161","c0000135    ","Belles Secrets","Belles Secrets","gacn010 ","1479 Parker Rd SE","GA",,"Current"
"t0000702","c0000136    ","Bengal Converting Services","Bengal Converting Services","xpa18rai","18 Railroad Street","PA","Yes","Current"
"t0000515","c0000137    ","Berry Global, Inc.","Berry Global, Inc.","xtn225bo","225 Bobrick Drive","TN",,"Past"
"t0000958","c0000138    ","Bestwork Industries for the Blind, Inc.","Bestwork Industries for the Blind, Inc.","xnjcentr","7055 Central highway","NJ","Yes","Past"
"t0000933","c0000140    ","Biochemical Diagnostics, Inc.","Biochemical Diagnostics, Inc., c/o Kova International, Inc.	","3ny00001","180 Heartland Boulevard","NY",,"Current"
"t0000037","c0000141    ","Sirrus Chemistry (Former: Bioformix Inc)","Bioformix Inc. (Sirrus)","ohwar005","422 Wards Corner","OH",,"Past"
"t0000629","c0000142    ","Biogen Laboratory Corporation","Biogen Laboratory Corporation","xnj17pol","17-01 Pollitt Drive","NJ",,"Current"
"t0000213","c0000143    ","BK Industrial Solutions, LLC","BK Industrial Solutions, LLC","tx4se001","6810-6838 Bourgeois Rd.","TX",,"Current"
"t0000097","c0000144    ","BKON LLC","BKON LLC","njleo19 ","858 North Lenola Road","NJ",,"Current"
"t0000158","c0000145    ","Black Ink, Inc.","Black Ink, Inc.","gacn010 ","1479 Parker Rd SE","GA",,"Current"
"t0000534","c0000147    ","Blendco Systems, LLC ","Blendco Systems, LLC (Dubois)","xpa1peae","1 Pearl Buck Court","PA",,"Current"
"t0000412","c0000148    ","Blue Global Trading GA Inc","Blue Global Trading GA Inc","gacom33 ","1235 Commerce Rd","GA",,"Current"
"t0000740","c0000149    ","BMH Supply, LLC","BMH Supply, LLC","gamoo022","3150 Moon Station Road NW","GA",,"Current"
"t0000020","c0000150    ","Board of County Commissioners of Clermont County, Ohio","Board of County Commissioners of Clermont County, Ohio","ohwar004","420 Wards Corner Rd","OH",,"Current"
"t0000695","c0000151    ","Boston Battery Wholesale LLC","Boston Battery Wholesale LLC","njrun155","155 E Ninth Avenue","NJ",,"Current"
"t0000429","c0000152    ","Brazil USA Imports Corp","Brazil USA Imports Corp","gadel034"," 1935 Delk Industrial Boulevard ","GA",,"Current"
"t0000266","c0000153    ","BRE Properties","BRE Properties","gacom016","4570 Commerce Circle SW","GA","","Past"
"t0000197","c0000154    ","Lynn & Associates, P.L.L.C (Brian Lynn)","Brian Lynn","tnuni106","2670 Union Ave. Extended","TN",,"Current"
