Property HMY,Property Code,Property Address,Property State,Market,Fund,Legal Entity,ACQ Status,Asset Manager,Lease Code,Tenant Name,Lease Status,Amendment Type,Amendment Status,Amendment Sequence,unit_scodes_concatenated,Contract Area,Term,Start Date,End Date,Sign Date,Description,Tenant Status,Tenant HMY
993,"ohfai003","7042-7068 Fairfield Business Center Dr","OH","Mid-West                                                                        ","FRG IX                                                                          ","FP-Gimel OH LP                                                                  ","Sold                                                                            ","Bryan Lincoln                                                                   ","t0000026","CFC Solar Inc","Past","Renewal","Superseded",1,7042    ,5745,12,"2021-02-01 00:00:00","2022-01-31 00:00:00",,"Fifth Amendment",1,370
993,"ohfai003","7042-7068 Fairfield Business Center Dr","OH","Mid-West                                                                        ","FRG IX                                                                          ","FP-Gimel OH LP                                                                  ","Sold                                                                            ","Bryan Lincoln                                                                   ","t0000026","CFC Solar Inc","Past","Termination","Activated",2,7042    ,6152,0,"2022-01-31 00:00:00","2022-01-31 00:00:00",,,1,370
919,"ohhon001","7100 Dixie Hwy","OH","Mid-West                                                                        ","FRG IX                                                                          ","FP-Gimel OH LP                                                                  ","Sold                                                                            ","Bryan Lincoln                                                                   ","t0000041","Honeymoon Paper Products, Inc","Past","Original Lease","Superseded",0,,0,11,"2019-07-24 00:00:00","2020-06-28 00:00:00",,"FORMER",1,385
919,"ohhon001","7100 Dixie Hwy","OH","Mid-West                                                                        ","FRG IX                                                                          ","FP-Gimel OH LP                                                                  ","Sold                                                                            ","Bryan Lincoln                                                                   ","t0000041","Honeymoon Paper Products, Inc","Past","Termination","Activated",1,,0,0,"2020-06-28 00:00:00","2020-06-28 00:00:00",,"",1,385
1224,"tntri16 ","3976 New Getwell","TN","Mid-South                                                                       ","FRG IX                                                                          ","FP-TRI L.P                                                                      ","Sold                                                                            ","Alex Hugo                                                                       ","t0000056","BPI Packaging, LLC","Past","Original Lease","Superseded",0,200     ,52065,108,"2015-01-01 00:00:00","2023-12-31 00:00:00",,"2nd Amendment",1,457
1224,"tntri16 ","3976 New Getwell","TN","Mid-South                                                                       ","FRG IX                                                                          ","FP-TRI L.P                                                                      ","Sold                                                                            ","Alex Hugo                                                                       ","t0000056","BPI Packaging, LLC","Past","Termination","Activated",1,200     ,52065,0,"2022-06-22 00:00:00","2022-06-22 00:00:00",,,1,457
1226,"tntri19 ","3977-4045 Raines Road","TN","Mid-South                                                                       ","FRG IX                                                                          ","FP-TRI L.P                                                                      ","Sold                                                                            ","Alex Hugo                                                                       ","t0000060","Vital Records Control, Inc.","Past","Termination","Activated",1,100     ,175275,0,"2022-06-22 00:00:00","2022-06-22 00:00:00",,,1,461
1226,"tntri19 ","3977-4045 Raines Road","TN","Mid-South                                                                       ","FRG IX                                                                          ","FP-TRI L.P                                                                      ","Sold                                                                            ","Alex Hugo                                                                       ","t0000060","Vital Records Control, Inc.","Past","Original Lease","Superseded",0,100     ,175275,308,"1999-09-01 00:00:00","2025-04-30 00:00:00",,"4th Amendment",1,461
1231,"tntri9  ","4056 Homewood Road","TN","Mid-South                                                                       ","FRG IX                                                                          ","FP-TRI L.P                                                                      ","Sold                                                                            ","Alex Hugo                                                                       ","t0000064","Southeastern Industrial Tire, LLC","Past","Original Lease","Superseded",0,300     ,23100,62,"2020-04-01 00:00:00","2025-05-31 00:00:00",,"",1,465
1063,"oh575006","575 Quality Blvd","OH","Mid-West                                                                        ","FRG IX                                                                          ","FP-Gimel OH LP                                                                  ","Sold                                                                            ","Bryan Lincoln                                                                   ","t0000004","Flint Group Packaging Inks North America Corp.","Past","Original Lease","Superseded",0,"575-OFF , 575-WH  ",69866,60,"2019-06-01 00:00:00","2024-05-31 00:00:00",,"FIRST AMENDMENT",1,341
1063,"oh575006","575 Quality Blvd","OH","Mid-West                                                                        ","FRG IX                                                                          ","FP-Gimel OH LP                                                                  ","Sold                                                                            ","Bryan Lincoln                                                                   ","t0000004","Flint Group Packaging Inks North America Corp.","Past","Termination","Activated",1,"575-OFF , 575-WH  ",69866,0,"2022-06-22 00:00:00","2022-06-22 00:00:00",,,1,341
993,"ohfai003","7042-7068 Fairfield Business Center Dr","OH","Mid-West                                                                        ","FRG IX                                                                          ","FP-Gimel OH LP                                                                  ","Sold                                                                            ","Bryan Lincoln                                                                   ","t0000017","Amp Power Systems, LLC","Past","Original Lease","Superseded",0,7066    ,5069,63,"2019-10-01 00:00:00","2024-12-31 00:00:00",,"ORIGINAL",1,361
993,"ohfai003","7042-7068 Fairfield Business Center Dr","OH","Mid-West                                                                        ","FRG IX                                                                          ","FP-Gimel OH LP                                                                  ","Sold                                                                            ","Bryan Lincoln                                                                   ","t0000017","Amp Power Systems, LLC","Past","Termination","Activated",1,7066    ,5069,0,"2021-02-24 00:00:00","2021-02-24 00:00:00",,"Termination",1,361
993,"ohfai003","7042-7068 Fairfield Business Center Dr","OH","Mid-West                                                                        ","FRG IX                                                                          ","FP-Gimel OH LP                                                                  ","Sold                                                                            ","Bryan Lincoln                                                                   ","t0000027","CNLK Enterprises LLC","Past","Renewal","Superseded",1,7050    ,6695,36,"2021-10-01 00:00:00","2024-09-30 00:00:00",,"Renewal",1,371
993,"ohfai003","7042-7068 Fairfield Business Center Dr","OH","Mid-West                                                                        ","FRG IX                                                                          ","FP-Gimel OH LP                                                                  ","Sold                                                                            ","Bryan Lincoln                                                                   ","t0000027","CNLK Enterprises LLC","Past","Original Lease","Superseded",0,7050    ,6695,36,"2018-10-01 00:00:00","2021-09-30 00:00:00",,"ORIGINAL",1,371
993,"ohfai003","7042-7068 Fairfield Business Center Dr","OH","Mid-West                                                                        ","FRG IX                                                                          ","FP-Gimel OH LP                                                                  ","Sold                                                                            ","Bryan Lincoln                                                                   ","t0000027","CNLK Enterprises LLC","Past","Termination","Activated",2,7050    ,6584,0,"2022-11-01 00:00:00","2022-11-01 00:00:00",,,1,371
992,"ohkem002","1310-1330 Kemper Meadow Drive","OH","Mid-West                                                                        ","FRG IX                                                                          ","FP-Gimel OH LP                                                                  ","Sold                                                                            ","Bryan Lincoln                                                                   ","t0000043","Sams Appliance Recycling, LLC","Past","Original Lease","Superseded",0,"2-500   ",19727,0,"2020-08-01 00:00:00",,,"ORIGINAL",1,399
992,"ohkem002","1310-1330 Kemper Meadow Drive","OH","Mid-West                                                                        ","FRG IX                                                                          ","FP-Gimel OH LP                                                                  ","Sold                                                                            ","Bryan Lincoln                                                                   ","t0000043","Sams Appliance Recycling, LLC","Past","Termination","Activated",1,"2-500   ",19727,0,"2020-09-30 00:00:00","2020-09-30 00:00:00",,"Termination",1,399
1233,"tntrid8 ","4486-4524 Delp Street","TN","Mid-South                                                                       ","FRG IX                                                                          ","FP-TRI L.P                                                                      ","Sold                                                                            ","Alex Hugo                                                                       ","t0000051","Crown Packaging Corporation","Past","Original Lease","Superseded",0,200     ,28350,126,"2013-06-01 00:00:00","2023-11-30 00:00:00",,"",1,451
1231,"tntri9  ","4056 Homewood Road","TN","Mid-South                                                                       ","FRG IX                                                                          ","FP-TRI L.P                                                                      ","Sold                                                                            ","Alex Hugo                                                                       ","t0000064","Southeastern Industrial Tire, LLC","Past","Termination","Activated",1,300     ,23100,0,"2022-06-22 00:00:00","2022-06-22 00:00:00",,,1,465
926,"tndan007","761 Danny Thomas","TN","Mid-South                                                                       ","FRG IX                                                                          ","FP-Gimel TN LP                                                                  ","Sold                                                                            ","Alex Hugo                                                                       ","t0000077","Comcast","Past","Termination","Activated",1,200     ,4500,0,"2022-06-22 00:00:00","2022-06-22 00:00:00",,,1,481
926,"tndan007","761 Danny Thomas","TN","Mid-South                                                                       ","FRG IX                                                                          ","FP-Gimel TN LP                                                                  ","Sold                                                                            ","Alex Hugo                                                                       ","t0000077","Comcast","Past","Original Lease","Superseded",0,200     ,4500,120,"2013-05-04 00:00:00","2023-05-03 00:00:00",,"",1,481
926,"tndan007","761 Danny Thomas","TN","Mid-South                                                                       ","FRG IX                                                                          ","FP-Gimel TN LP                                                                  ","Sold                                                                            ","Alex Hugo                                                                       ","t0000078","Memphis Area Project-South","Past","Original Lease","Superseded",0,300     ,8100,48,"2018-10-01 00:00:00","2022-09-30 00:00:00",,"",1,482
926,"tndan007","761 Danny Thomas","TN","Mid-South                                                                       ","FRG IX                                                                          ","FP-Gimel TN LP                                                                  ","Sold                                                                            ","Alex Hugo                                                                       ","t0000078","Memphis Area Project-South","Past","Termination","Activated",1,300     ,8100,0,"2022-06-22 00:00:00","2022-06-22 00:00:00",,,1,482
1293,"tnnew18 ","4050 New Getwell Road","TN","Mid-South                                                                       ","FRG IX                                                                          ","FP-Gimel TN LP                                                                  ","Sold                                                                            ","Alex Hugo                                                                       ","t0000083","BPI Packaging, LLC","Past","Termination","Activated",1,100     ,112318,0,"2022-06-22 00:00:00","2022-06-22 00:00:00",,,1,487
1293,"tnnew18 ","4050 New Getwell Road","TN","Mid-South                                                                       ","FRG IX                                                                          ","FP-Gimel TN LP                                                                  ","Sold                                                                            ","Alex Hugo                                                                       ","t0000083","BPI Packaging, LLC","Past","Original Lease","Superseded",0,100     ,112318,108,"2014-01-01 00:00:00","2022-12-31 00:00:00",,"Original Lease",1,487
923,"tnwl5004","3960 Willow Lake Blvd","TN","Mid-South                                                                       ","FRG IX                                                                          ","FPIP- Memphis LP                                                                ","Sold                                                                            ","Alex Hugo                                                                       ","t0000090","Hearn Industrial Services, inc.","Past","Original Lease","Superseded",0,300     ,44519,60,"2020-08-01 00:00:00","2025-07-31 00:00:00",,"",1,494
923,"tnwl5004","3960 Willow Lake Blvd","TN","Mid-South                                                                       ","FRG IX                                                                          ","FPIP- Memphis LP                                                                ","Sold                                                                            ","Alex Hugo                                                                       ","t0000090","Hearn Industrial Services, inc.","Past","Termination","Activated",1,300     ,44519,0,"2022-06-22 00:00:00","2022-06-22 00:00:00",,,1,494
1294,"njleo19 ","858 North Lenola Road","NJ","Northeast                                                                       ","FRG IX                                                                          ","FP Gimel NJ LP                                                                  ","Sold                                                                            ","Ian Murphy                                                                      ","t0000104","Pep Boys","Past","Termination","Activated",2,"2A      ",25572,0,"2022-06-22 00:00:00","2022-06-22 00:00:00",,,1,510
1233,"tntrid8 ","4486-4524 Delp Street","TN","Mid-South                                                                       ","FRG IX                                                                          ","FP-TRI L.P                                                                      ","Sold                                                                            ","Alex Hugo                                                                       ","t0000052","Kroger Limited Partnership I","Past","Termination","Activated",1,100     ,64570,0,"2022-06-22 00:00:00","2022-06-22 00:00:00",,,1,452
1233,"tntrid8 ","4486-4524 Delp Street","TN","Mid-South                                                                       ","FRG IX                                                                          ","FP-TRI L.P                                                                      ","Sold                                                                            ","Alex Hugo                                                                       ","t0000052","Kroger Limited Partnership I","Past","Original Lease","Superseded",0,100     ,64570,320,"1998-01-10 00:00:00","2024-08-31 00:00:00",,"5th Amendment",1,452
1223,"tntri11 ","3970-4000 Senator Street","TN","Mid-South                                                                       ","FRG IX                                                                          ","FP-TRI L.P                                                                      ","Sold                                                                            ","Alex Hugo                                                                       ","t0000054","Detail Distribution, Inc.","Past","Original Lease","Superseded",0,100     ,121345,247,"2002-04-15 00:00:00","2022-10-31 00:00:00",,"5th Amendment",1,455
1223,"tntri11 ","3970-4000 Senator Street","TN","Mid-South                                                                       ","FRG IX                                                                          ","FP-TRI L.P                                                                      ","Sold                                                                            ","Alex Hugo                                                                       ","t0000054","Detail Distribution, Inc.","Past","Termination","Activated",1,100     ,121345,0,"2022-06-22 00:00:00","2022-06-22 00:00:00",,,1,455
1231,"tntri9  ","4056 Homewood Road","TN","Mid-South                                                                       ","FRG IX                                                                          ","FP-TRI L.P                                                                      ","Sold                                                                            ","Alex Hugo                                                                       ","t0000062","Union City Forklift, Inc.","Past","Original Lease","Superseded",0,100     ,16328,73,"2015-05-15 00:00:00","2021-05-31 00:00:00",,"1st Amendment",1,463
1231,"tntri9  ","4056 Homewood Road","TN","Mid-South                                                                       ","FRG IX                                                                          ","FP-TRI L.P                                                                      ","Sold                                                                            ","Alex Hugo                                                                       ","t0000062","Union City Forklift, Inc.","Past","Termination","Activated",1,100     ,16328,0,"2021-05-31 00:00:00","2021-05-31 00:00:00",,"",1,463
929,"tnb10010","1887 Latham (10)","TN","Mid-South                                                                       ","FRG IX                                                                          ","FP-Gimel TN LP                                                                  ","Sold                                                                            ","Alex Hugo                                                                       ","t0000070","Valley Distributions & Logistics, LLC","Past","Original Lease","Superseded",0,100     ,75527,39,"2018-08-15 00:00:00","2021-10-31 00:00:00",,"",1,473
929,"tnb10010","1887 Latham (10)","TN","Mid-South                                                                       ","FRG IX                                                                          ","FP-Gimel TN LP                                                                  ","Sold                                                                            ","Alex Hugo                                                                       ","t0000070","Valley Distributions & Logistics, LLC","Past","Termination","Activated",1,100     ,75527,0,"2021-10-31 00:00:00","2021-10-31 00:00:00",,"Close out",1,473
1069,"tn10b017","10 East Belz Boulevard  ","TN","Mid-South                                                                       ","FRG IX                                                                          ","FP-Gimel TN LP                                                                  ","Sold                                                                            ","Alex Hugo                                                                       ","t0000084","Valley Distribution & Logistics, LLC","Past","Termination","Activated",1,100     ,275000,0,"2022-06-22 00:00:00","2022-06-22 00:00:00",,,1,488
1069,"tn10b017","10 East Belz Boulevard  ","TN","Mid-South                                                                       ","FRG IX                                                                          ","FP-Gimel TN LP                                                                  ","Sold                                                                            ","Alex Hugo                                                                       ","t0000084","Valley Distribution & Logistics, LLC","Past","Original Lease","Superseded",0,100     ,275000,90,"2020-05-08 00:00:00","2027-10-31 00:00:00",,"1st Amendment",1,488
992,"ohkem002","1310-1330 Kemper Meadow Drive","OH","Mid-West                                                                        ","FRG IX                                                                          ","FP-Gimel OH LP                                                                  ","Sold                                                                            ","Bryan Lincoln                                                                   ","t0000010","Examination Management Services ","Past","Original Lease","Superseded",0,"2-200   ",3060,36,"2019-02-01 00:00:00","2022-01-31 00:00:00",,"SECOND AMENDMENT",1,354
992,"ohkem002","1310-1330 Kemper Meadow Drive","OH","Mid-West                                                                        ","FRG IX                                                                          ","FP-Gimel OH LP                                                                  ","Sold                                                                            ","Bryan Lincoln                                                                   ","t0000010","Examination Management Services ","Past","Termination","Activated",1,"2-200   ",3060,0,"2020-11-30 00:00:00","2020-11-30 00:00:00",,"TERMINATION",1,354
994,"ohwar004","420 Wards Corner Rd","OH","Mid-West                                                                        ","FRG IX                                                                          ","FP-Gimel OH LP                                                                  ","Sold                                                                            ","Bryan Lincoln                                                                   ","t0000022","Cimquest, Inc.","Past","Original Lease","Superseded",0,"B       ",3560,64,"2018-12-31 00:00:00","2024-04-30 00:00:00",,"ORIGINAL",1,366
994,"ohwar004","420 Wards Corner Rd","OH","Mid-West                                                                        ","FRG IX                                                                          ","FP-Gimel OH LP                                                                  ","Sold                                                                            ","Bryan Lincoln                                                                   ","t0000022","Cimquest, Inc.","Past","Termination","Activated",1,"B       ",3560,0,"2022-06-22 00:00:00","2022-06-22 00:00:00",,,1,366
993,"ohfai003","7042-7068 Fairfield Business Center Dr","OH","Mid-West                                                                        ","FRG IX                                                                          ","FP-Gimel OH LP                                                                  ","Sold                                                                            ","Bryan Lincoln                                                                   ","t0000024","Genuen, LLC","Past","Termination","Activated",1,7068    ,4196,0,"2022-07-31 00:00:00","2022-07-31 00:00:00",,,1,368
993,"ohfai003","7042-7068 Fairfield Business Center Dr","OH","Mid-West                                                                        ","FRG IX                                                                          ","FP-Gimel OH LP                                                                  ","Sold                                                                            ","Bryan Lincoln                                                                   ","t0000024","Genuen, LLC","Past","Original Lease","Superseded",0,7068    ,4196,37,"2019-07-01 00:00:00","2022-07-31 00:00:00",,"FIRST AMENDMENT",1,368
993,"ohfai003","7042-7068 Fairfield Business Center Dr","OH","Mid-West                                                                        ","FRG IX                                                                          ","FP-Gimel OH LP                                                                  ","Sold                                                                            ","Bryan Lincoln                                                                   ","t0000028","MSI-Viking Gace LLC","Past","Original Lease","Superseded",0,7044    ,3000,36,"2018-10-01 00:00:00","2021-09-30 00:00:00",,"ORIGINAL",1,372
993,"ohfai003","7042-7068 Fairfield Business Center Dr","OH","Mid-West                                                                        ","FRG IX                                                                          ","FP-Gimel OH LP                                                                  ","Sold                                                                            ","Bryan Lincoln                                                                   ","t0000028","MSI-Viking Gace LLC","Past","Termination","Activated",2,7044    ,3117,0,"2022-09-30 00:00:00","2022-09-30 00:00:00",,,1,372
993,"ohfai003","7042-7068 Fairfield Business Center Dr","OH","Mid-West                                                                        ","FRG IX                                                                          ","FP-Gimel OH LP                                                                  ","Sold                                                                            ","Bryan Lincoln                                                                   ","t0000028","MSI-Viking Gace LLC","Past","Renewal","Superseded",1,7044    ,3000,12,"2021-10-01 00:00:00","2022-09-30 00:00:00",,"Renewal",1,372
1222,"tntri10 ","4400 Delp Street","TN","Mid-South                                                                       ","FRG IX                                                                          ","FP-TRI L.P                                                                      ","Sold                                                                            ","Alex Hugo                                                                       ","t0000053","Qwest Air Parts, Inc.","Past","Termination","Activated",1,"100     , 200     ",160000,0,"2022-06-22 00:00:00","2022-06-22 00:00:00",,,1,454
1233,"tntrid8 ","4486-4524 Delp Street","TN","Mid-South                                                                       ","FRG IX                                                                          ","FP-TRI L.P                                                                      ","Sold                                                                            ","Alex Hugo                                                                       ","t0000051","Crown Packaging Corporation","Past","Termination","Activated",1,200     ,28350,0,"2022-06-22 00:00:00","2022-06-22 00:00:00",,,1,451
1224,"tntri16 ","3976 New Getwell","TN","Mid-South                                                                       ","FRG IX                                                                          ","FP-TRI L.P                                                                      ","Sold                                                                            ","Alex Hugo                                                                       ","t0000055","Wells Lamont, LLC","Past","Termination","Activated",1,100     ,199685,0,"2022-06-22 00:00:00","2022-06-22 00:00:00",,,1,456
1224,"tntri16 ","3976 New Getwell","TN","Mid-South                                                                       ","FRG IX                                                                          ","FP-TRI L.P                                                                      ","Sold                                                                            ","Alex Hugo                                                                       ","t0000055","Wells Lamont, LLC","Past","Original Lease","Superseded",0,100     ,199685,124,"2013-06-01 00:00:00","2023-09-30 00:00:00",,"1st Amendment",1,456
932,"tnb03013","237-265 East Belz (3)","TN","Mid-South                                                                       ","FRG IX                                                                          ","FP-Gimel TN LP                                                                  ","Sold                                                                            ","Alex Hugo                                                                       ","t0000068","Americraft Carton, Inc.","Past","Original Lease","Superseded",0,200     ,132000,60,"2019-07-01 00:00:00","2024-06-30 00:00:00",,"Original Lease",1,470
932,"tnb03013","237-265 East Belz (3)","TN","Mid-South                                                                       ","FRG IX                                                                          ","FP-Gimel TN LP                                                                  ","Sold                                                                            ","Alex Hugo                                                                       ","t0000068","Americraft Carton, Inc.","Past","Termination","Activated",1,200     ,132000,0,"2022-06-22 00:00:00","2022-06-22 00:00:00",,,1,470
926,"tndan007","761 Danny Thomas","TN","Mid-South                                                                       ","FRG IX                                                                          ","FP-Gimel TN LP                                                                  ","Sold                                                                            ","Alex Hugo                                                                       ","t0000076","Northern Safety Co, Inc.","Past","Termination","Activated",2,100     ,11250,0,"2022-06-22 00:00:00","2022-06-22 00:00:00",,,1,480
926,"tndan007","761 Danny Thomas","TN","Mid-South                                                                       ","FRG IX                                                                          ","FP-Gimel TN LP                                                                  ","Sold                                                                            ","Alex Hugo                                                                       ","t0000076","Northern Safety Co, Inc.","Past","Original Lease","Superseded",0,100     ,11250,24,"2019-03-01 00:00:00","2021-02-28 00:00:00",,"",1,480
926,"tndan007","761 Danny Thomas","TN","Mid-South                                                                       ","FRG IX                                                                          ","FP-Gimel TN LP                                                                  ","Sold                                                                            ","Alex Hugo                                                                       ","t0000076","Northern Safety Co, Inc.","Past","Renewal","Superseded",1,100     ,11250,24,"2021-03-01 00:00:00","2023-02-28 00:00:00",,"Lease Extension",1,480
996,"tnmet016","8045 Metro Rd","TN","Mid-South                                                                       ","FRG IX                                                                          ","FPIP TN REALTY HOLDINGS LLC                                                     ","Sold                                                                            ","Alex Hugo                                                                       ","t0000082","Southern Wire, LLC","Past","Original Lease","Superseded",0,100     ,80000,60,"2017-08-01 00:00:00","2022-07-31 00:00:00",,"2nd Amendment",1,486
996,"tnmet016","8045 Metro Rd","TN","Mid-South                                                                       ","FRG IX                                                                          ","FPIP TN REALTY HOLDINGS LLC                                                     ","Sold                                                                            ","Alex Hugo                                                                       ","t0000082","Southern Wire, LLC","Past","Termination","Activated",1,100     ,80000,0,"2022-06-22 00:00:00","2022-06-22 00:00:00",,,1,486
994,"ohwar004","420 Wards Corner Rd","OH","Mid-West                                                                        ","FRG IX                                                                          ","FP-Gimel OH LP                                                                  ","Sold                                                                            ","Bryan Lincoln                                                                   ","t0000019","AlarMax Distributor, Inc.","Past","Original Lease","Superseded",0,"F       ",8075,60,"2016-07-01 00:00:00","2021-06-30 00:00:00",,"Sixth Amendment",1,363
994,"ohwar004","420 Wards Corner Rd","OH","Mid-West                                                                        ","FRG IX                                                                          ","FP-Gimel OH LP                                                                  ","Sold                                                                            ","Bryan Lincoln                                                                   ","t0000019","AlarMax Distributor, Inc.","Past","Remeasure","Superseded",1,"F       ",7560,60,"2016-07-01 00:00:00","2021-06-30 00:00:00",,"SIXTH AMENDMENT",1,363
994,"ohwar004","420 Wards Corner Rd","OH","Mid-West                                                                        ","FRG IX                                                                          ","FP-Gimel OH LP                                                                  ","Sold                                                                            ","Bryan Lincoln                                                                   ","t0000019","AlarMax Distributor, Inc.","Past","Termination","Activated",2,"F       ",7560,0,"2021-06-30 00:00:00","2021-06-30 00:00:00",,"Termination",1,363
