account tree detail id,account tree node description,total into,type,type description,account tree code,account tree description,account tree detail code,indent,skip,underline,bold,italic,hide,negate,reverse value,database id
31,Accounts Receivable - Miscellaneous - Tax Credit,33,R,Regular,phafds,PHA Financial Data Schedule,125-040,10,1,0,FALSE,FALSE,FALSE,FALSE,TRUE,1
32,Accounts Receivable - Miscellaneous - Other,33,R,Regular,phafds,PHA Financial Data Schedule,125-050,10,1,0,FALSE,FALSE,FALSE,FALSE,TRUE,1
33,Total Accounts Receivable - Miscellaneous,41,T,Total,phafds,PHA Financial Data Schedule,125,1,1,1,TRUE,FALSE,FALSE,FALSE,TRUE,1
34,Accounts Receivable - Tenants,41,R,Regular,phafds,PHA Financial Data Schedule,126,1,1,0,FALSE,FALSE,FALSE,FALSE,TRUE,1
35,Allowance For Doubtful Accounts - Dwelling Rents,41,R,Regular,phafds,PHA Financial Data Schedule,126.1,1,1,0,FALSE,FALSE,FALSE,FALSE,TRUE,1
36,Allowance For Doubtful Accounts - Other,41,R,Regular,phafds,PHA Financial Data Schedule,126.2,1,1,0,FALSE,FALSE,FALSE,FALSE,TRUE,1
37,Notes- Loans- & Mortgages Receivable - Current,41,R,Regular,phafds,PHA Financial Data Schedule,127,1,1,0,FALSE,FALSE,FALSE,FALSE,TRUE,1
38,Fraud Recovery,41,R,Regular,phafds,PHA Financial Data Schedule,128,1,1,0,FALSE,FALSE,FALSE,FALSE,TRUE,1
39,Allowance For Doubtful Accounts - Fraud,41,R,Regular,phafds,PHA Financial Data Schedule,128.1,1,1,0,FALSE,FALSE,FALSE,FALSE,TRUE,1
40,Accrued Interest Receivable,41,R,Regular,phafds,PHA Financial Data Schedule,129,1,1,0,FALSE,FALSE,FALSE,FALSE,TRUE,1
41,Total Receivables - Net Of Allowances For Doubtful Accounts,60,T,Total,phafds,PHA Financial Data Schedule,120,1,1,1,TRUE,FALSE,FALSE,FALSE,TRUE,1
42,Current Investments/Prepaids/Inventory/Other,59,H,Header,phafds,PHA Financial Data Schedule,,1,1,0,FALSE,FALSE,TRUE,FALSE,TRUE,1
43,Investments - Unrestricted,59,R,Regular,phafds,PHA Financial Data Schedule,131,1,1,0,FALSE,FALSE,FALSE,FALSE,TRUE,1
44,Investments - Restricted,48,H,Header,phafds,PHA Financial Data Schedule,,1,1,0,FALSE,FALSE,TRUE,FALSE,TRUE,1
45,HAP Funds,48,R,Regular,phafds,PHA Financial Data Schedule,132-010,10,1,0,FALSE,FALSE,FALSE,FALSE,TRUE,1
46,FSS Escrow Deposits,48,R,Regular,phafds,PHA Financial Data Schedule,132-020,10,1,0,FALSE,FALSE,FALSE,FALSE,TRUE,1
47,All Other Funds,48,R,Regular,phafds,PHA Financial Data Schedule,132-030,10,1,0,FALSE,FALSE,FALSE,FALSE,TRUE,1
48,Investments - Restricted,59,T,Total,phafds,PHA Financial Data Schedule,132,1,1,0,FALSE,FALSE,FALSE,FALSE,TRUE,1
49,Investments - Restricted For Payment Of Current Liabilities,53,H,Header,phafds,PHA Financial Data Schedule,,1,1,0,FALSE,FALSE,TRUE,FALSE,TRUE,1
50,HAP Funds,53,R,Regular,phafds,PHA Financial Data Schedule,135-010,10,1,0,FALSE,FALSE,FALSE,FALSE,TRUE,1
51,FSS Escrow Deposits,53,R,Regular,phafds,PHA Financial Data Schedule,135-020,10,1,0,FALSE,FALSE,FALSE,FALSE,TRUE,1
52,All Other Funds,53,R,Regular,phafds,PHA Financial Data Schedule,135-030,10,1,0,FALSE,FALSE,FALSE,FALSE,TRUE,1
53,Investments - Restricted For Payment Of Current Liabilities,59,T,Total,phafds,PHA Financial Data Schedule,135,1,1,0,FALSE,FALSE,FALSE,FALSE,TRUE,1
54,Prepaid Expenses And Other Assets,59,R,Regular,phafds,PHA Financial Data Schedule,142,1,1,0,FALSE,FALSE,FALSE,FALSE,TRUE,1
55,Inventories,59,R,Regular,phafds,PHA Financial Data Schedule,143,1,1,0,FALSE,FALSE,FALSE,FALSE,TRUE,1
56,Allowance For Obsolete Inventories,59,R,Regular,phafds,PHA Financial Data Schedule,143.1,1,1,0,FALSE,FALSE,FALSE,FALSE,TRUE,1
57,Interprogram - Due From,59,R,Regular,phafds,PHA Financial Data Schedule,144,1,1,0,FALSE,FALSE,FALSE,FALSE,TRUE,1
58,Assets Held For Sale,59,R,Regular,phafds,PHA Financial Data Schedule,145,1,1,0,FALSE,FALSE,FALSE,FALSE,TRUE,1
59,Total Current Investments/Prepaids/Inventory/Other,60,T,Total,phafds,PHA Financial Data Schedule,130,1,1,1,TRUE,FALSE,TRUE,FALSE,TRUE,1
60,Total Current Assets,104,T,Total,phafds,PHA Financial Data Schedule,150,1,1,1,TRUE,FALSE,FALSE,FALSE,TRUE,1
61,Noncurrent Assets,103,H,Header,phafds,PHA Financial Data Schedule,,1,1,0,FALSE,FALSE,TRUE,FALSE,TRUE,1
62,Fixed Assets,71,H,Header,phafds,PHA Financial Data Schedule,,1,1,0,FALSE,TRUE,TRUE,FALSE,TRUE,1
63,Land,71,R,Regular,phafds,PHA Financial Data Schedule,161,1,1,0,FALSE,FALSE,FALSE,FALSE,TRUE,1
64,Buildings,71,R,Regular,phafds,PHA Financial Data Schedule,162,1,1,0,FALSE,FALSE,FALSE,FALSE,TRUE,1
65,Furniture- Equipment And Machinery - Dwellings,71,R,Regular,phafds,PHA Financial Data Schedule,163,1,1,0,FALSE,FALSE,FALSE,FALSE,TRUE,1
66,Furniture- Equipment And Machinery - Administration,71,R,Regular,phafds,PHA Financial Data Schedule,164,1,1,0,FALSE,FALSE,FALSE,FALSE,TRUE,1
67,Leasehold Improvements,71,R,Regular,phafds,PHA Financial Data Schedule,165,1,1,0,FALSE,FALSE,FALSE,FALSE,TRUE,1
68,Accumulated Depreciation,71,R,Regular,phafds,PHA Financial Data Schedule,166,1,1,0,FALSE,FALSE,FALSE,FALSE,TRUE,1
69,Construction In Progress,71,R,Regular,phafds,PHA Financial Data Schedule,167,1,1,0,FALSE,FALSE,FALSE,FALSE,TRUE,1
70,Infrastructure,71,R,Regular,phafds,PHA Financial Data Schedule,168,1,1,0,FALSE,FALSE,FALSE,FALSE,TRUE,1
71,Total Fixed Assets- Net Of Accumulated Depreciation,103,T,Total,phafds,PHA Financial Data Schedule,160,1,1,1,TRUE,FALSE,FALSE,FALSE,TRUE,1
72,Other Noncurrent Assets,102,H,Header,phafds,PHA Financial Data Schedule,,1,1,0,FALSE,FALSE,TRUE,FALSE,TRUE,1
73,Notes- Loans- And Mortgages Receivable - Noncurrent,79,H,Header,phafds,PHA Financial Data Schedule,,1,1,0,FALSE,FALSE,TRUE,FALSE,TRUE,1
74,Notes- Loans- And Mortgages Receivable - Noncurrent - Not-for-profit,79,R,Regular,phafds,PHA Financial Data Schedule,171-010,10,1,0,FALSE,FALSE,FALSE,FALSE,TRUE,1
75,Notes- Loans- And Mortgages Receivable - Noncurrent - Partnership,79,R,Regular,phafds,PHA Financial Data Schedule,171-020,10,1,0,FALSE,FALSE,FALSE,FALSE,TRUE,1
76,Notes- Loans- And Mortgages Receivable - Noncurrent - Joint Venture,79,R,Regular,phafds,PHA Financial Data Schedule,171-030,10,1,0,FALSE,FALSE,FALSE,FALSE,TRUE,1
77,Notes- Loans- And Mortgages Receivable - Noncurrent - Tax Credit,79,R,Regular,phafds,PHA Financial Data Schedule,171-040,10,1,0,FALSE,FALSE,FALSE,FALSE,TRUE,1
78,Notes- Loans- And Mortgages Receivable - Noncurrent - Other,79,R,Regular,phafds,PHA Financial Data Schedule,171-050,10,1,0,FALSE,FALSE,FALSE,FALSE,TRUE,1
79,"Notes, loans, and mortgages receivable non-current",102,T,Total,phafds,PHA Financial Data Schedule,171,1,1,1,TRUE,FALSE,FALSE,FALSE,TRUE,1
80,Notes- Loans- & Mortgages Receivable - Noncurrent - Past Due,86,H,Header,phafds,PHA Financial Data Schedule,,1,1,0,FALSE,FALSE,TRUE,FALSE,TRUE,1
81,Notes- Loans- & Mortgages Receivable - Noncurrent - Past Due - Not-for-profit,86,R,Regular,phafds,PHA Financial Data Schedule,172-010,10,1,0,FALSE,FALSE,FALSE,FALSE,TRUE,1
82,Notes- Loans- & Mortgages Receivable - Noncurrent - Past Due - Partnership,86,R,Regular,phafds,PHA Financial Data Schedule,172-020,10,1,0,FALSE,FALSE,FALSE,FALSE,TRUE,1
83,Notes- Loans- & Mortgages Receivable - Noncurrent - Past Due - Joint Venture,86,R,Regular,phafds,PHA Financial Data Schedule,172-030,10,1,0,FALSE,FALSE,FALSE,FALSE,TRUE,1
84,Notes- Loans- & Mortgages Receivable - Noncurrent - Past Due - Tax Credit,86,R,Regular,phafds,PHA Financial Data Schedule,172-040,10,1,0,FALSE,FALSE,FALSE,FALSE,TRUE,1
85,Notes- Loans- & Mortgages Receivable - Noncurrent - Past Due - Other,86,R,Regular,phafds,PHA Financial Data Schedule,172-050,10,1,0,FALSE,FALSE,FALSE,FALSE,TRUE,1
86,"Notes, loans, and mortgages receiable non-current past due",102,T,Total,phafds,PHA Financial Data Schedule,172,1,1,1,TRUE,FALSE,FALSE,FALSE,TRUE,1
87,Grants Receivable - Noncurrent,102,R,Regular,phafds,PHA Financial Data Schedule,173,1,1,0,FALSE,FALSE,FALSE,FALSE,TRUE,1
88,Other Assets,94,H,Header,phafds,PHA Financial Data Schedule,,1,1,0,FALSE,FALSE,TRUE,FALSE,TRUE,1
89,Other Assets - Not-For-Profit,94,R,Regular,phafds,PHA Financial Data Schedule,174-010,10,1,0,FALSE,FALSE,FALSE,FALSE,TRUE,1
90,Other Assets - Partnership,94,R,Regular,phafds,PHA Financial Data Schedule,174-020,10,1,0,FALSE,FALSE,FALSE,FALSE,TRUE,1
91,Other Assets - Joint Venture,94,R,Regular,phafds,PHA Financial Data Schedule,174-030,10,1,0,FALSE,FALSE,FALSE,FALSE,TRUE,1
92,Other Assets - Tax Credit,94,R,Regular,phafds,PHA Financial Data Schedule,174-040,10,1,0,FALSE,FALSE,FALSE,FALSE,TRUE,1
93,Other Assets - Other,94,R,Regular,phafds,PHA Financial Data Schedule,174-050,10,1,0,FALSE,FALSE,FALSE,FALSE,TRUE,1
94,Other Assets,102,T,Total,phafds,PHA Financial Data Schedule,174,1,1,1,TRUE,FALSE,FALSE,FALSE,TRUE,1
95,Investment In Joint Ventures,101,H,Header,phafds,PHA Financial Data Schedule,,1,1,0,FALSE,FALSE,TRUE,FALSE,TRUE,1
96,Investment In Joint Ventures - Not-For-Profit,101,R,Regular,phafds,PHA Financial Data Schedule,176-010,10,1,0,FALSE,FALSE,FALSE,FALSE,TRUE,1
97,Investment In Joint Ventures - Partnership,101,R,Regular,phafds,PHA Financial Data Schedule,176-020,10,1,0,FALSE,FALSE,FALSE,FALSE,TRUE,1
98,Investment In Joint Ventures - Joint Venture,101,R,Regular,phafds,PHA Financial Data Schedule,176-030,10,1,0,FALSE,FALSE,FALSE,FALSE,TRUE,1
99,Investment In Joint Ventures - Tax Credit,101,R,Regular,phafds,PHA Financial Data Schedule,176-040,10,1,0,FALSE,FALSE,FALSE,FALSE,TRUE,1
100,Investment In Joint Ventures - Other,101,R,Regular,phafds,PHA Financial Data Schedule,176-050,10,1,0,FALSE,FALSE,FALSE,FALSE,TRUE,1
101,Total Investment In Joint Ventures,102,T,Total,phafds,PHA Financial Data Schedule,176,1,1,1,TRUE,FALSE,FALSE,FALSE,TRUE,1
102,Total Other Noncurrent Assets,103,T,Total,phafds,PHA Financial Data Schedule,17999,1,1,1,TRUE,FALSE,TRUE,FALSE,TRUE,1
103,Total Noncurrent Assets,104,T,Total,phafds,PHA Financial Data Schedule,180,1,1,1,TRUE,FALSE,FALSE,FALSE,TRUE,1
104,Total Assets,106,T,Total,phafds,PHA Financial Data Schedule,190,1,1,1,TRUE,FALSE,FALSE,FALSE,TRUE,1
105,Deferred Outflow of Resources,106,R,Regular,phafds,PHA Financial Data Schedule,200,1,1,0,FALSE,FALSE,FALSE,FALSE,TRUE,1
106,Total Assets and Deferred Outflow of Resources,422,T,Total,phafds,PHA Financial Data Schedule,290,1,1,1,TRUE,FALSE,FALSE,FALSE,TRUE,1
107,Liabilities And Equity,180,H,Header,phafds,PHA Financial Data Schedule,,1,1,0,FALSE,FALSE,TRUE,FALSE,TRUE,1
108,Liabilities,168,H,Header,phafds,PHA Financial Data Schedule,,1,1,0,TRUE,FALSE,FALSE,FALSE,TRUE,1
109,Current Liabilities,146,H,Header,phafds,PHA Financial Data Schedule,,1,1,0,FALSE,FALSE,TRUE,FALSE,TRUE,1
110,Bank Overdraft,146,R,Regular,phafds,PHA Financial Data Schedule,311,1,1,0,FALSE,FALSE,FALSE,TRUE,TRUE,1
111,Accounts Payable <= 90 Days,146,R,Regular,phafds,PHA Financial Data Schedule,312,1,1,0,FALSE,FALSE,FALSE,TRUE,TRUE,1
112,Accounts Payable > 90 Days Past Due,146,R,Regular,phafds,PHA Financial Data Schedule,313,1,1,0,FALSE,FALSE,FALSE,TRUE,TRUE,1
113,Accrued Wage/payroll Taxes Payable,146,R,Regular,phafds,PHA Financial Data Schedule,321,1,1,0,FALSE,FALSE,FALSE,TRUE,TRUE,1
114,Accrued Compensated Absences - Current Portion,146,R,Regular,phafds,PHA Financial Data Schedule,322,1,1,0,FALSE,FALSE,FALSE,TRUE,TRUE,1
115,Accrued Contingency Liability,146,R,Regular,phafds,PHA Financial Data Schedule,324,1,1,0,FALSE,FALSE,FALSE,TRUE,TRUE,1
116,Accrued Interest Payable,146,R,Regular,phafds,PHA Financial Data Schedule,325,1,1,0,FALSE,FALSE,FALSE,TRUE,TRUE,1
117,Accounts Payable-HUD PHA Programs,121,H,Header,phafds,PHA Financial Data Schedule,,1,1,0,FALSE,FALSE,TRUE,TRUE,TRUE,1
118,A/P HUD-operating Subsidy,121,R,Regular,phafds,PHA Financial Data Schedule,331-010,10,1,0,FALSE,FALSE,FALSE,TRUE,TRUE,1
119,A/P HUD-capital Fund,121,R,Regular,phafds,PHA Financial Data Schedule,331-020,10,1,0,FALSE,FALSE,FALSE,TRUE,TRUE,1
120,A/P HUD-Other,121,R,Regular,phafds,PHA Financial Data Schedule,331-030,10,1,0,FALSE,FALSE,FALSE,TRUE,TRUE,1
121,Total A/P - HUD PHA Programs,146,T,Total,phafds,PHA Financial Data Schedule,331,1,1,1,TRUE,FALSE,FALSE,TRUE,TRUE,1
122,Accounts Payable - PHA Projects,146,R,Regular,phafds,PHA Financial Data Schedule,332,1,1,0,FALSE,FALSE,FALSE,TRUE,TRUE,1
123,Accounts Payable - Other Government,146,R,Regular,phafds,PHA Financial Data Schedule,333,1,1,0,FALSE,FALSE,FALSE,TRUE,TRUE,1
124,Tenant Security Deposits,146,R,Regular,phafds,PHA Financial Data Schedule,341,1,1,0,FALSE,FALSE,FALSE,TRUE,TRUE,1
125,Deferred Revenue,129,H,Header,phafds,PHA Financial Data Schedule,,1,1,0,FALSE,FALSE,TRUE,TRUE,TRUE,1
126,Deferred Revenue-Operating Subsidy,129,R,Regular,phafds,PHA Financial Data Schedule,342-010,10,1,0,FALSE,FALSE,FALSE,TRUE,TRUE,1
127,Deferred Revenue-Operating Capital Fund,129,R,Regular,phafds,PHA Financial Data Schedule,342-020,10,1,0,FALSE,FALSE,FALSE,TRUE,TRUE,1
128,Deferred Revenue-Operating Other,129,R,Regular,phafds,PHA Financial Data Schedule,342-030,10,1,0,FALSE,FALSE,FALSE,TRUE,TRUE,1
129,Unearned Revenue,146,T,Total,phafds,PHA Financial Data Schedule,342,1,1,1,TRUE,FALSE,FALSE,TRUE,TRUE,1
130,Current Portion Of Long-term Debt - Capital Projects/Mortgage Revenue Bonds,134,H,Header,phafds,PHA Financial Data Schedule,,1,1,0,FALSE,FALSE,TRUE,TRUE,TRUE,1
131,Current Portion LTD-CFFP,134,R,Regular,phafds,PHA Financial Data Schedule,343-010,10,1,0,FALSE,FALSE,FALSE,TRUE,TRUE,1
132,Current Portion LTD-Capital Projects/Mortgage Revenue,134,R,Regular,phafds,PHA Financial Data Schedule,343-020,10,1,0,FALSE,FALSE,FALSE,TRUE,TRUE,1
133,EPC Related Debt,134,R,Regular,phafds,PHA Financial Data Schedule,343-030,10,1,0,FALSE,FALSE,FALSE,TRUE,TRUE,1
134,Current portion of long term deb - capital projects/mortgage revenue bonds,146,T,Total,phafds,PHA Financial Data Schedule,343,1,1,1,TRUE,FALSE,FALSE,TRUE,TRUE,1
135,Current Portion Of LTD-Operating Borrowings,146,R,Regular,phafds,PHA Financial Data Schedule,344,1,1,0,FALSE,FALSE,FALSE,TRUE,TRUE,1
136,Other Current Liabilities,146,R,Regular,phafds,PHA Financial Data Schedule,345,1,1,0,FALSE,FALSE,FALSE,TRUE,TRUE,1
137,Accrued Liabilities - Other,146,R,Regular,phafds,PHA Financial Data Schedule,346,1,1,0,FALSE,FALSE,FALSE,TRUE,TRUE,1
138,Interprogram - Due To,146,R,Regular,phafds,PHA Financial Data Schedule,347,1,1,0,FALSE,FALSE,FALSE,TRUE,TRUE,1
139,Loan Liability - Current,145,H,Header,phafds,PHA Financial Data Schedule,,1,1,0,FALSE,FALSE,TRUE,TRUE,TRUE,1
140,Loan Liability - Current - Not-for-profit,145,R,Regular,phafds,PHA Financial Data Schedule,348-010,10,1,0,FALSE,FALSE,FALSE,TRUE,TRUE,1
141,Loan Liability - Current - Partnership,145,R,Regular,phafds,PHA Financial Data Schedule,348-020,10,1,0,FALSE,FALSE,FALSE,TRUE,TRUE,1
142,Loan Liability - Current - Joint Venture,145,R,Regular,phafds,PHA Financial Data Schedule,348-030,10,1,0,FALSE,FALSE,FALSE,TRUE,TRUE,1
143,Loan Liability - Current - Tax Credit,145,R,Regular,phafds,PHA Financial Data Schedule,348-040,10,1,0,FALSE,FALSE,FALSE,TRUE,TRUE,1
144,Loan Liability - Current - Other,145,R,Regular,phafds,PHA Financial Data Schedule,348-050,10,1,0,FALSE,FALSE,FALSE,TRUE,TRUE,1
145,Total Loan Liability - Current,146,T,Total,phafds,PHA Financial Data Schedule,348,1,1,1,TRUE,FALSE,FALSE,TRUE,TRUE,1
146,Total Current Liabilities,168,T,Total,phafds,PHA Financial Data Schedule,310,1,1,1,TRUE,FALSE,FALSE,TRUE,TRUE,1
147,Noncurrent Liabilities,167,H,Header,phafds,PHA Financial Data Schedule,,1,1,0,FALSE,FALSE,TRUE,TRUE,TRUE,1
148,LTD- Net Of Current - Capital Projects/Mortgage Revenue Bonds,151,H,Header,phafds,PHA Financial Data Schedule,,1,1,0,FALSE,FALSE,TRUE,TRUE,TRUE,1
149,LTD Net Of Current-CFFP,151,R,Regular,phafds,PHA Financial Data Schedule,351-010,10,1,0,FALSE,FALSE,FALSE,TRUE,TRUE,1
150,LTD Net Of Current-capital Projects/Mortgage Revenue,151,R,Regular,phafds,PHA Financial Data Schedule,351-020,10,1,0,FALSE,FALSE,FALSE,TRUE,TRUE,1
151,"long term debt, net of current capital projects/mortgage revenue bonds",167,T,Total,phafds,PHA Financial Data Schedule,351,1,1,1,TRUE,FALSE,FALSE,TRUE,TRUE,1
152,LTD-Net Of Current-Operating Borrowings,167,R,Regular,phafds,PHA Financial Data Schedule,352,1,1,0,FALSE,FALSE,FALSE,TRUE,TRUE,1
153,Noncurrent Liabilities - Other,167,R,Regular,phafds,PHA Financial Data Schedule,353,1,1,0,FALSE,FALSE,FALSE,TRUE,TRUE,1
154,Accrued Compensated Absences - noncurrent portion,167,R,Regular,phafds,PHA Financial Data Schedule,354,1,1,0,FALSE,FALSE,FALSE,TRUE,TRUE,1
155,Loan Liability - Noncurrent,161,H,Header,phafds,PHA Financial Data Schedule,,1,1,0,FALSE,FALSE,TRUE,TRUE,TRUE,1
156,Loan Liability - Noncurrent - Not-for-profit,161,R,Regular,phafds,PHA Financial Data Schedule,355-010,10,1,0,FALSE,FALSE,FALSE,TRUE,TRUE,1
157,Loan Liability - Noncurrent - Partnership,161,R,Regular,phafds,PHA Financial Data Schedule,355-020,10,1,0,FALSE,FALSE,FALSE,TRUE,TRUE,1
158,Loan Liability - Noncurrent - Joint Venture,161,R,Regular,phafds,PHA Financial Data Schedule,355-030,10,1,0,FALSE,FALSE,FALSE,TRUE,TRUE,1
159,Loan Liability - Noncurrent - Tax Credit,161,R,Regular,phafds,PHA Financial Data Schedule,355-040,10,1,0,FALSE,FALSE,FALSE,TRUE,TRUE,1
160,Loan Liability - Noncurrent - Other,161,R,Regular,phafds,PHA Financial Data Schedule,355-050,10,1,0,FALSE,FALSE,FALSE,TRUE,TRUE,1
161,Loan liability - non current,167,T,Total,phafds,PHA Financial Data Schedule,355,1,1,1,TRUE,FALSE,FALSE,TRUE,TRUE,1
162,Fasb 5 Liabilities,167,R,Regular,phafds,PHA Financial Data Schedule,356,1,1,0,FALSE,FALSE,FALSE,TRUE,TRUE,1
163,Accrued Pension and OPEB Liabilities,166,H,Header,phafds,PHA Financial Data Schedule,,1,1,0,FALSE,FALSE,TRUE,TRUE,TRUE,1
164,Pension Liability,166,R,Regular,phafds,PHA Financial Data Schedule,357-010,10,1,0,FALSE,FALSE,FALSE,TRUE,TRUE,1
165,OPEB Liability,166,R,Regular,phafds,PHA Financial Data Schedule,357-020,10,1,0,FALSE,FALSE,FALSE,TRUE,TRUE,1
166,Accrued Pension and OPEB Liabilities,167,T,Total,phafds,PHA Financial Data Schedule,357,1,1,1,TRUE,FALSE,FALSE,TRUE,TRUE,1
167,Total Noncurrent Liabilities,168,T,Total,phafds,PHA Financial Data Schedule,350,1,1,1,TRUE,FALSE,FALSE,TRUE,TRUE,1
168,Total Liabilities,180,T,Total,phafds,PHA Financial Data Schedule,300,1,1,1,TRUE,FALSE,FALSE,TRUE,TRUE,1
169,Deferred Inflow of Resources,180,R,Regular,phafds,PHA Financial Data Schedule,400,10,1,0,FALSE,FALSE,FALSE,TRUE,TRUE,1
170,Equity,179,H,Header,phafds,PHA Financial Data Schedule,,1,1,0,TRUE,FALSE,FALSE,TRUE,TRUE,1
171,Nonspendable Fund Balance,179,R,Regular,phafds,PHA Financial Data Schedule,508.3,10,1,0,FALSE,FALSE,FALSE,TRUE,TRUE,1
172,Net Investment in Capital Assets,179,R,Regular,phafds,PHA Financial Data Schedule,508.4,10,1,0,FALSE,FALSE,FALSE,TRUE,TRUE,1
173,Restricted Fund Balance,179,R,Regular,phafds,PHA Financial Data Schedule,509.3,10,1,0,FALSE,FALSE,FALSE,TRUE,TRUE,1
174,Committed Fund Balance,179,R,Regular,phafds,PHA Financial Data Schedule,510.3,10,1,0,FALSE,FALSE,FALSE,TRUE,TRUE,1
175,Assigned Fund Balance,179,R,Regular,phafds,PHA Financial Data Schedule,511.3,10,1,0,FALSE,FALSE,FALSE,TRUE,TRUE,1
176,Restricted Net Position,179,R,Regular,phafds,PHA Financial Data Schedule,511.4,10,1,0,FALSE,FALSE,FALSE,TRUE,TRUE,1
177,Unassigned Fund Balance,179,R,Regular,phafds,PHA Financial Data Schedule,512.3,10,1,0,FALSE,FALSE,FALSE,TRUE,TRUE,1
178,Unrestricted Net Position,179,R,Regular,phafds,PHA Financial Data Schedule,512.4,10,1,0,FALSE,FALSE,FALSE,TRUE,TRUE,1
