hmy_creditscore,hmyperson_customer,customer code,customer name,date,credit score,report link,notes,company name,company location,company website,year founded,description,ownership,primary industry,comp. position industry group,annual revenue,gross profit,ebit,ebitda,total assets,total debt
35,28175,c0000244,"Dynamic Rubber, Inc.",9/30/2021,7.5,https://faropointinvestments1067703.sharepoint.com/:b:/r/sites/Investments/Shared%20Documents/General/Tenant%20Credit%20Score%20Reports(Linked%20to%20Yardi)/c0000244-Dynamic%20Rubber/Dynamic%20Rubber.pdf?csf=1&web=1&e=Q0dqEz,Old credit score method. Score migrated from monday.com Contract board,Dynamic Rubber Inc.,,,null,,,,,null,null,null,null,null,null
36,28182,c0000251,"Economy Tire, Inc.",12/31/2021,9.8,https://faropointinvestments1067703.sharepoint.com/:b:/s/Investments/EdYH0lNeTSNHp34DRYWzd2sBmCOhfWsWCVxJFHBqtEM1FA?e=xnlOfF,Old credit score method. Score migrated from monday.com Contract board,Economy Tire Inc.,,,null,,,,,null,null,null,null,null,null
37,28201,c0000270,Event Link,9/30/2022,6.2,0,Old credit score method. Score migrated from monday.com Contract board,Event Link,,,null,,,,,null,null,null,null,null,null
186,28210,c0000279,Fastenal Company,11/4/2024,9.31,https://faropointinvestments1067703.sharepoint.com/:b:/s/Investments/ESApXUmIYsZCumoUtv6VGf4BIDRF4w3AowtkFPohgYSerg?e=kDtl1k,,Fastenal Company,"Winona, MN",https://www.fastenal.com/,1967,Distributes industrial and construction supply products.,Public,Trading Companies and Distributors,Capital Goods,7346700000,3354500000,null,1695300000,null,null
38,28378,c0000308,Garden State Lumber Products Corp,9/30/2022,7.8,0,Old credit score method. Score migrated from monday.com Contract board,Garden State Lumber Products Corp,,,null,,,,,null,null,null,null,null,null
39,28379,c0000309,"Garland, LLC",3/31/2022,7,0,Old credit score method. Score migrated from monday.com Contract board,Garland LLC,,,null,,,,,null,null,null,null,null,null
176,28404,c0000330,Greif Packaging LLC,1/7/2025,5.44,https://faropointinvestments1067703.sharepoint.com/:b:/s/Investments/EelOpxwBI05AsidiSqfMDIoBmGmvX_myHfsno9Pbbb2H-A?e=8X63mV,,Greif Packaging LLC,"Delaware, OH",https://www.greif.com/,1877,Global provider of industrial packaging solutions.,Public,"Metal, Glass and Plastic Containers",Containers And Packaging,5448100000,1070800000,null,725900000,null,null
40,28421,c0000347,"HIVES AND HONEY COMMERCIAL HOLDINGS, LLC",12/31/2021,6.7,https://faropointinvestments1067703.sharepoint.com/:b:/s/Investments/Ee53mgIWXk1KnFBdO1pNyg4B34d9I9XQfwObnrfaxbdU3Q?e=Q4NVec,Old credit score method. Score migrated from monday.com Contract board,HIVES AND HONEY COMMERCIAL HOLDINGS LLC,,,null,,,,,null,null,null,null,null,null
41,28446,c0000364,"Inliner Solutions, LLC",9/30/2022,8,https://faropointinvestments1067703.sharepoint.com/:b:/s/Investments/EQrhBVGFKqxCtkG3U3UCs0IB7d5VRcDZFIlRHHSpfPDoCQ?e=Il7bD7,Old credit score method. Score migrated from monday.com Contract board,Inliner Solutions LLC,,,null,,,,,null,null,null,null,null,null
174,28460,c0000378,"Jade Carpentry Contractors, Inc.",2/20/2025,5.16,https://faropointinvestments1067703.sharepoint.com/:b:/s/Investments/EWHaBgXqOmZBhyoU5t3Sq5sBcCXUU5rPjweCh7rdUfByqQ?e=MDwH0D,,"Jade Carpentry Contractors, Inc.","Bensenville, IL",https://www.jadecarpentry.com/,1990,Specialized carpentry for construction and renovation projects.,Private (Non-PE),Construction and Engineering,Engineering And Construction,10634765,2394857,null,156266,null,null
42,28461,c0000379,"Jaguar Power Sports, LLC",3/31/2022,8.8,https://faropointinvestments1067703.sharepoint.com/:b:/s/Investments/EUyXcFVY3QlIj7FSjUjRkDUBXPM8vI6Q8wVVIPK-6Nl7-w?e=0QBYQa,Old credit score method. Score migrated from monday.com Contract board,Jaguar Power Sports LLC,,,null,,,,,null,null,null,null,null,null
43,28476,c0000394,"K1 Speed, Inc.",12/31/2022,6.4,https://faropointinvestments1067703.sharepoint.com/:b:/s/Investments/ESPKdwW_yX9Nmwl1YIjRQWkBq-Z88wUMMUXjqXTij-BkSg?e=RWXLCn,Old credit score method. Score migrated from monday.com Contract board,K1 Speed Inc.,,,null,,,,,null,null,null,null,null,null
44,28493,c0000411,"KPS Global, LLC",12/31/2021,6.7,https://faropointinvestments1067703.sharepoint.com/:b:/s/Investments/Ed0kxVMeJP9Amgo9UMXjRRUBz1mGS_FLQvVsFTitX8bR9w?e=eRhR5K,Old credit score method. Score migrated from monday.com Contract board,KPS Global LLC,,,null,,,,,null,null,null,null,null,null
161,28506,c0000418,L&W Supply Corporation,10/4/2024,6,https://faropointinvestments1067703.sharepoint.com/:b:/s/Investments/EVQdTb7EI59Js-maPWt4fHwBNg31rgL4nrw6LzjWJ4Yh_A?e=CuMW4R,,L&W Supply Corporation,"Beloit, WI",https://www.abcsupply.com/products/,1982,Wholesale distributor of building and roofing materials.,Private (Non-PE),Trading Companies and Distributors,Capital Goods,20391128000,5980900000,0,2266670000,0,0
45,28508,c0000420,Lake Cable LLC,12/31/2021,8.8,https://faropointinvestments1067703.sharepoint.com/:b:/s/Investments/EZPmRSijKylNiy0MLWaM6BkBNtEBrTHwD3P2p-oGT-j9Rw?e=jjh7CL,Old credit score method. Score migrated from monday.com Contract board,Lake Cable LLC,,,null,,,,,null,null,null,null,null,null
46,28519,c0000431,"Listener Brands, Inc.",6/30/2022,2.7,https://faropointinvestments1067703.sharepoint.com/:b:/s/Investments/ETnZxQRcWUVMlM0LWwvfhoMBGVNY42gO_hT7tQpCAeOgMA?e=UBhkEo,Old credit score method. Score migrated from monday.com Contract board,Listener Brands Inc.,,,null,,,,,null,null,null,null,null,null
187,28519,c0000431,"Listener Brands, Inc.",11/21/2024,2.6,https://faropointinvestments1067703.sharepoint.com/:b:/s/Investments/EZ5pNWRdpMVKnF6WZqeAEDABFN-rs_tw1AWtD0zwf423fw?e=gr8XN6,,"Listener Brands, Inc.","Chicago, IL",https://curlmix.com/,2015,Natural hair care for curly textures.,Private (Non-PE),Personal Care Products,Branded Nondurables,4596871,3630090,null,3179692,null,null
47,28527,c0000439,LS Elite LLC,12/31/2020,7.4,https://faropointinvestments1067703.sharepoint.com/:b:/s/Investments/Ea8FAzmyRUZJnZMKBBqwPzwB6hzTCGzk1D0bEXFevcXATQ?e=LkpbAF,Old credit score method. Score migrated from monday.com Contract board,LS Elite LLC,,,null,,,,,null,null,null,null,null,null
48,28528,c0000440,Lucky River Seafood LLC,12/31/2022,4.5,https://faropointinvestments1067703.sharepoint.com/:b:/s/Investments/EdvleG7MDsJOuJSzli4WADwBfA_TOKZ2JgfW_67E_0Of9g?e=Lji91L,Old credit score method. Score migrated from monday.com Contract board,Lucky River Seafood LLC,,,null,,,,,null,null,null,null,null,null
49,28859,c0000454,"Material Handling Supply, Inc. (MHS Lift)",9/30/2021,9.7,https://faropointinvestments1067703.sharepoint.com/:b:/s/Investments/ETsan2OJ6lVEt4Rej74QCocBTdLQBT3krG5MDRTFVvQf7w?e=UA1czl,Old credit score method. Score migrated from monday.com Contract board,Material Handling Supply Inc. (MHS Lift),,,null,,,,,null,null,null,null,null,null
50,28868,c0000463,"Melissa Cueller and Jeffrey Scott Crocoll, dba MT Training Center",9/30/2022,4.8,https://faropointinvestments1067703.sharepoint.com/:b:/s/Investments/Ee1x406jAjFKj4zPHLs1iAIBD4LJu4J2zWF_x-6C_4MqDg?e=soRJXE,Old credit score method. Score migrated from monday.com Contract board,Melissa Cueller and Jeffrey Scott Crocoll dba MT Training Center,,,null,,,,,null,null,null,null,null,null
51,28882,c0000477,Mid Atlantic Roofing Supply Atlanta LLC,6/30/2022,7,https://faropointinvestments1067703.sharepoint.com/:b:/s/Investments/EWJwX2lgU3dErKbGllxRqV4BMZuBpjYe-9RmLoV3QwXeuw?e=XQuJBB,Old credit score method. Score migrated from monday.com Contract board,Mid Atlantic Roofing Supply Atlanta LLC,,,null,,,,,null,null,null,null,null,null
52,28884,c0000479,Mighty Cake Company LLC,9/30/2021,4.3,https://faropointinvestments1067703.sharepoint.com/:b:/s/Investments/EYkLvWy1tKNHkRyj5HISqVUBoXI_MSatefTi5qIZXSeaDQ?e=FB9jyM,Old credit score method. Score migrated from monday.com Contract board,Mighty Cake Company LLC,,,null,,,,,null,null,null,null,null,null
53,28893,c0000488,Minor Moving LLC,6/30/2022,8.7,https://faropointinvestments1067703.sharepoint.com/:b:/s/Investments/Ed2YqRDtgvBMmDrPJSqVWnMBdTJQo4qwnQ8mqgvhXvAtfA?e=54o0mo,Old credit score method. Score migrated from monday.com Contract board,Minor Moving LLC,,,null,,,,,null,null,null,null,null,null
182,28895,c0000490,Modern Equipment Co.,11/25/2024,4.11,https://faropointinvestments1067703.sharepoint.com/:b:/s/Investments/EWtSTVoKUCNEhYeXd8s3tycBy7uUppBexPy7-3WUGWuklw?e=9y69Fz,,Modern Equipment Co.,"Burlington, NJ",https://www.modernstoreequipment.com/,1961,Designs and manufactures retail store fixtures.,Private (Non-PE),Building Products,Building Materials,21828625,6373564,null,1271172,null,null
54,28899,c0000494,Motorvation LLC,11/7/2023,3,https://faropointinvestments1067703.sharepoint.com/:b:/s/Investments/EX05BrjrhqBCi2uBwCvPW1YB6yUM22uDlP-0lCnHzHbCzA?e=HL82Aj,0,Motorvation LLC,Jonesboro GA,www.motorvationtrucks.com,2014,Specializes in selling pre-owned trucks.,Private (Non-PE),Specialized Consumer Services,Business and consumer services,36034638.03,0.12,3,-608664.53,1339928.18,690000
55,28903,c0000498,"Myers Tire Supply Distribution, Inc.",6/30/2023,8.6,https://faropointinvestments1067703.sharepoint.com/:b:/s/Investments/Ee_kd_KZxY1PsVKwl_8ecmQBiumDUxpiER412blGs_-kmg?e=UHUVWx,Old credit score method. Score migrated from monday.com Contract board,Myers Tire Supply Distribution Inc.,,,null,,,,,null,null,null,null,null,null
56,28930,c0000518,Northstar Trading LLC,12/31/2022,9,https://faropointinvestments1067703.sharepoint.com/:b:/s/Investments/ESo3otr156VHm7vftOO3M8MBvxXP7F1uzdGIycs4BeS0Sg?e=U9aZwH,Old credit score method. Score migrated from monday.com Contract board,Northstar Trading LLC,,,null,,,,,null,null,null,null,null,null
57,28933,c0000521,"Oakley Industrial Machinery, Inc.",9/30/2021,3.8,https://faropointinvestments1067703.sharepoint.com/:b:/s/Investments/EX-0xf-5hJBMnySo2Bpmd4IBcmatq_g1D83psGXwuEErFA?e=H6ZNRv,Old credit score method. Score migrated from monday.com Contract board,Oakley Industrial Machinery Inc.,,,null,,,,,null,null,null,null,null,null
58,28934,c0000522,OEM Accessories  Incorporated,12/31/2022,5.5,0,Old credit score method. Score migrated from monday.com Contract board,OEM Accessories  Incorporated,,,null,,,,,null,null,null,null,null,null
59,28942,c0000530,"Outdoor Cap Cp., Inc.",12/31/2021,8.3,https://faropointinvestments1067703.sharepoint.com/:b:/s/Investments/EZWQNxvxF-pIv68R1ITVrGcBkcplsdkbhl4MUz2a2jAzEg?e=SRPUNS,Old credit score method. Score migrated from monday.com Contract board,Outdoor Cap Cp. Inc.,,,null,,,,,null,null,null,null,null,null
60,28944,c0000532,P.T. International LLC,1/28/2022,9.7,https://faropointinvestments1067703.sharepoint.com/:b:/s/Investments/EYROTnzB1EBDsw1Y2aG_L0QB2Weq_FKSYFqn6zTsR23xjA?e=M8OfBJ,Old credit score method. Score migrated from monday.com Contract board,P.T. International LLC,,,null,,,,,null,null,null,null,null,null
163,28953,c0000533,"Pacesetter Steel Service, Inc.",9/3/2024,3,https://faropointinvestments1067703.sharepoint.com/:b:/s/Investments/ETD2-lMvD5ZKvGyjdBl74rQBiYwBX0NPeh5eHFyYJCcNRw?e=Ricu2M,,"Pacesetter Steel Service, Inc.","Scottsdale, AZ",https://flackglobalmetals.com/,2010,A hybrid metal supply and financial services provider.,Private (Non-PE),Steel,Metals And Mining Downstream,508735314,46243485,0,13075441,0,0
61,28985,c0000557,"Polytechnic Industries, Inc",3/31/2023,5.3,https://faropointinvestments1067703.sharepoint.com/:b:/s/Investments/EeWGEicN4IJOh3YiFtGmQyEBQ2e1QLcCHjwbCSMaptqdFw?e=bTMzZY,Old credit score method. Score migrated from monday.com Contract board,Polytechnic Industries Inc,,,null,,,,,null,null,null,null,null,null
177,29002,c0000574,Pulseworks LLC,12/17/2024,4.51,https://faropointinvestments1067703.sharepoint.com/:b:/s/Investments/EUV2TlyOz4VJjucclueAz_UBe34F8FLKnYI_10ktBUqGfQ?e=DLY4Za,,Pulseworks LLC,"Smyrna, GA",https://www.pulseworks.com/,1998,Motion simulators and immersive attraction provider.,Private (Non-PE),Leisure Facilities,Leisure And Sports,13124542,13124542,null,2943393,null,null
62,29005,c0000577,Quad Graphics,12/31/2021,3.8,https://faropointinvestments1067703.sharepoint.com/:b:/s/Investments/EbVg4-0hEKRCgfHlIuaoLnkBh9GFu1oUsKXRol5t5XsOzg?e=QHSOHt,Old credit score method. Score migrated from monday.com Contract board,Quad Graphics,,,null,,,,,null,null,null,null,null,null
63,29006,c0000578,"Quality Elevator Products Acquisitions, Inc.",6/30/2022,6.9,https://faropointinvestments1067703.sharepoint.com/:b:/s/Investments/ER3WC2-ct1hHqnIxi80e-GsBpSXykisbubLQTNEDxlnebw?e=TGaTxX,Old credit score method. Score migrated from monday.com Contract board,Quality Elevator Products Acquisitions Inc.,,,null,,,,,null,null,null,null,null,null
152,29027,c0000586,"RD Foods America, Inc.",5/20/2024,5,https://faropointinvestments1067703.sharepoint.com/:b:/s/Investments/EQ7KmQTL-xdMkZqN9lhOxtABovaykw5MaeE1xiZhPZzl7g?e=3f6eLf,,"RD Foods America, Inc.","Fair Lawn, NJ",https://rdfoodsamericas.com/,2014,Wholesale importer and distributor of canned food products,Private (Non-PE),Food Distributors,Business And Consumer Services,15257221,0,0,200005,0,0
