hmy property,property code,property address,city,state,zip,building id,fund,market,status,is land?,acq. date,other ac. costs,acq. strategy,disposition date,disposition noi,year built,parcel,% office,building shape,construction type 1,construction type 2,construction type 3,roof replacement,roof type 1,roof type 2,roof type 3,roof type 4,land (acres),loading type 1,loading type 2,loading type 3,loading type 4,loading type 5,max truck court depth,min. clear height,max. clear height,max column length,max column width,# dock doors,# of drive ins,truck court type,# parking spots,fire alarm,sprinkler type 1,sprinkler type 2,sprinkler coverage %,cold storage,ext. light type,generator,generator fuel type,generator size,ev charge,fire pump,fire water tank,sewege type,utility acc. holder,gas provider,electric provider,water provider,solar,solar power,recycling,what is recycled?,enviromental issues?,enviromental notes,disposition price
893,txwin004,11300 Windfern Rd,Houston,TX,77064,,FRG IX                                                                          ,Houston,Sold                                                                            ,,2019-01-15,281725.58,,2022-06-22,234522.00,2000.00,121-363-001-0001,9.0000,Rectangle,Metal,Tilt-up/Concrete,,2000,Metal,Other,,,5.00,Front Load,,,,,180.00,18.00,18.00,0.00,0.00,1,2,,,,Wet,,,,,,,,,,,,,,,,,,,,,,7624000.00
894,txmil005,5101-5151 Milwee St.,Houston,TX,77092,5101,FRG IX                                                                          ,Houston,Sold                                                                            ,,2019-09-06,40775.37,,2022-06-22,391280.00,2003.00,122-639-001-0001,12.0000,Rectangle,Metal,,,2003,Metal,Other,,,1.63,Front Load,,,,,115.00,22.00,22.00,0.00,0.00,0,2,,,,None,,,,,,,,,,,,,,,,,,,,,,2149825.14
894,txmil005,5101-5151 Milwee St.,Houston,TX,77092,5111,FRG IX                                                                          ,Houston,Sold                                                                            ,,2019-09-06,45662.83,,2022-06-22,43818.00,2003.00,122-639-001-0001,12.0000,Rectangle,Metal,,,2003,Metal,Other,,,1.63,Front Load,,,,,115.00,22.00,22.00,0.00,0.00,0,2,,,,None,,,,,,,,,,,,,,,,,,,,,,2407509.66
894,txmil005,5101-5151 Milwee St.,Houston,TX,77092,5151,FRG IX                                                                          ,Houston,Sold                                                                            ,,2019-09-06,65296.45,,2022-06-22,62658.00,2005.00,122-639-001-0001,10.0000,Rectangle,Tilt-up/Concrete,,,2005,Metal,Other,,,1.65,Front Load,,,,,115.00,22.00,22.00,0.00,0.00,0,1,,,,None,,,,,,,,,,,,,,,,,,,,,,3442665.19
895,txfuv100,2401 Fountain View Drive,Houston,TX,77057,,FRG 5                                                                           ,Houston,Acquired                                                                        ,,2017-09-29,2084883.00,,,0.00,0.00,099-077-000-0004,100.0000,,Other,,,,,,,,3.58,,,,,,0.00,0.00,0.00,0.00,0.00,0,0,,0.00,,,,0.00,No,,No,,,No,No,No,Sewer,Faropoint,,,,No,,No,,No Issue,,0.00
897,gasc1002,5101 Chatooga Dr,Stonecrest,GA,30038,,FRG IX                                                                          ,Atlanta,Sold                                                                            ,,2019-02-15,36752.00,,2022-06-22,89443.00,1974.00,16-023-03-002,12.0000,Rectangle,Masonry,,,2014,TPO,Other,,,1.42,Other,,,,,0.00,20.00,20.00,0.00,0.00,4,1,,0.00,,Wet,,0.00,No,,No,,,No,No,No,Sewer,,,,,No,,No,,No Issue,,1647000.00
898,gasc2003,5079 Chatooga Dr,Stonecrest,GA,30038,,FRG IX                                                                          ,Atlanta,Sold                                                                            ,,2019-02-15,0.00,,2022-06-22,108758.00,1978.00,16-023-03-020,4.0000,Rectangle,Masonry,,,2003,BUR,Other,,,1.88,Other,,,,,0.00,20.00,20.00,0.00,0.00,4,1,,0.00,,Wet,,0.00,No,,No,,,No,No,No,Sewer,,,,,No,,No,,No Issue,,2034000.00
899,gasc3004,2958 Miller Rd,Stonecrest,GA,30038,,FRG IX                                                                          ,Atlanta,Sold                                                                            ,,2019-02-15,0.00,,2021-08-13,0.00,0.00,16-023-03-016,0.0000,,,,,,,,,,0.00,,,,,,0.00,0.00,0.00,0.00,0.00,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
900,gasc4005,5036 Minola  Dr,Stonecrest,GA,30038,,FRG IX                                                                          ,Atlanta,Sold                                                                            ,,2019-02-15,100000.00,,2022-08-01,47000.00,0.00,16-023-03-004,0.0000,,,,,,,,,,0.00,,,,,,0.00,0.00,0.00,0.00,0.00,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,192098.00
901,gasc5006,5108 Minola Dr,Stonecrest,GA,30038,,FRG IX                                                                          ,Atlanta,Sold                                                                            ,,2019-02-15,0.00,,2022-08-01,28200.00,0.00,16-023-03-008,0.0000,,,,,,,,,,0.00,,,,,,0.00,0.00,0.00,0.00,0.00,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,115259.00
902,gasc6007,5220 Minola Dr,Stonecrest,GA,30038,,FRG IX                                                                          ,Atlanta,Sold                                                                            ,,2019-02-15,0.00,,2022-06-22,9400.00,1980.00,16-023-03-014,12.0000,Rectangle,Masonry,,,2003,BUR,Other,,,3.80,Other,,,,,0.00,22.00,22.00,0.00,0.00,1,11,,0.00,,Wet,,0.00,No,,No,,,No,No,No,Sewer,,,,,No,,No,,No Issue,,3487000.00
903,gaold008,1721 Old Covington Rd NE,Conyers,GA,30013,,FRG IX                                                                          ,Atlanta,Sold                                                                            ,,2019-03-20,60871.14,,2022-06-22,124495.00,1976.00,07100100005,7.0000,Rectangle,Metal,,,1976,Metal,Other,,,3.85,Side Load,,,,,100.00,22.00,22.00,0.00,0.00,8,0,,,,Wet,,,,,,,,,,,,,,,,,,,,,,1966000.00
904,gasto009,7217 Daniel Dr,Stockbridge,GA,30281,,FRG IX                                                                          ,Atlanta,Sold                                                                            ,,2019-03-20,90306.01,,2022-06-22,189631.00,1999.00,12072b-a012,13.0000,Rectangle,Other,,,1999,Metal,Other,,,3.00,Front Load,,,,,60.00,18.00,18.00,0.00,0.00,9,1,,,,Wet,,,,,,,,,,,,,,,,,,,,,,3565000.00
905,gacn010 ,1479 Parker Rd SE,Conyers,GA,30094,,FRG IX                                                                          ,Atlanta,Sold                                                                            ,,2019-03-20,36433.07,,2022-06-22,113939.00,1989.00,c12002033a,47.0000,Rectangle,Other,,,1989,Metal,Other,,,1.45,Rear Load,,,,,90.00,18.00,20.00,0.00,0.00,7,0,,,,Wet,,,,,,,,,,,,,,,,,,,,,,1782000.00
906,gacn011 ,1417 Parker Rd SE,Conyers,GA,30094,,FRG IX                                                                          ,Atlanta,Sold                                                                            ,,2019-03-20,34831.57,,2022-06-22,85575.00,1985.00,c120010013,23.0000,Rectangle,Other,,,1985,Metal,Other,,,1.42,Rear Load,,,,,120.00,18.00,18.00,0.00,0.00,5,1,,,,Wet,,,,,,,,,,,,,,,,,,,,,,1356000.00
907,gacn012 ,1390 Business Center Dr SW,Conyers,GA,30094,,FRG IX                                                                          ,Atlanta,Sold                                                                            ,,2019-03-20,64459.28,,2022-06-22,154394.00,1986.00,c120010014,7.0000,Rectangle,Other,,,1986,Metal,Other,,,2.20,Rear Load,,,,,90.00,16.00,20.00,0.00,0.00,10,0,,,,Wet,,,,,,,,,,,,,,,,,,,,,,2519000.00
908,gahaz013,8306 Hazelbrand Rd NE,Covington,GA,30014,,FRG IX                                                                          ,Atlanta,Sold                                                                            ,,2019-07-01,80509.83,,2022-06-22,254401.00,1978.00,c001000010006000,0.0000,L Shape,Metal,,,1978,Metal,Other,,,3.10,Front Load,,,,,150.00,22.00,22.00,0.00,0.00,6,1,,,,Wet,,,,,,,,,,,,,,,,,,,,,,3778000.00
909,gasc1014,1 Leggett Dr,Social Circle,GA,30025,,FRG IX                                                                          ,Atlanta,Sold                                                                            ,,2019-07-23,18303.95,,2023-03-21,0.00,1985.00,sc130037,7.0000,Rectangle,Metal,,,1985,Metal,Other,,,13.40,Side Load,,,,,150.00,22.00,22.00,0.00,0.00,14,2,,,,Wet,ESFR,,,,,,,,,,,,,,,,,,,,,5404455.00
910,gasc2015,754 East Hightower Trail,Social Circle,GA,30025,,FRG IX                                                                          ,Atlanta,Sold                                                                            ,,2019-07-23,9398.95,,2023-03-21,0.00,1985.00,sc160018,2.0000,Rectangle,Metal,,,1985,Metal,Other,,,4.08,Front Load,,,,,100.00,22.00,26.00,0.00,0.00,4,3,,,,Wet,,,,,,,,,,,,,,,,,,,,,,2789251.00
911,gasc3016,772 East Hightower Trail,Social Circle,GA,30025,,FRG IX                                                                          ,Atlanta,Sold                                                                            ,,2019-07-23,10882.78,,2023-03-21,0.00,1999.00,sc160018a00,5.0000,Rectangle,Metal,,,1985,Metal,Other,,,2.89,Front Load,,,,,100.00,22.00,30.00,0.00,0.00,4,2,,,,Wet,,,,,,,,,,,,,,,,,,,,,,3281293.00
912,gatuc017,1868 Tucker Industrial Rd,Tucker,GA,30084,,FRG IX                                                                          ,Atlanta,Sold                                                                            ,,2019-08-14,111242.28,,2022-06-22,182558.00,1981.00,18-185-04-060,4.1000,Rectangle,Metal,Other,,1981,BUR,Other,,,3.40,Side Load,,,,,80.00,18.00,18.00,0.00,0.00,8,1,,,,Wet,,,,,,,,,,,,,,,,,,,,,,3720000.00
913,gacre100,100 Crescent Center Pkwy,Tucker,GA,30084,,FRG 6                                                                           ,Atlanta,Acquired                                                                        ,,2018-09-17,2612082.00,,,0.00,0.00,"18-189-02-094, 18-189-02-100, 18-189-02-104",100.0000,,Other,,,,,,,,0.00,,,,,,0.00,0.00,0.00,0.00,0.00,0,0,,0.00,,,,0.00,No,,No,,,No,No,No,Sewer,Faropoint,,,,No,,No,,No Issue,,0.00
915,gaspa102,4015 Holcomb Bridge,Norcross,GA,,,FRG 8                                                                           ,Atlanta,Sold                                                                            ,,2017-09-29,0.00,,,0.00,0.00,r6313-140,0.0000,,,,,,,,,,0.00,,,,,,0.00,0.00,0.00,0.00,0.00,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
917,gaga1104,852 Dailey Mill Rd.,Mcdonough,GA,,BLDG 100,FRG 6                                                                           ,Atlanta,Sold                                                                            ,,2018-10-01,550000.00,,2022-09-22,0.00,0.00,072-01010002,0.0000,,Metal,,,,,,,,0.00,,,,,,0.00,0.00,0.00,0.00,0.00,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,10650000.00
918,gajoh105,1501 Johnson Ferry Road,Marietta,GA,,,FRG 7                                                                           ,Atlanta,Sold                                                                            ,,2018-02-28,0.00,,2021-01-26,0.00,0.00,,0.0000,,,,,,,,,,0.00,,,,,,0.00,0.00,0.00,0.00,0.00,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
919,ohhon001,7100 Dixie Hwy,Fairfield,OH,45014,,FRG IX                                                                          ,Cincinnati,Sold                                                                            ,,2019-07-01,361019.82,,2022-06-22,44761.00,1969.00,A0700016000124,1.8000,Rectangle,Other,,,"1993: 74,000sf 1994: 120,000sf 2010: 20,000sf",BUR,Other,,,19.98,Cross Dock,,,,,155.00,20.00,30.00,0.00,0.00,24,2,,,,Wet,,,,,,,,,,,,,,,,,,,,,,12816000.00
920,tnwl9001,4135 Willow Lake Blvd,Memphis,TN,,,FRG IX                                                                          ,Memphis,Sold                                                                            ,,2019-03-25,180000.00,N/A,2019-08-29,0.00,0.00,,0.0000,,,,,,,,,,0.00,,,,,,0.00,0.00,0.00,0.00,0.00,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,2000000.00
921,tnwl1002,5300 E Raines Rd,Memphis,TN,,,FRG IX                                                                          ,Memphis,Sold                                                                            ,,2019-03-15,55832.34,,2022-06-22,282906.00,1990.00,,21.0000,Rectangle,Tilt-up/Concrete,,,2008,BUR,Other,,,7.65,Rear Load,,,,,100.00,18.00,18.00,0.00,0.00,18,3,,,,Wet,,,,,,,,,,,,,,,,,,,,,,3604000.00
922,tnwl4003,4002 Willow Lake Blvd,Memphis,TN,,,FRG IX                                                                          ,Memphis,Sold                                                                            ,,2019-03-15,58260.10,,2022-06-22,286067.00,1989.00,,18.0000,Rectangle,Tilt-up/Concrete,,,2008,BUR,Other,,,10.22,Rear Load,,,,,121.00,18.00,18.00,0.00,0.00,18,3,,,,Wet,,,,,,,,,,,,,,,,,,,,,,5095000.00
923,tnwl5004,3960 Willow Lake Blvd,Memphis,TN,,,FRG IX                                                                          ,Memphis,Sold                                                                            ,,2019-03-15,66999.61,,2022-06-22,287820.00,1991.00,,8.4000,Rectangle,Tilt-up/Concrete,,,2004,TPO,Other,,,7.67,Rear Load,,,,,0.00,25.00,25.00,0.00,0.00,27,2,,,,Wet,,,,,,,,,,,,,,,,,,,,,,5706000.00
924,tnwl7005,5146 E Raines Rd,Memphis,TN,,,FRG IX                                                                          ,Memphis,Sold                                                                            ,,2019-03-15,54376.09,,2022-06-22,257312.00,1986.00,,24.0000,Rectangle,Tilt-up/Concrete,,,1986,BUR,Other,,,5.89,Rear Load,,,,,155.00,18.00,18.00,0.00,0.00,23,3,,,,Wet,,,,,,,,,,,,,,,,,,,,,,4514000.00
925,tnw13006,5070 E Raines Rd,Memphis,TN,,,FRG IX                                                                          ,Memphis,Sold                                                                            ,,2019-03-15,32043.55,,2022-06-22,159000.00,1985.00,,8.0000,Rectangle,Tilt-up/Concrete,,,1985,BUR,Other,,,3.04,Side Load,,,,,100.00,18.00,18.00,0.00,0.00,10,10,,,,Wet,,,,,,,,,,,,,,,,,,,,,,2567000.00
926,tndan007,761 Danny Thomas,Memphis,TN,38126,,FRG IX                                                                          ,Memphis,Sold                                                                            ,,2019-05-29,53957.21,,2022-06-22,212919.00,1969.00,,8.0000,Rectangle,Tilt-up/Concrete,,,2014,TPO,Other,,,6.30,Front Load,,,,,148.00,18.00,18.00,0.00,0.00,16,2,,,,Wet,,,,,,,,,,,,,,,,,,,,,,1211000.00
927,tnlak008,2900 Lakeview Dr,Memphis,TN,,,FRG IX                                                                          ,Memphis,Sold                                                                            ,,2019-08-30,171836.45,,2022-06-22,360000.00,1988.00,,2.0000,Rectangle,Tilt-up/Concrete,,,1988,Metal,Other,,,9.66,Front Load,,,,,266.00,24.00,24.00,0.00,0.00,16,1,,,,Wet,,,,,,,,,,,,,,,,,,,,,,5367000.00
928,tnwl3009,4070 Willow Lake,Memphis,TN,38118,,FRG IX                                                                          ,Memphis,Sold                                                                            ,,2019-08-30,119396.42,,2022-06-22,320460.00,1986.00,,23.0000,Rectangle,Tilt-up/Concrete,Masonry,,1986,TPO,Other,,,7.20,Rear Load,,,,,121.00,18.00,18.00,0.00,0.00,3,0,,0.00,,Wet,,0.00,No,,No,,,No,No,No,Sewer,,,,,No,,No,,No Issue,,3894000.00
929,tnb10010,1887 Latham (10),Memphis,TN,38106,,FRG IX                                                                          ,Memphis,Sold                                                                            ,,2019-08-15,60732.54,,2022-06-22,117018.00,1965.00,,1.0000,Rectangle,Masonry,,,2014,BUR,Other,,,3.90,Front Load,,,,,235.00,18.00,18.00,0.00,0.00,10,1,,0.00,,Wet,,0.00,No,,No,,,No,No,No,Sewer,,,,,No,,No,,No Issue,,1908000.00
930,tnb12011,1950-1980 Latham (12),Memphis,TN,38106,,FRG IX                                                                          ,Memphis,Sold                                                                            ,,2019-08-15,24292.62,,2022-06-22,148264.00,1953.00,,2.4000,Rectangle,Masonry,,,2017,TPO,Other,,,3.50,Front Load,Cross Dock,,,,68.00,14.00,14.00,0.00,0.00,12,1,,0.00,,Wet,Dry,0.00,No,,No,,,No,No,No,Sewer,,,,,No,,No,,No Issue,,2160000.00
931,tnb11012,2000 Latham Street,Memphis,TN,38016,,FRG IX                                                                          ,Memphis,Sold                                                                            ,,2019-08-15,68020.73,,2022-06-22,203384.00,1957.00,,1.0000,Other,Masonry,,,2014,TPO,Other,,,3.30,Front Load,,,,,67.00,16.00,16.00,0.00,0.00,22,1,,0.00,,Wet,,0.00,No,,No,,,No,No,No,Sewer,,,,,No,,No,,No Issue,,2848000.00
932,tnb03013,237-265 East Belz (3),Memphis,TN,38109,,FRG IX                                                                          ,Memphis,Sold                                                                            ,,2019-08-30,63161.60,,2022-06-22,88273.00,1966.00,,5.0000,Rectangle,Tilt-up/Concrete,Masonry,,"2011 , 2014",TPO,Other,,,10.52,Front Load,,,,,72.00,16.00,16.00,0.00,0.00,20,2,,0.00,,Wet,Dry,0.00,No,,No,,,No,No,No,Sewer,,,,,No,,No,,No Issue,,3410000.00
933,tnb09014,307-317 East Belz (9),Memphis,TN,38109,,FRG IX                                                                          ,Memphis,Sold                                                                            ,,2019-08-15,37411.55,,2022-06-22,79595.00,1967.00,,11.0000,Rectangle,Tilt-up/Concrete,Masonry,,2014,TPO,Other,,,2.50,Front Load,,,,,126.00,16.00,16.00,0.00,0.00,7,3,,0.00,,None,,0.00,No,,No,,,No,No,No,Sewer,,,,,No,,No,,No Issue,,969000.00
934,tnamz015,3347 Pearson Road,Memphis,TN,38118,,FRG IX                                                                          ,Memphis,Sold                                                                            ,,2019-08-30,387000.00,,2022-06-22,57777.00,1965.00,,8.0000,Square,Tilt-up/Concrete,,,2019,TPO,Other,,,9.01,Cross Dock,,,,,130.00,20.00,20.00,0.00,0.00,7,2,,,,Wet,,,,,,,,,,,,,,,,,,,,,,9067000.00
935,tnfre100,450 U.S. Highway 72W- Collierville,Memphis,TN,,,FRG 1                                                                           ,Memphis,Sold                                                                            ,,2013-12-20,98356.00,,2021-10-05,0.00,0.00,,0.0000,,,,,,,,,,0.00,,,,,,0.00,0.00,0.00,0.00,0.00,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,1375000.00
936,tnvan101,1160 Vann drive,Jackson,TN,,,FRG 2                                                                           ,Jackson,Sold                                                                            ,,2015-04-02,790000.00,,2022-01-31,0.00,0.00,,0.0000,,,,,,,,,,0.00,,,,,,0.00,0.00,0.00,0.00,0.00,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,8250000.00
937,tnorl102,1779-1789 Kirby,Memphis,TN,38138,,FRG 4                                                                           ,Memphis,Sold                                                                            ,,2015-12-29,1081000.00,,2022-10-03,0.00,0.00,,0.0000,,,,,,,,,,0.00,,,,,,0.00,0.00,0.00,0.00,0.00,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,7000000.00
939,tncha104,3725 Champion Hills,Memphis,TN,38125,,FRG 3                                                                           ,Memphis,Sold                                                                            ,,2015-10-07,1208000.00,,2023-12-21,503126.00,0.00,,100.0000,,,,,,,,,,0.00,,,,,,0.00,0.00,0.00,0.00,0.00,0,0,,0.00,,,,0.00,No,,No,,,No,No,No,Sewer,Faropoint,,,,No,,No,,No Issue,,5400000.00
941,tnuni106,2670 Union Ave. Extended,Memphis,TN,38112,,FRG 6                                                                           ,Memphis,Sold                                                                            ,,2017-11-03,889870.00,,2023-12-28,759865.00,0.00,,100.0000,,,,,,,,,,0.00,,,,,,0.00,0.00,0.00,0.00,0.00,0,0,,0.00,,,,0.00,No,,No,,,No,No,No,Sewer,Faropoint,,,,No,,No,,No Issue,,6850750.00
942,tnpop107,6263 Poplar,Memphis,TN,,,FRG 6                                                                           ,Memphis,Sold                                                                            ,,2017-11-03,861130.00,,2024-06-24,930034.00,0.00,,100.0000,,Other,,,,,,,,0.00,,,,,,0.00,0.00,0.00,0.00,0.00,0,0,,0.00,,Other,,0.00,No,,No,,,No,No,No,Sewer,Faropoint,,,,No,,No,,No Issue,,10263000.00
945,tnshe201,Shelby Drive,Memphis,TN,,,FRG 8                                                                           ,Memphis,Sold                                                                            ,,2018-02-16,246750.00,,2020-12-17,0.00,0.00,,0.0000,,,,,,,,,,9.20,,,,,,0.00,0.00,24.00,0.00,0.00,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
946,tnper202,3670 S. Perkins Road,Memphis,TN,,,FRG 8                                                                           ,Memphis,Sold                                                                            ,,2018-02-16,213001.50,,2020-12-17,0.00,0.00,,0.0000,,Tilt-up/Concrete,,,,,,,,4.10,,,,,,0.00,0.00,18.00,0.00,0.00,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
