filename,tenant_name,revenue,website,industry,business_description,credit_score,probability_of_default
FP TCE_v7.44 - Pan-Y-Mas (2024-10-14).pdf,"Pan Y Mas, Inc.",$24M,https://pan-y-mas.com/,Wholesale distributor of baked goods and groceries. Profitability EBITDA Margin 3.8% 78.6% 100%,Wholesale distributor of baked goods and groceries. Profitability EBITDA Margin 3.8% 78.6% 100%,CCC,
FP TCE_v7.45 - Trident EXIM (2025-03-10).pdf,"Trident EXIM, LLC","$1,061M",,Wholesale distributor of grocery products. Profitability EBITDA Margin 2.9% 5.0% 73%,Wholesale distributor of grocery products. Profitability EBITDA Margin 2.9% 5.0% 73%,CCC,
FP TCE_v7.44 - Bronner Brothers (2024-10-17).pdf,"Bronner Bros., Inc.",$13M,https://www.bronnerbros.com,Manufactures and distributes ethnic hair care products. Profitability EBITDA Margin 12.3% -56.0% 0%,Manufactures and distributes ethnic hair care products. Profitability EBITDA Margin 12.3% -56.0% 0%,CC,
FP TCE_v7.45 - Shearer Supply (2025-03-24).pdf,"Shearer Holdco, LLC",$301M,https://www.shearersupply.com/,HVAC equipment and parts distributor. Profitability EBITDA Margin 9.3% 2.9% 7%,HVAC equipment and parts distributor. Profitability EBITDA Margin 9.3% 2.9% 7%,CCC,
FP TCE_v6.65 - DME Express (2023-11-02).pdf,DME Express LLC 3.5 to 4.5,$47M,https://dmeexpress.com/,Providers of hospice Durable Medical Equipment Profitability EBITDA Margin 18.2% 29.0%,Providers of hospice Durable Medical Equipment Profitability EBITDA Margin 18.2% 29.0%,CC,
"FP TCE_v7.45 - Bengal Grp, LLC (2025-02-02).pdf","Bengal Grp., LLC",$4.3M,https://www.bengalgrp.com/,"Custom material converting and sheeting services. Adjusted EBITDA - 354 1,606 354.3%","Custom material converting and sheeting services. Adjusted EBITDA - 354 1,606 354.3%",CCC,
FP TCE_v7.45 - 945 Industries (2025-04-18).pdf,"945 Industries, LLC",$1.8M,https://945industries.com/,Designs and sells concealed carry gear. Adjusted EBITDA - 26 510 1870.4%,Designs and sells concealed carry gear. Adjusted EBITDA - 26 510 1870.4%,CCC,
FP TCE_v7.44 - Modular Closets (2024-11-26).pdf,"Modular Closets, LLC",$46.1M,https://www.modularclosets.com/,"Designs and manufactures customizable closet systems. Adjusted EBITDA 1,000 2,226 4,304 93.4%","Designs and manufactures customizable closet systems. Adjusted EBITDA 1,000 2,226 4,304 93.4%",BB,
FP TCE_v7.45 - IMI Management (2025-01-29).pdf,"IMI Management, Inc. (""IMI"")",$401.9M,,"Engineering, construction, automation, and support services. Adjusted EBITDA 9,267 13,140 17,702 34.7%","Engineering, construction, automation, and support services. Adjusted EBITDA 9,267 13,140 17,702 34.7%",B,
FP TCE_v7.44 - Sannova Analytical (2024-12-31).pdf,"Sannova Topco, LLC",$8.4M,https://www.sannova.net/,"Contract Research Organization for drug testing. Adjusted EBITDA (1,738) (8,485) (1,763) 79.2%","Contract Research Organization for drug testing. Adjusted EBITDA (1,738) (8,485) (1,763) 79.2%",CC,
FP TCE_v6.23 - Atlas Copco_v2.pdf,0.02% to 0.04% Company Overview Financial Statement Highlights,$565M,www.atlascopcogroup.com,Industrial Tools / Equipment Manufacturer Gross Profit Margin 42.0% 42.0% +7 bps,Industrial Tools / Equipment Manufacturer Gross Profit Margin 42.0% 42.0% +7 bps,A,
FP TCE_v7.44 - Motorvation (2024-11-19).pdf,"Motorvation, LLC --> INSOVLENT AS OF 9/24",$62.4M,https://www.motorvationtrucks.com/,"Used vehicle dealership specializing in trucks. Adjusted EBITDA 382 (633) (1,170) -84.9%","Used vehicle dealership specializing in trucks. Adjusted EBITDA 382 (633) (1,170) -84.9%",C,
FP TCE_v6.57 - Master_Lincoln Educational Services Corp (2023-09-21).pdf,Lincoln Educational Services Corporation,$191M,,Provider of technical skills training Profitability EBITDA Margin 11.3% 6.8%,Provider of technical skills training Profitability EBITDA Margin 11.3% 6.8%,CCC,
FP TCE_v6.67 - RotoRooter Plumbing & Drain Service (2024-04-16).pdf,Chemed Corporation,"$2,264.4M",https://chemed.com;,"Provides hospice care and plumbing services. Adjusted EBITDA 430,145 415,994 415,179 -0.2%","Provides hospice care and plumbing services. Adjusted EBITDA 430,145 415,994 415,179 -0.2%",A,
FP TCE_v7.44 - Florida Packaging & Graphics (2024-11-18).pdf,9.02% to 14.87% Company Overview Financial Statement Highlights,$5.0M,http://flpginc.com/,Custom packaging solutions for various industries. Adjusted EBITDA 789 489 685 40.1%,Custom packaging solutions for various industries. Adjusted EBITDA 789 489 685 40.1%,CCC,
FP TCE_v7.44 - OmniMax International (2024-09-10).pdf,"OmniMax International, LLC",$478.4M,https://omnimax.com/,"Manufacturer of Roofing and Drainage solutions. Adjusted EBITDA 31,015 39,774 46,508 16.9%","Manufacturer of Roofing and Drainage solutions. Adjusted EBITDA 31,015 39,774 46,508 16.9%",CCC,
FP TCE_v7.45 - NVGTN (2025-02-13).pdf,"NVGTN, LLC",$67M,https://nvgtn.com/,Fitness and lifestyle apparel e-commerce brand. Profitability EBITDA Margin 5.6% 26.0% 100%,Fitness and lifestyle apparel e-commerce brand. Profitability EBITDA Margin 5.6% 26.0% 100%,B,
FP TCE_v7.44 - Project Coal (2024-11-29).pdf,"""Martz Group"" (trade name - comprised of multiple separate entities)",$178M,https://martzbus.com,Regional provider of transportation and tours. Profitability EBITDA Margin 21.3% 17.1% 41%,Regional provider of transportation and tours. Profitability EBITDA Margin 21.3% 17.1% 41%,C,
FP TCE_v7.53 - FlexCraft (2025-06-15).pdf,"FlexCraft Industries, Inc.",$2.2M,https://flexcraft.com/,"Custom plastic molding for regulated industries. Adjusted EBITDA 1,021 964 985 2.2%","Custom plastic molding for regulated industries. Adjusted EBITDA 1,021 964 985 2.2%",CCC,
FP TCE_v7.44 - S&S Truck Parts (2024-12-06).pdf,0.60% to 1.89% Company Overview Financial Statement Highlights,$214.8M,https://www.sandstruck.com/,"Distributes aftermarket medium-heavy truck parts. Adjusted EBITDA - 13,079 19,387 48.2%","Distributes aftermarket medium-heavy truck parts. Adjusted EBITDA - 13,079 19,387 48.2%",B,
FP TCE_v7.52 - AlumaForm (2025-05-13).pdf,"Aluma-Form, Inc",$226.8M,www.alumaform.com,"Engineers and manufactures utility infrastructure components. Adjusted EBITDA - - 41,179 FALSE","Engineers and manufactures utility infrastructure components. Adjusted EBITDA - - 41,179 FALSE",B,
FP TCE_v7.44 - WTC Granite (2024-11-20).pdf,1.89% to 3.18% Company Overview Financial Statement Highlights,$22.2M,"https://phoenixprecast.com/,","Manufactures precast concrete and granite memorials. Adjusted EBITDA 2,022 2,353 4,018 70.8%","Manufactures precast concrete and granite memorials. Adjusted EBITDA 2,022 2,353 4,018 70.8%",B,
FP TCE_v7.44 - Beard Integrated Systems (2024-10-21).pdf,"Beard Integrated Systems, Inc.",$104.1M,https://beard-companies.com/,"Mechanical, electrical, and piping turnkey solutions. Adjusted EBITDA (2,838) 4,182 6,378 52.5%","Mechanical, electrical, and piping turnkey solutions. Adjusted EBITDA (2,838) 4,182 6,378 52.5%",CCC,
FP TCE_v7.44 - Valley Forge (2024-12-30).pdf,20.71% to 26.55% # of Benchmarks: 20 Industry Company Percentile # of Industry Benchmarks 20,$80M,https://www.valleyforge.com/,Sustainable textiles for the hospitality industry. Profitability EBITDA Margin 9.7% 2.0% 14%,Sustainable textiles for the hospitality industry. Profitability EBITDA Margin 9.7% 2.0% 14%,CC,
FP TCE_v7.45 - All Metals - PROFORMA (2025-03-20).pdf,"All Metals Industries Holdings, LLC | PROFORMA",$49M,,Metal distributor serving industrial and commercial markets. Profitability EBITDA Margin 12.9% 13.6% 56%,Metal distributor serving industrial and commercial markets. Profitability EBITDA Margin 12.9% 13.6% 56%,B,
FP TCE_v7.51 - MetalTech (2025-05-05).pdf,"NFI Holdings, LLC",$101M,https://www.newburyfranklin.com/industrials,0 Profitability EBITDA Margin 8.8% 14.7% 73%,0 Profitability EBITDA Margin 8.8% 14.7% 73%,CCC,
FP TCE_v7.44 - Traffic Control Devices (2025-01-08).pdf,"Traffic Control Devices, LLC (""TCD"")",$116M,http://trafficcontroldevices.com/,ITS integration and infrastructure contracting services. Profitability EBITDA Margin 8.1% 9.0% 64%,ITS integration and infrastructure contracting services. Profitability EBITDA Margin 8.1% 9.0% 64%,BB,
FP TCE_v7.44 - ABC Supply Corp (2024-10-08).pdf,ABC Supply Holding Corporation,"$20,391.1M",https://www.abcsupply.com/products/,"Wholesale distributor of building and roofing materials. Adjusted EBITDA 1,742,974 2,326,833 2,266,670 -2.6%","Wholesale distributor of building and roofing materials. Adjusted EBITDA 1,742,974 2,326,833 2,266,670 -2.6%",BB,
FP TCE_v7.44 - ORAS Express (2024-11-28).pdf,"ORAS Express, LLC",$29M,,Interstate freight carrier specializing in logistics. Profitability EBITDA Margin 7.2% 5.5% 25%,Interstate freight carrier specializing in logistics. Profitability EBITDA Margin 7.2% 5.5% 25%,CCC,
FP TCE_v6.65 - BES Associates (2023-12-10).pdf,5.5 Company Overview Financial Statement Highlights,$11.6M,http://www.besmiami.com/,"Glazing systems designer and manufacturer Adjusted EBITDA 169 2,273 1241.6%","Glazing systems designer and manufacturer Adjusted EBITDA 169 2,273 1241.6%",B,
FP TCE_v7.53 - Global Packaging (2025-07-23).pdf,"Global Packaging, Inc.",$109.8M,https://www.glopkg.com/,"Flexible packaging manufacturer for food products. Adjusted EBITDA - 7,226 12,704 75.8%","Flexible packaging manufacturer for food products. Adjusted EBITDA - 7,226 12,704 75.8%",B,
FP TCE_v7.44 - WernerAero (2024-11-22).pdf,"Werner Aero, LLC",$19.0M,https://werneraero.com/,"Aviation asset management and aftermarket support. Adjusted EBITDA (655) 1,842 3,711 101.5%","Aviation asset management and aftermarket support. Adjusted EBITDA (655) 1,842 3,711 101.5%",CCC,
FP TCE_v7.45 - Packaging By Design (2025-03-07).pdf,Bellen Container Corporation,$98M,https://packaging-by-design.com,Custom flexographic printing and flexible packaging solutions. Profitability EBITDA Margin 9.7% -8.3% 0%,Custom flexographic printing and flexible packaging solutions. Profitability EBITDA Margin 9.7% -8.3% 0%,C,
FP TCE_v7.51 - Olive My Pickle (2025-04-22).pdf,"Olive My Pickle, LLC (""OMP"")",$12M,https://www.olivemypickle.com/,Fermented foods producer and eCommerce retailer. Profitability EBITDA Margin 6.7% 16.3%,Fermented foods producer and eCommerce retailer. Profitability EBITDA Margin 6.7% 16.3%,B,
FP TCE_v7.45 - Corning Incorporated (2025-01-28).pdf,Corning Incorporated,"$12,822.7M",https://www.corning.com/,"Innovates glass, ceramics, and optical solutions. Adjusted EBITDA 2,767,000 2,137,000 2,221,333 3.9%","Innovates glass, ceramics, and optical solutions. Adjusted EBITDA 2,767,000 2,137,000 2,221,333 3.9%",B,
FP TCE_v6.57 - Leading Pharma (2023-09-18).pdf,"Leading Pharma, LLC",$53M,https://www.leadingpharma.com/,Generic pharmaceutical company Gross Profit Margin 52.5% 48.9% (356) bps,Generic pharmaceutical company Gross Profit Margin 52.5% 48.9% (356) bps,CCC,
FP TCE_v7.53 - TopBuild Corp (NYSE BLD) (2025-06-10).pdf,0.15% to 0.38% # of Benchmarks: 33 Industry Company Percentile # of Industry Benchmarks 33,"$4,605M",https://www.topbuild.com/,Installs and distributes insulation and building products. Profitability EBITDA Margin 11.6% 19.3%,Installs and distributes insulation and building products. Profitability EBITDA Margin 11.6% 19.3%,BB,
FP TCE_v7.45 - Clarion Technologies (2025-04-21).pdf,20.71% to 26.55% Company Overview Financial Statement Highlights,$80.4M,https://www.clariontechnologies.com/,"Injection-molded plastic components manufacturer. Adjusted EBITDA (1,590) 1,691 (1,048) -161.9%","Injection-molded plastic components manufacturer. Adjusted EBITDA (1,590) 1,691 (1,048) -161.9%",CC,
"FP TCE_v7.53 - Whole Stones, LLC (2025-07-29).pdf","Whole Stones, LLC",$9M,,Custom stone fabrication and installation services Profitability EBITDA Margin 9.2% 27.7%,Custom stone fabrication and installation services Profitability EBITDA Margin 9.2% 27.7%,CC,
FP TCE_v7.53 - Dynamic Rubber (2025-07-22).pdf,"Dynamic Rubber, Inc. (""DR"")",$7.4M,https://www.dynamicrubber.com/,"Custom manufacturer of inflatable rubber sealing systems. Adjusted EBITDA 746 1,510 - 103% -","Custom manufacturer of inflatable rubber sealing systems. Adjusted EBITDA 746 1,510 - 103% -",CCC,
FP TCE_v7.44 - Flack Steel (2024-09-06).pdf,"Flack Steel, LLC",$508.7M,https://flackglobalmetals.com/,"A hybrid metal supply and financial services provider. Adjusted EBITDA 4,686 69,964 13,075 -81.3%","A hybrid metal supply and financial services provider. Adjusted EBITDA 4,686 69,964 13,075 -81.3%",CC,
FP TCE_v7.44 - Licaflex (2024-12-06).pdf,"Licaflex Packaging, Inc.",$296M,https://licaflex.com/,Flexible plastic packaging manufacturer and supplier. Profitability EBITDA Margin 9.4% 35.6% 100%,Flexible plastic packaging manufacturer and supplier. Profitability EBITDA Margin 9.4% 35.6% 100%,BB,
FP TCE_v6.68 - Ox Industries (2024-09-10).pdf,"Ox Industries, Inc.",$272.7M,https://oxindustries.com/,"Manufactures recycled paperboard and protective packaging products. Adjusted EBITDA 7,440 28,394 20,605 -27.4%","Manufactures recycled paperboard and protective packaging products. Adjusted EBITDA 7,440 28,394 20,605 -27.4%",CCC,
FP TCE_v7.53 - ADT (2025-07-17).pdf,ADT Inc.,"$4,898.4M",https://www.adt.com/,"Security, monitoring, and smart-home solutions provider. Adjusted EBITDA 2,337,509 2,454,823 2,431,198 -1.0%","Security, monitoring, and smart-home solutions provider. Adjusted EBITDA 2,337,509 2,454,823 2,431,198 -1.0%",BB,
FP TCE_v7.45 - Young Innovations (2025-03-06).pdf,3.18% to 9.02% # of Benchmarks: 328 Industry Company Percentile # of Industry Benchmarks 328,$163M,https://younginnovations.com/,Dental products manufacturer and distributor. Profitability EBITDA Margin 15.5% 21.4% 72%,Dental products manufacturer and distributor. Profitability EBITDA Margin 15.5% 21.4% 72%,CCC,
FP TCE_v7.52 - TX Logistics & Fulfillment (2025-05-29).pdf,Texas Logistics and Fulfillment Services LLC,$34M,https://texaslogisticservices.com/,"Warehousing, fulfillment, and last-mile logistics. Profitability EBITDA Margin 8.4% 4.8% 33%","Warehousing, fulfillment, and last-mile logistics. Profitability EBITDA Margin 8.4% 4.8% 33%",CC,
FP TCE_v7.45 - Clarion Technologies (2025-03-05).pdf,26.55% to 60.78% # of Benchmarks: 32 Industry Company Percentile # of Industry Benchmarks 32,$89M,https://www.clariontechnologies.com/,Injection-molded plastic components manufacturer. Profitability EBITDA Margin 11.8% -1.3%,Injection-molded plastic components manufacturer. Profitability EBITDA Margin 11.8% -1.3%,C,
FP TCE_v7.52 - American Spraytech (2025-07-08) - PROFORMA.pdf,"American Spraytech Holdings, LLC (PROFORMA)",$270.9M,https://www.americanspraytech.com/,"Contract manufacturer of aerosol and Bag-on-Valve products. Adjusted EBITDA 13,504 17,373 30,475 75.4%","Contract manufacturer of aerosol and Bag-on-Valve products. Adjusted EBITDA 13,504 17,373 30,475 75.4%",BB,
FP TCE_v7.44 - Bread Partners (2024-09-12).pdf,"Breadpartners, Inc.",$27.7M,https://breadpartners.com/,"Supplies innovative ingredients for bakery products. Adjusted EBITDA 2,275 (96) 726 855.8%","Supplies innovative ingredients for bakery products. Adjusted EBITDA 2,275 (96) 726 855.8%",CCC,
FP TCE_v7.44 - Laser Precision (2024-10-15).pdf,"Laser Precision, LLC (wholly-owned sub of Weller Metalworks since 8/23)",$23M,https://laserprecision.com/,Precision metal fabrication and laser cutting services. Profitability EBITDA Margin 12.9% 11.5% 44%,Precision metal fabrication and laser cutting services. Profitability EBITDA Margin 12.9% 11.5% 44%,CCC,
FP TCE_v7.44 - cbdMD (2024-11-25).pdf,"cbdMD, Inc.",$19.9M,https://www.cbdmd.com/,"Produces and distributes CBD wellness products. Adjusted EBITDA (13,195) (5,527) (2,066) 62.6%","Produces and distributes CBD wellness products. Adjusted EBITDA (13,195) (5,527) (2,066) 62.6%",CC,
FP TCE_v7.44 - K&A Industries (2024-11-08).pdf,"K & A Industries, Inc.",$37M,https://kaindustries.com/,Provides identity management and secure access solutions. Profitability EBITDA Margin 12.5% 10.0% 47%,Provides identity management and secure access solutions. Profitability EBITDA Margin 12.5% 10.0% 47%,A,
FP TCE_v6.65 - Christie Lites (2023-11-22).pdf,8.0 Company Overview Financial Statement Highlights,$164.2M,https://www.christielites.com/,"Production lighting rental / service Adjusted EBITDA (1,742) 10,420 51,721 396.4%","Production lighting rental / service Adjusted EBITDA (1,742) 10,420 51,721 396.4%",A,
"FP TCE_v6.66 - Boston Battery, LLC (2024-04-01).pdf","Boston Battery, LLC",$64.9M,https://www.bostonbattery.net/,"Specializes in battery distribution and automotive parts. Adjusted EBITDA 955 2,003 591 -70.5%","Specializes in battery distribution and automotive parts. Adjusted EBITDA 955 2,003 591 -70.5%",CC,
FP TCE_v6.67 - Clique Here LLC (2024-04-30).pdf,Clique Here LLC,$3.5M,https://cliquehere.com/,Provides warehousing and worldwide shipping services. Adjusted EBITDA (924) (36) 179,Provides warehousing and worldwide shipping services. Adjusted EBITDA (924) (36) 179,CC,
FP TCE_v7.44 - Cal Plate (2024-12-27).pdf,Cal Plate Acquisition Corporation,$29M,https://www.calplate.com/,Prepress and tooling solutions for packaging. Profitability EBITDA Margin 10.9% 3.5% 10%,Prepress and tooling solutions for packaging. Profitability EBITDA Margin 10.9% 3.5% 10%,B,
FP TCE_v6.67 - RD Foods Americas Inc. (2026-05-20).pdf,RD Foods Americas Inc. (wholly-owned sub of RD Corporation),$15.3M,https://rdfoodsamericas.com/,Wholesale importer and distributor of canned food products Adjusted EBITDA 536 598 202 -66.2%,Wholesale importer and distributor of canned food products Adjusted EBITDA 536 598 202 -66.2%,B,
FP TCE_v7.44 - Caldic (2024-10-14).pdf,1.89% to 3.18% # of Benchmarks: 34 Industry Company Percentile # of Industry Benchmarks 34,"$2,350M",https://www.caldic.com/,Provider of customized life sciences and industrial solutions. Profitability EBITDA Margin 13.6% 8.4% 12%,Provider of customized life sciences and industrial solutions. Profitability EBITDA Margin 13.6% 8.4% 12%,B,
FP TCE_v6.65 - IMCD (2023-11-27).pdf,7.0 Company Overview Financial Statement Highlights,"$2,098M",https://www.imcdgroup.com,"Formulation, sales and distribution of speciality chemicals. Adjusted EBITDA 264 398 573 43.9%","Formulation, sales and distribution of speciality chemicals. Adjusted EBITDA 264 398 573 43.9%",BBB,
FP TCE_v7.44 - The Gorilla Glue Company (2024-12-07).pdf,GG Brands Company,$499M,https://gorillatough.com/,Manufactures high-strength adhesives and sealants. Profitability EBITDA Margin 14.3% 18.0% 57%,Manufactures high-strength adhesives and sealants. Profitability EBITDA Margin 14.3% 18.0% 57%,A,
FP TCE_v7.44 - A&J Direct (2025-01-08).pdf,"A&J Direct, Inc.",$29M,https://www.carriersource.io/carriers/a-j-direct-inc,Licensed interstate general freight carrier. Profitability EBITDA Margin 7.2% 27.2% 100%,Licensed interstate general freight carrier. Profitability EBITDA Margin 7.2% 27.2% 100%,A,
FP TCE_v7.44 - Cal Plate (2024-12-31).pdf,Cal Plate Acquisition Corporation,$18.1M,https://www.calplate.com/,"Prepress and tooling solutions for packaging. Adjusted EBITDA 1,156 1,054 633 -39.9%","Prepress and tooling solutions for packaging. Adjusted EBITDA 1,156 1,054 633 -39.9%",B,
FP TCE_v7.45 - Humboldt Manufacturing (2025-02-24).pdf,1.89% to 3.18% # of Benchmarks: 39 Industry Company Percentile # of Industry Benchmarks 39,$42M,https://www.humboldtmfg.com/;,Manufactures testing equipment for construction materials. Profitability EBITDA Margin 9.8% 7.1% 28%,Manufactures testing equipment for construction materials. Profitability EBITDA Margin 9.8% 7.1% 28%,B,
FP TCE_v7.44 - Actron Engineering (2025-01-25).pdf,"Actron Entities, Inc",$14M,https://actronengineering.com,Precision manufacturing for critical industry applications. Profitability EBITDA Margin 17.0% 12.3% 34%,Precision manufacturing for critical industry applications. Profitability EBITDA Margin 17.0% 12.3% 34%,CCC,
FP TCE_v7.44 - CSG (2025-01-03).pdf,"Clean Solutions Group, Inc. (""CSG"")",$108M,https://cleangrp.com/,Produces sustainable nonwoven air and sanitation products. Profitability EBITDA Margin 10.1% 16.3% 77%,Produces sustainable nonwoven air and sanitation products. Profitability EBITDA Margin 10.1% 16.3% 77%,B,
FP TCE_v7.44 - Del Val Food Ingredients (2025-01-17).pdf,"Del-Val Food Ingredients, Inc.",$38.9M,https://www.dvfi.com/en,"Provides flavor and bakery ingredient solutions. Adjusted EBITDA 2,496 1,968 -21.1%","Provides flavor and bakery ingredient solutions. Adjusted EBITDA 2,496 1,968 -21.1%",CCC,
FP TCE_v7.45 - Chicagoland Quad Cities Express (2025-02-10).pdf,"Chicagoland-Quad Cities Express, Inc.",$22M,https://chicagolandwarehouse.com/,Warehousing and transportation for specialized goods. Profitability EBITDA Margin 12.5% -1.7%,Warehousing and transportation for specialized goods. Profitability EBITDA Margin 12.5% -1.7%,CCC,
FP TCE_v7.44 - Quench USA (2025-01-16).pdf,"Quench USA, Inc (sub of Culligan, owned by BDT Capital)",$352M,https://quenchwater.com/,Provides point-of-use water and beverage solutions. Profitability EBITDA Margin 12.2% 59.8% 100%,Provides point-of-use water and beverage solutions. Profitability EBITDA Margin 12.2% 59.8% 100%,B,
FP TCE_v7.44 - Amphenol (2025-01-13).pdf,Amphenol Corporation,"$12,554.7M",https://amphenol.com/,"Interconnect, sensor, and antenna solutions provider Adjusted EBITDA 2,500,700 2,978,700 2,966,000 -0.4%","Interconnect, sensor, and antenna solutions provider Adjusted EBITDA 2,500,700 2,978,700 2,966,000 -0.4%",BBB,
FP TCE_v6.66 - Beverly Knits Inc. (2024-02-23).pdf,"Beverly Knits, Inc.",$51.8M,https://www.beverlyknits.com/,"Specializes in innovative textile manufacturing and design. Adjusted EBITDA 7,864 4,562 (414)","Specializes in innovative textile manufacturing and design. Adjusted EBITDA 7,864 4,562 (414)",B,
FP TCE_v7.45 - Ludlow Manufacturing (2025-03-12).pdf,"Ludlow Manufacturing, Inc.",$21.9M,https://www.ludlowmfg.com/,"Precision metal fabrication for OEMs. Adjusted EBITDA - - 3,962 FALSE","Precision metal fabrication for OEMs. Adjusted EBITDA - - 3,962 FALSE",CCC,
FP TCE_v7.52 - EA Engineering (2025-05-20).pdf,1.89% to 3.18% Company Overview Financial Statement Highlights,$244.7M,https://eaest.com/,"Environmental consulting and infrastructure engineering services. Adjusted EBITDA 10,203 11,927 16.9%","Environmental consulting and infrastructure engineering services. Adjusted EBITDA 10,203 11,927 16.9%",B,
FP TCE_v6.65 - Crown Packaging (2023-10-10).pdf,6.5 Company Overview Financial Statement Highlights,$361M,https://crownpack.com/,Industrial packaging products and equipment Adjusted EBITDA ‐ ‐ ‐,Industrial packaging products and equipment Adjusted EBITDA ‐ ‐ ‐,BB,
FP TCE_v7.44 - NI-JO (2024-11-18).pdf,"NI-JO, LLC",$47M,https://nijoinc.com/,Custom sewing and manufacturing solutions provider. Profitability EBITDA Margin 11.4% 38.5% 100%,Custom sewing and manufacturing solutions provider. Profitability EBITDA Margin 11.4% 38.5% 100%,D,
FP TCE_v7.45 - Verra Mobility Corp (2025-03-17).pdf,Verra Mobility Corporation,$299M,https://www.verramobility.com/,Smart mobility solutions for transportation automation. Profitability EBITDA Margin 13.2% 27.8% 85%,Smart mobility solutions for transportation automation. Profitability EBITDA Margin 13.2% 27.8% 85%,BB,
FP TCE_v7.44 - Bo Sports (2025-01-19).pdf,"Bo Sports, LLC",$27M,https://www.thebosports.com,Wholesales sneakers and branded streetwear. Profitability EBITDA Margin 9.4% 7.6% 50%,Wholesales sneakers and branded streetwear. Profitability EBITDA Margin 9.4% 7.6% 50%,CCC,
