record hmy,property hmy,property code,amendment hmy,tenant hmy,lease code,charge code hmy,charge code,charge code desc,amount period code,amount period desc,from date,to date,amount,monthly amount,contracted area,notes,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,management fee %,management fee hmy,hschedule,toinactive amendment hmy,horiginal,husercreatedby,dtcreated,husermodifiedby,dtlastmodified,hoption
41,992,ohkem002,7,353,t0000009,34,retaxest,RE TAX Estimate - CY,2,Monthly,43525,43830,347.77,347.77,3818,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,23,44105.52997,23,44105.52997,
42,992,ohkem002,7,353,t0000009,34,retaxest,RE TAX Estimate - CY,2,Monthly,43831,44165,328.41,328.41,3818,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,351,0,23,44105.52997,23,44105.52997,
43,992,ohkem002,8,354,t0000010,30,rent,Rent - Base,2,Monthly,43497,43861,1657.5,1657.5,3060,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,23,44105.53846,23,44105.53846,
44,992,ohkem002,8,354,t0000010,30,rent,Rent - Base,2,Monthly,43862,44165,1708.5,1708.5,3060,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,352,0,23,44105.53846,23,44105.53846,
45,992,ohkem002,8,354,t0000010,30,rent,Rent - Base,2,Monthly,44228,44165,1759.5,1759.5,3060,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,352,0,23,44105.53846,23,44105.53846,
46,992,ohkem002,8,354,t0000010,4,camest,CAM Estimate - CY,2,Monthly,43497,43830,302,302,3060,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,23,44105.53876,23,44105.53876,
47,992,ohkem002,8,354,t0000010,4,camest,CAM Estimate - CY,2,Monthly,43831,44165,357.46,357.46,3060,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,352,0,23,44105.53876,23,44105.53876,
48,992,ohkem002,8,354,t0000010,14,insurest,Insurance Estimate - CY,2,Monthly,43497,43830,17,17,3060,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,23,44105.53912,23,44105.53912,
49,992,ohkem002,8,354,t0000010,14,insurest,Insurance Estimate - CY,2,Monthly,43831,44165,16.16,16.16,3060,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,352,0,23,44105.53912,23,44105.53912,
50,992,ohkem002,8,354,t0000010,34,retaxest,RE TAX Estimate - CY,2,Monthly,43497,43830,278,278,3060,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,23,44105.53938,23,44105.53938,
51,992,ohkem002,8,354,t0000010,34,retaxest,RE TAX Estimate - CY,2,Monthly,43831,44165,263.21,263.21,3060,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,352,0,23,44105.53938,23,44105.53938,
52,992,ohkem002,9,355,t0000011,30,rent,Rent - Base,2,Monthly,43009,43373,4497.67,4497.67,10300,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,23,44105.55523,23,44105.55523,
53,992,ohkem002,9,355,t0000011,30,rent,Rent - Base,2,Monthly,43374,43738,4635,4635,10300,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,23,44105.55523,23,44105.55523,
54,992,ohkem002,9,355,t0000011,30,rent,Rent - Base,2,Monthly,43739,44104,4772.33,4772.33,10300,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,23,44105.55523,23,44105.55523,
55,992,ohkem002,9,355,t0000011,30,rent,Rent - Base,2,Monthly,44105,44469,4918.25,4918.25,10300,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,23,44105.55523,23,44105.55523,
56,992,ohkem002,9,355,t0000011,30,rent,Rent - Base,2,Monthly,44470,44734,5064.17,5064.17,10300,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,115825,0,23,44105.55523,23,44105.55523,
57,992,ohkem002,9,355,t0000011,4,camest,CAM Estimate - CY,2,Monthly,43009,43830,1019,1019,10300,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,23,44105.55549,23,44105.55549,
58,992,ohkem002,9,355,t0000011,4,camest,CAM Estimate - CY,2,Monthly,43831,44712,1203.23,1203.23,10300,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,23,44105.55549,23,44105.55549,
59,992,ohkem002,9,355,t0000011,14,insurest,Insurance Estimate - CY,2,Monthly,43009,44712,54.41,54.41,10300,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,23,44105.55568,23,44105.55568,
81,992,ohkem002,12,358,t0000014,34,retaxest,RE TAX Estimate - CY,2,Monthly,43101,43830,1103,1103,18127,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,23,44105.56517,23,44105.56517,
82,992,ohkem002,12,358,t0000014,34,retaxest,RE TAX Estimate - CY,2,Monthly,43831,44712,1559.23,1559.23,18127,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,23,44105.56517,23,44105.56517,
86,992,ohkem002,13,359,t0000015,30,rent,Rent - Base,2,Monthly,42675,43039,11942.71,11942.71,22930,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,23,44105.56975,23,44105.56975,
87,992,ohkem002,13,359,t0000015,30,rent,Rent - Base,2,Monthly,43040,43404,12305.77,12305.77,22930,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,23,44105.56976,23,44105.56976,
88,992,ohkem002,13,359,t0000015,30,rent,Rent - Base,2,Monthly,43405,43769,12668.83,12668.83,22930,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,23,44105.56976,23,44105.56976,
89,992,ohkem002,13,359,t0000015,30,rent,Rent - Base,2,Monthly,43770,44135,13051,13051,22930,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,23,44105.56976,23,44105.56976,
90,992,ohkem002,13,359,t0000015,30,rent,Rent - Base,2,Monthly,44136,44500,13433.16,13433.16,22930,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,23,44105.56976,23,44105.56992,
91,992,ohkem002,13,359,t0000015,30,rent,Rent - Base,2,Monthly,44501,44651,13834.43,13834.43,22930,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,23,44105.56992,23,44105.57022,
92,992,ohkem002,13,359,t0000015,4,camest,CAM Estimate - CY,2,Monthly,42675,43830,2268,2268,22930,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,23,44105.57051,23,44105.57051,
93,992,ohkem002,13,359,t0000015,4,camest,CAM Estimate - CY,2,Monthly,43831,44651,2678.64,2678.64,22930,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,23,44105.57051,23,44105.57051,
94,992,ohkem002,13,359,t0000015,14,insurest,Insurance Estimate - CY,2,Monthly,42675,44651,121.13,121.13,22930,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,23,44105.57074,23,44105.57074,
95,992,ohkem002,13,359,t0000015,34,retaxest,RE TAX Estimate - CY,2,Monthly,42675,43830,2087,2087,22930,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,23,44105.571,23,44105.571,
96,992,ohkem002,13,359,t0000015,34,retaxest,RE TAX Estimate - CY,2,Monthly,43831,44651,1972.37,1972.37,22930,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,23,44105.571,23,44105.571,
123,994,ohwar004,17,363,t0000019,30,rent,Rent - Base,2,Monthly,42552,42551,4095,4095,8075,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,44,0,23,44105.60983,23,44105.60983,
124,994,ohwar004,17,363,t0000019,30,rent,Rent - Base,2,Monthly,42917,42551,4189.5,4189.5,8075,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,44,0,23,44105.60983,23,44105.60983,
125,994,ohwar004,17,363,t0000019,30,rent,Rent - Base,2,Monthly,43282,42551,4284,4284,8075,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,44,0,23,44105.60983,23,44105.60983,
126,994,ohwar004,17,363,t0000019,30,rent,Rent - Base,2,Monthly,43647,42551,4378.5,4378.5,8075,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,44,0,23,44105.60983,23,44105.60983,
127,994,ohwar004,17,363,t0000019,30,rent,Rent - Base,2,Monthly,44013,42551,4473,4473,8075,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,44,0,23,44105.60983,23,44105.60983,
128,994,ohwar004,17,363,t0000019,4,camest,CAM Estimate - CY,2,Monthly,42552,42551,1769.16,1769.16,8075,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,44,0,23,44105.61008,23,44105.61008,
129,994,ohwar004,17,363,t0000019,4,camest,CAM Estimate - CY,2,Monthly,43831,42551,1214.84,1214.84,8075,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,44,0,23,44105.61008,23,44105.61008,
130,994,ohwar004,17,363,t0000019,14,insurest,Insurance Estimate - CY,2,Monthly,43831,42551,54.43,54.43,8075,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,44,0,23,44105.61029,23,44106.33259,
131,994,ohwar004,17,363,t0000019,34,retaxest,RE TAX Estimate - CY,2,Monthly,43831,42551,796.52,796.52,8075,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,44,0,23,44105.61043,23,44106.33252,
132,994,ohwar004,18,364,t0000020,30,rent,Rent - Base,2,Monthly,43586,43951,4600,4600,5000,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,23,44105.61341,23,44105.61341,
133,994,ohwar004,18,364,t0000020,30,rent,Rent - Base,2,Monthly,43952,44316,4712.5,4712.5,5000,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,23,44105.61341,23,44105.61341,
134,994,ohwar004,18,364,t0000020,30,rent,Rent - Base,2,Monthly,44317,44681,4833.33,4833.33,5000,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,23,44105.61341,23,44105.61341,
135,994,ohwar004,19,366,t0000022,30,rent,Rent - Base,2,Monthly,43465,43555,2818.33,2818.33,3560,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,23,44105.61652,230,44692.69414,
136,994,ohwar004,19,366,t0000022,30,rent,Rent - Base,2,Monthly,43556,43921,2818.33,2818.33,3560,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,23,44105.61652,230,44692.69414,
137,994,ohwar004,19,366,t0000022,30,rent,Rent - Base,2,Monthly,43922,44286,2892.5,2892.5,3560,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,23,44105.61652,230,44692.69414,
138,994,ohwar004,19,366,t0000022,30,rent,Rent - Base,2,Monthly,44287,44651,2966.67,2966.67,3560,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,23,44105.61652,230,44692.69414,
160,993,ohfai003,22,368,t0000024,30,rent,Rent - Base,2,Monthly,44013,44377,1982.61,1982.61,4196,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,23,44105.62257,23,44105.62257,
161,993,ohfai003,22,368,t0000024,30,rent,Rent - Base,2,Monthly,44378,44773,2042.05,2042.05,4196,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,23,44105.62257,23,44105.62257,
162,993,ohfai003,22,368,t0000024,32,rentcon,Rent Concession,2,Monthly,43647,43677,-1923.17,-1923.17,4196,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,23,44105.62279,23,44105.62279,
163,993,ohfai003,22,368,t0000024,4,camest,CAM Estimate - CY,2,Monthly,43647,43830,517,517,4196,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,23,44105.62306,23,44105.62306,
164,993,ohfai003,22,368,t0000024,4,camest,CAM Estimate - CY,2,Monthly,43831,44773,555.58,555.58,4196,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,23,44105.62306,23,44105.62306,
165,993,ohfai003,22,368,t0000024,14,insurest,Insurance Estimate - CY,2,Monthly,43647,43830,32.51,32.51,4196,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,23,44105.62325,23,44105.62325,
166,993,ohfai003,22,368,t0000024,14,insurest,Insurance Estimate - CY,2,Monthly,43831,44773,21.93,21.93,4196,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,23,44105.62329,23,44105.62329,
167,993,ohfai003,22,368,t0000024,34,retaxest,RE TAX Estimate - CY,2,Monthly,43647,43830,263,263,4196,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,23,44105.62351,23,44105.62351,
168,993,ohfai003,22,368,t0000024,34,retaxest,RE TAX Estimate - CY,2,Monthly,43831,44773,247.03,247.03,4196,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,23,44105.62351,23,44105.62351,
169,993,ohfai003,24,370,t0000026,30,rent,Rent - Base,2,Monthly,42401,42766,2752.81,2752.81,5745,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,23,44105.62722,23,44105.62722,
170,993,ohfai003,24,370,t0000026,30,rent,Rent - Base,2,Monthly,42767,43131,2807.87,2807.87,5745,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,23,44105.62722,23,44105.62722,
171,993,ohfai003,24,370,t0000026,30,rent,Rent - Base,2,Monthly,43132,43496,2864.03,2864.03,5745,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,23,44105.62722,23,44105.62722,
172,993,ohfai003,24,370,t0000026,30,rent,Rent - Base,2,Monthly,43497,43861,2921.31,2921.31,5745,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,23,44105.62722,23,44105.62722,
173,993,ohfai003,24,370,t0000026,30,rent,Rent - Base,2,Monthly,43862,44227,2979.73,2979.73,5745,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,23,44105.62722,23,44105.62722,
174,993,ohfai003,24,370,t0000026,4,camest,CAM Estimate - CY,2,Monthly,42401,43830,709,709,5745,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,23,44105.62747,23,44105.62747,
175,993,ohfai003,24,370,t0000026,4,camest,CAM Estimate - CY,2,Monthly,43831,44227,760.69,760.69,5745,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,23,44105.62748,23,44105.62748,
176,993,ohfai003,24,370,t0000026,14,insurest,Insurance Estimate - CY,2,Monthly,42401,43830,45,45,5745,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,23,44105.62765,23,44105.62765,
177,993,ohfai003,24,370,t0000026,14,insurest,Insurance Estimate - CY,2,Monthly,43831,44227,30.02,30.02,5745,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,23,44105.62765,23,44105.62765,
178,993,ohfai003,24,370,t0000026,34,retaxest,RE TAX Estimate - CY,2,Monthly,42401,43830,359,359,5745,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,23,44105.62788,23,44105.62788,
179,993,ohfai003,24,370,t0000026,34,retaxest,RE TAX Estimate - CY,2,Monthly,43831,44227,338.22,338.22,5745,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,23,44105.62788,23,44105.62788,
200,993,ohfai003,27,373,t0000029,4,camest,CAM Estimate - CY,2,Monthly,43344,43830,479,479,3008,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,23,44105.64924,23,44105.64924,
201,993,ohfai003,27,373,t0000029,4,camest,CAM Estimate - CY,2,Monthly,43831,44866,398.28,398.28,3008,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,115950,0,23,44105.64924,23,44105.64924,
202,993,ohfai003,27,373,t0000029,14,insurest,Insurance Estimate - CY,2,Monthly,43831,44866,15.72,15.72,3008,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,115950,0,23,44105.64951,23,44105.64951,
203,993,ohfai003,27,373,t0000029,34,retaxest,RE TAX Estimate - CY,2,Monthly,43344,43830,191,191,3008,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,23,44105.64973,23,44105.64973,
204,993,ohfai003,27,373,t0000029,34,retaxest,RE TAX Estimate - CY,2,Monthly,43831,44866,177.09,177.09,3008,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,115950,0,23,44105.64973,23,44105.64973,
205,993,ohfai003,28,374,t0000030,30,rent,Rent - Base,2,Monthly,42826,43190,1060.36,1060.36,2352,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,23,44105.6531,23,44105.6531,
206,993,ohfai003,28,374,t0000030,30,rent,Rent - Base,2,Monthly,43191,43555,1092.17,1092.17,2352,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,23,44105.6531,23,44105.6531,
207,993,ohfai003,28,374,t0000030,30,rent,Rent - Base,2,Monthly,43556,43921,1124.94,1124.94,2352,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,23,44105.6531,23,44105.6531,
208,993,ohfai003,28,374,t0000030,30,rent,Rent - Base,2,Monthly,43922,44286,1158.68,1158.68,2352,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,23,44105.6531,23,44105.6531,
209,993,ohfai003,28,374,t0000030,30,rent,Rent - Base,2,Monthly,44287,44651,1193.45,1193.45,2352,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,23,44105.6531,23,44105.6531,
210,993,ohfai003,28,374,t0000030,4,camest,CAM Estimate - CY,2,Monthly,42826,43830,291,291,2352,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,23,44105.65338,23,44105.65338,
211,993,ohfai003,28,374,t0000030,4,camest,CAM Estimate - CY,2,Monthly,43831,44651,311.42,311.42,2352,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,23,44105.65338,23,44105.65338,
212,993,ohfai003,28,374,t0000030,14,insurest,Insurance Estimate - CY,2,Monthly,42826,43830,18,18,2352,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,23,44105.65359,23,44105.65359,
213,993,ohfai003,28,374,t0000030,14,insurest,Insurance Estimate - CY,2,Monthly,43831,44651,12.29,12.29,2352,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,23,44105.65359,23,44105.65359,
214,993,ohfai003,28,374,t0000030,34,retaxest,RE TAX Estimate - CY,2,Monthly,42826,43830,147,147,2352,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,23,44105.6538,23,44105.6538,
215,993,ohfai003,28,374,t0000030,34,retaxest,RE TAX Estimate - CY,2,Monthly,43831,44651,138.47,138.47,2352,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,23,44105.6538,23,44105.6538,
216,1064,ohclo007,29,375,t0000031,30,rent,Rent - Base,2,Monthly,43282,44734,15000,15000,29291,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,115812,0,23,44105.65997,23,44105.65997,
217,1064,ohclo007,29,375,t0000031,14,insurest,Insurance Estimate - CY,2,Monthly,43983,44712,121.67,121.67,29291,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,23,44105.6602,230,44700.64096,
240,994,ohwar004,33,378,t0000034,30,rent,Rent - Base,2,Monthly,41609,41670,6846.75,6846.75,12172,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,23,44106.28537,23,44106.28537,
241,994,ohwar004,33,378,t0000034,30,rent,Rent - Base,2,Monthly,41671,41851,6846.75,6846.75,12172,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,23,44106.28537,23,44106.28537,
242,994,ohwar004,33,378,t0000034,30,rent,Rent - Base,2,Monthly,41852,42155,6846.75,6846.75,12172,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,23,44106.28537,23,44106.28537,
243,994,ohwar004,33,378,t0000034,30,rent,Rent - Base,2,Monthly,42156,42521,6948.18,6948.18,12172,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,23,44106.28537,23,44106.28537,
244,994,ohwar004,33,378,t0000034,30,rent,Rent - Base,2,Monthly,42522,42886,7049.62,7049.62,12172,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,23,44106.28537,23,44106.28574,
245,994,ohwar004,33,378,t0000034,30,rent,Rent - Base,2,Monthly,42887,43251,7151.05,7151.05,12172,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,23,44106.28574,23,44106.28574,
246,994,ohwar004,33,378,t0000034,30,rent,Rent - Base,2,Monthly,43252,43616,7252.48,7252.48,12172,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,23,44106.28574,23,44106.28574,
247,994,ohwar004,33,378,t0000034,30,rent,Rent - Base,2,Monthly,43617,43982,7353.92,7353.92,12172,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,23,44106.28574,23,44106.28574,
248,994,ohwar004,33,378,t0000034,30,rent,Rent - Base,2,Monthly,43983,44377,7455.35,7455.35,12172,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,23,44106.28574,23,44106.28574,
249,994,ohwar004,33,378,t0000034,32,rentcon,Rent Concession,2,Monthly,41609,41851,-3296.58,-3296.58,12172,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,23,44106.286,23,44106.286,
250,994,ohwar004,33,378,t0000034,4,camest,CAM Estimate - CY,2,Monthly,41609,43830,2858.02,2858.02,12172,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,0,0,23,44106.28646,23,44106.28646,
251,994,ohwar004,33,378,t0000034,4,camest,CAM Estimate - CY,2,Monthly,43831,44377,1955.96,1955.96,12172,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,0,0,23,44106.28646,23,44106.28646,
252,994,ohwar004,33,378,t0000034,14,insurest,Insurance Estimate - CY,2,Monthly,43831,44377,87.64,87.64,12172,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,0,0,23,44106.28666,23,44106.28666,
253,994,ohwar004,33,378,t0000034,34,retaxest,RE TAX Estimate - CY,2,Monthly,43831,44377,1284.44,1284.44,12172,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,0,0,23,44106.28679,23,44106.28679,
254,994,ohwar004,34,379,t0000035,30,rent,Rent - Base,2,Monthly,43132,43555,3250,3250,6000,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,0,0,23,44106.28955,23,44106.28955,
255,994,ohwar004,34,379,t0000035,30,rent,Rent - Base,2,Monthly,43556,43921,3315,3315,6000,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,0,0,23,44106.28955,23,44106.28955,
256,994,ohwar004,34,379,t0000035,30,rent,Rent - Base,2,Monthly,43922,44286,3380,3380,6000,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,0,0,23,44106.28955,23,44106.28955,
257,994,ohwar004,34,379,t0000035,30,rent,Rent - Base,2,Monthly,44287,44651,3450,3450,6000,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,0,0,23,44106.28955,23,44106.28955,
258,994,ohwar004,34,379,t0000035,30,rent,Rent - Base,2,Monthly,44652,44734,3520,3520,6000,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,115653,0,23,44106.28955,23,44106.28955,
259,994,ohwar004,34,379,t0000035,32,rentcon,Rent Concession,2,Monthly,43132,43190,-3250,-3250,6000,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,0,0,23,44106.28977,23,44106.28977,
